Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero
89,64958.34548,68870.06757,72347.78533,75007.41021,8700,0
90,66642.36193,70655.49369,74223.36975,76951.94423,8700,0
91,68149.92108,72253.83644,75902.42369,78692.72298,8700,0
92,67626.30321,71698.68686,75319.24083,78088.10136,8700,0
93,65443.60307,69384.54685,72888.24417,75567.73721,8700,0
94,63605.18647,67435.42277,70840.69557,73444.91732,8700,0
95,62218.46221,65965.19146,69296.22228,71843.66663,8700,0
96,62426.56675,66185.82783,69528.00009,72083.96497,8700,0
97,53786.87185,57025.85975,59905.48296,62107.70812,8700,0
98,51444.97652,54542.93799,57297.1816,59403.52127,8700,0
99,50078.39141,53094.05858,55775.13843,57825.52526,8700,0
100,49742.73893,52738.19347,55401.30327,57437.94729,8700,0
101,50126.34177,53144.89646,55828.54346,57880.89354,8700,0
102,51060.41468,54135.21824,56868.87332,58959.46766,8700,0
103,51737.47369,54853.04902,57622.95225,59741.26779,8700,0
104,51118.91411,54197.24045,56934.02745,59027.01696,8700,0
105,49521.20829,52503.32249,55154.57206,57182.14583,8700,0
106,47629.0873,50497.26,53047.20984,54997.31347,8700,0
107,46868.59467,49690.97132,52200.20616,54119.17253,8700,0
108,45482.82942,48221.75676,50656.80098,52519.02921,8700,0
109,44878.65495,47581.19955,49983.89769,51821.38887,8700,0
110,45324.59325,48053.99178,50480.56441,52336.31388,8700,0
111,45902.87453,48667.09654,51124.62899,53004.05536,8700,0
112,47249.32049,50094.62404,52624.24205,54558.79669,8700,0
113,49444.48773,52421.9819,55069.12403,57093.55659,8700,0
114,52327.26305,55478.35487,58279.83404,60422.29764,8700,0
115,55400.88078,58737.06257,61703.09604,63971.40444,8700,0
116,56505.65696,59908.36719,62933.54779,65247.08965,8700,0
117,56342.62575,59735.51841,62751.97071,65058.83749,8700,0
118,55840.10603,59202.73749,62192.28606,64478.5779,8700,0
119,55534.18277,58878.39186,61851.56201,64125.32827,8700,0
120,54947.27043,58256.13629,61197.88453,63447.62051,8700,0
121,54153.21255,57414.26109,60313.49733,62530.72177,8700,0
122,52439.46688,55597.31549,58404.8018,60551.85942,8700,0
123,51390.31312,54484.98281,57236.29988,59340.40143,8700,0
124,51227.28191,54312.13404,57054.7228,59152.14927,8700,0
125,51523.6151,54626.3121,57384.76584,59494.32524,8700,0
126,52370.41837,55524.10895,58327.89856,60472.12909,8700,0
127,54646.1422,57936.87444,60862.50097,63099.9077,8700,0
128,57549.05667,61014.59931,64095.64109,66451.90343,8700,0
129,61062.85866,64739.9987,68009.16122,70509.29106,8700,0
130,61699.63937,65415.12567,68718.37993,71244.58183,8700,0
131,61277.67625,64967.75238,68248.41572,70757.34096,8700,0
132,60096.17951,63715.10717,66932.51594,69393.06651,8700,0
133,57217.24022,60662.80123,63726.07834,66068.75493,8700,0
134,59518.85724,63103.01917,66289.51946,68726.43241,8700,0
135,60713.78008,64369.89898,67620.37265,70106.20997,8700,0
136,61797.4581,65518.83493,68827.32618,71357.53313,8700,0
137,62983.74987,66776.56393,70148.56646,72727.34439,8700,0
138,63063.34746,66860.9548,70237.2188,72819.25574,8700,0
139,62941.55356,66731.8266,70101.57004,72678.62031,8700,0
140,63422.97512,67242.23885,70637.75648,73234.51785,8700,0
141,62442.86987,66203.11271,69546.15779,72102.79019,8700,0
142,60575.68306,64223.48591,67466.56618,69946.74933,8700,0
143,58548.34206,62074.0606,65208.60178,67605.7784,8700,0
144,57475.21313,60936.30899,64013.39737,66366.63628,8700,0
145,54145.5405,57406.12704,60304.95253,62521.86285,8700,0
146,52472.07312,55631.88524,58441.11721,60589.50985,8700,0
147,51511.14801,54613.09425,57370.88054,59479.92949,8700,0
148,51003.83326,54075.22955,56805.85539,58894.13308,8700,0
149,51151.52035,54231.8102,56970.34286,59064.66739,8700,0
150,52002.15964,55133.67408,57917.74798,60046.90069,8700,0
151,53943.19,57191.59121,60079.58333,62288.2087,8700,0
152,56892.13681,60318.12044,63363.99227,65693.35798,8700,0
153,60903.66349,64571.21697,67831.85655,70325.46837,8700,0
154,62280.79767,66031.2807,69365.64881,71915.6454,8700,0
155,63141.02703,66943.31215,70323.73493,72908.95235,8700,0
156,62915.66037,66704.37415,70072.73133,72648.72144,8700,0
157,60879.68831,64545.79803,67805.15403,70297.78423,8700,0
158,64202.64789,68068.86268,71506.12216,74134.8061,8700,0
159,66135.04718,70117.62899,73658.3446,76366.14782,8700,0
160,66498.51087,70502.98007,74063.15468,76785.83939,8700,0
161,67147.75867,71191.32488,74786.2587,77535.52591,8700,0
162,66845.67144,70871.04628,74449.80706,77186.70575,8700,0
163,66151.3503,70134.91387,73676.50231,76384.97303,8700,0
164,66934.8591,70965.60473,74549.1404,77289.69075,8700,0
165,65740.89527,69699.74167,73219.35532,75911.02056,8700,0
166,63084.44562,66883.32347,70260.71701,72843.61779,8700,0
167,60170.98207,63794.41426,67015.82779,69479.44104,8700,0
168,58687.39809,62221.49044,65363.47635,67766.34642,8700,0
169,58297.08221,61807.67015,64928.75947,67315.64862,8700,0
170,56123.97213,59503.69771,62508.4438,64806.35812,8700,0
171,54825.47653,58127.00809,61062.23577,63306.98508,8700,0
172,54021.82858,57274.96532,60167.16757,62379.01268,8700,0
173,53987.30433,57238.36206,60128.71596,62339.14753,8700,0
174,54605.8639,57894.17062,60817.64075,63053.39835,8700,0
175,57012.0127,60445.21513,63497.50483,65831.77869,8700,0
176,61308.36448,65000.28862,68282.59494,70792.77666,8700,0
177,67189.95498,71236.06221,74833.25512,77584.25,8700,0
178,69692.00449,73888.78246,77619.92925,80473.3669,8700,0
179,69762.01201,73963.00576,77697.90058,80554.20459,8700,0
180,69332.37683,73507.49841,77219.39157,80058.10479,8700,0
181,67020.21073,71056.09614,74644.20134,77388.24629,8700,0
182,69837.77357,74043.3296,77782.28052,80641.68648,8700,0
183,71365.47187,75663.02426,79483.76457,82405.71991,8700,0
184,72335.98705,76691.98283,80564.68225,83526.37392,8700,0
185,73714.08024,78153.06331,82099.54262,85117.65831,8700,0
186,73330.4774,77746.36032,81672.30243,84674.71206,8700,0
187,71871.82761,76199.8722,80047.72161,82990.40895,8700,0
188,70855.28009,75122.10928,78915.53511,81816.60139,8700,0
189,69779.27414,73981.3074,77717.12639,80574.13718,8700,0
190,67048.02193,71085.5821,74675.17625,77420.35989,8700,0
191,63539.97399,67366.28327,70768.06474,73369.61646,8700,0
192,61728.40959,65445.6284,68750.42295,71277.80281,8700,0
193,57401.36958,60858.01867,63931.15363,66281.36913,8700,0
194,55461.29823,58801.11829,61770.38637,64041.16848,8700,0
195,54373.78419,57648.11532,60559.16045,62785.41587,8700,0
196,53788.78986,57027.89326,59907.61916,62109.92284,8700,0
197,53729.33142,56964.85429,59841.39693,62041.26617,8700,0
198,54545.44646,57830.11491,60750.35043,62983.63432,8700,0
199,57486.72121,60948.51008,64026.21457,66379.92467,8700,0
200,62323.95299,66077.03478,69413.71334,71965.47685,8700,0
201,68793.41484,72936.08071,76619.1191,79435.76531,8700,0
202,72140.3496,76484.5643,80346.78975,83300.47133,8700,0
203,73041.81627,77440.31633,81350.80419,84341.39501,8700,0
204,73123.33187,77526.74071,81441.59273,84435.52109,8700,0
205,71182.30151,75468.82358,79279.75737,82194.21307,8700,0
206,74586.7767,79078.31262,83071.51405,86125.36103,8700,0
207,76017.61528,80595.31477,84665.11995,87777.55053,8700,0
208,75997.47613,80573.96286,84642.68984,87754.29585,8700,0
209,76397.38209,80997.95073,85088.08774,88216.06731,8700,0
210,75145.87783,79671.08222,83694.21662,86770.95518,8700,0
211,73090.72563,77492.17096,81405.27731,84397.87066,8700,0
212,71964.8513,76298.49768,80151.32736,83097.82342,8700,0
213,70359.47343,74596.44567,78363.32718,81244.09338,8700,0
214,67370.24832,71427.21262,75034.05801,77792.43474,8700,0
215,63826.71711,67670.29375,71087.42678,73700.71878,8700,0
216,62293.26476,66044.49854,69379.53412,71930.04115,8700,0
217,61199.99668,64885.39503,68161.89959,70667.64435,8700,0
218,59107.4432,62666.83021,65831.30436,68251.37256,8700,0
219,57905.80731,61392.8331,64492.97447,66863.84344,8700,0
220,57014.88972,60448.2654,63500.70913,65835.10078,8700,0
221,56965.02135,60395.39401,63445.16791,65777.51777,8700,0
222,57807.02958,61288.10708,64382.96012,66749.78478,8700,0
223,60565.13398,64212.30157,67454.81707,69934.5683,8700,0
224,65346.74335,69281.85435,72780.36602,75455.89328,8700,0
225,72030.06378,76367.63718,80223.95819,83173.12428,8700,0
226,75002.98577,79519.58536,83535.06965,86605.9577,8700,0
227,76224.76081,80814.93438,84895.82965,88016.7415,8700,0
228,77105.12932,81748.31774,85876.34588,89033.30313,8700,0
229,74874.47882,79383.33986,83391.94418,86457.5707,8700,0
230,76797.28805,81421.9386,85533.48563,88677.83878,8700,0
231,77402.42152,82063.51256,86207.45702,89376.58648,8700,0
232,77595.18195,82267.88082,86422.14522,89599.16697,8700,0
233,78426.6411,83149.40955,87348.18833,90559.25296,8700,0
234,78069.89046,82771.17577,86950.85495,90147.31295,8700,0
235,76771.39485,81394.48614,85504.64691,88647.9399,8700,0
236,76109.67996,80692.92349,84767.65759,87883.85762,8700,0
