Time_Index,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
79,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
80,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
81,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
82,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
83,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
84,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
85,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
86,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
87,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
88,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
89,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
90,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
91,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
92,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
93,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
94,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
95,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
96,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
97,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
98,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
99,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
100,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
101,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
102,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
103,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
104,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
105,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
106,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
107,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
108,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
109,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
110,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
111,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
112,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
113,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
114,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
115,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
116,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
117,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
118,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
119,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
120,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
121,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
122,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
123,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
124,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
125,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
126,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
127,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
128,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
129,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
130,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
131,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
132,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
133,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
