Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,GWN_onshore_wind,GWN,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GWN,1605000,33964.8,0,15000,0,system/availability.csv,onwind
VRE,CNB_onshore_wind,CNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_CNB,1605000,33964.8,0,5000,0,system/availability.csv,onwind
VRE,CNA_onshore_wind,CNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_CNA,1605000,33964.8,0,8000,0,system/availability.csv,onwind
VRE,JNB_onshore_wind,JNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JNB,1605000,33964.8,0,8000,0,system/availability.csv,onwind
VRE,JNA_onshore_wind,JNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JNA,1605000,33964.8,0,12000,0,system/availability.csv,onwind
VRE,GNB_onshore_wind,GNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GNB,1605000,33964.8,0,15000,0,system/availability.csv,onwind
VRE,GNA_onshore_wind,GNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GNA,1605000,33964.8,0,10000,0,system/availability.csv,onwind
VRE,JEJ_onshore_wind,JEJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JEJ,1605000,33964.8,0,2000,0,system/availability.csv,onwind
VRE,SEL_offshore_wind,SEL,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_SEL,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,PUS_offshore_wind,PUS,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_PUS,4562000,80675.1,0,3000,0,system/availability.csv,offwind-dc
VRE,TAE_offshore_wind,TAE,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_TAE,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,INC_offshore_wind,INC,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_INC,4562000,80675.1,0,5000,0,system/availability.csv,offwind-dc
VRE,KWJ_offshore_wind,KWJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_KWJ,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,DJJ_offshore_wind,DJJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_DJJ,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,USN_offshore_wind,USN,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_USN,4562000,80675.1,0,3000,0,system/availability.csv,offwind-dc
VRE,SJG_offshore_wind,SJG,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_SJG,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,GGI_offshore_wind,GGI,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GGI,4562000,80675.1,0,5000,0,system/availability.csv,offwind-dc
VRE,GWN_offshore_wind,GWN,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GWN,4562000,80675.1,0,5000,0,system/availability.csv,offwind-dc
VRE,CNB_offshore_wind,CNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_CNB,4562000,80675.1,0,0,0,system/availability.csv,offwind-dc
VRE,CNA_offshore_wind,CNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_CNA,4562000,80675.1,0,15000,0,system/availability.csv,offwind-dc
VRE,JNB_offshore_wind,JNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JNB,4562000,80675.1,0,5000,0,system/availability.csv,offwind-dc
VRE,JNA_offshore_wind,JNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JNA,4562000,80675.1,0,20000,0,system/availability.csv,offwind-dc
VRE,GNB_offshore_wind,GNB,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GNB,4562000,80675.1,0,10000,0,system/availability.csv,offwind-dc
VRE,GNA_offshore_wind,GNA,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_GNA,4562000,80675.1,0,15000,0,system/availability.csv,offwind-dc
VRE,JEJ_offshore_wind,JEJ,Electricity,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,Electricity,elec_JEJ,4562000,80675.1,0,5000,0,system/availability.csv,offwind-dc
