Type,id,location,edges--steam_edge--commodity,edges--steam_edge--unidirectional,edges--steam_edge--has_capacity,edges--steam_edge--uc,edges--steam_edge--integer_decisions,edges--steam_edge--lifetime,edges--steam_edge--constraints--CapacityConstraint,edges--steam_edge--can_expand,edges--steam_edge--can_retire,edges--steam_edge--end_vertex,edges--steam_edge--investment_cost,edges--steam_edge--existing_capacity,edges--steam_edge--fixed_om_cost,edges--steam_edge--variable_om_cost,edges--steam_edge--capacity_size,edges--steam_edge--startup_cost,edges--steam_edge--startup_fuel_consumption,edges--steam_edge--min_up_time,edges--steam_edge--min_down_time,edges--steam_edge--ramp_up_fraction,edges--steam_edge--ramp_down_fraction,edges--steam_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--elec_cogen_rate
ThermalSteam,CNB_coal_CHP,CNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_CNB,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_CNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,CNA_natgas_CHP,CNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_CNA,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_CNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,CNA_coal_CHP,CNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_CNA,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_CNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,JNB_natgas_CHP,JNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JNB,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_JNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,JNB_coal_CHP,JNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JNB,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_JNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,JNA_natgas_CHP,JNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JNA,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_JNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,JNA_coal_CHP,JNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JNA,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_JNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,GNB_natgas_CHP,GNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GNB,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_GNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,GNB_coal_CHP,GNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GNB,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_GNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,GNA_natgas_CHP,GNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GNA,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_GNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,GNA_coal_CHP,GNA,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GNA,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_GNA,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,JEJ_natgas_CHP,JEJ,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JEJ,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_JEJ,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,JEJ_coal_CHP,JEJ,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_JEJ,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_JEJ,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
