Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost
OneWayTransmissionLink,GNA_to_PUS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_PUS,84.251,0.03,100000,4199.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_TAE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_TAE,57.588,0.03,100000,8028.9,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNA_to_USN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNA,elec_USN,99.791,0.03,100000,13773.1,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_CNB,125.832,0.03,100000,3077.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_DJJ,122.694,0.03,100000,3529.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_GNA,129.797,0.03,100000,2761.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_GWN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_GWN,161.631,0.03,100000,13350.9,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_TAE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_TAE,73.663,0.03,100000,5131.1,50,0.08,443637.83,1,100
OneWayTransmissionLink,GNB_to_USN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GNB,elec_USN,112.628,0.03,100000,6519.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,GWN_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GWN,elec_CNB,137.973,0.03,100000,9683.0,50,0.08,443637.83,1,100
