fbus,tbus,status,Pf,Pt,Qf,Qt,Vf,Vt,Pmin,Pmax,QminF,QmaxF,QminT,QmaxT,loss0,loss1
51,53,1,-1496.22302234,-1496.22302234,748.111511168,748.111511168,1.02858326633,1.03468334653,-1500,1500,-750,750,-750,750,0,0
51,53,1,-1496.22302233,-1496.22302233,748.111511167,748.111511167,1.02858326633,1.03468334653,-1500,1500,-750,750,-750,750,0,0
