model,startup,shutdown,n,c2_or_x1,c1_or_y1,c0_or_x2,y2,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14
2,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0
