Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,SE_CCGT-H2,MIDAT_CCGT-H2,NE_CCGT-H2,SE_OCGT-H2,MIDAT_OCGT-H2,NE_OCGT-H2,SE_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Solvent_DAC,MIDAT_Solvent_DAC,NE_Solvent_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC,SE_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood,SE_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb,NE_BECCS_H2_Herb,SE_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood,NE_BECCS_H2_Wood
11,0.305221713,0.80841329,0.305221713,0.053666784,0.58866189,0.795753151,0.58866189,0.075760103,0.331716794,0.331716794,0.469437276,0.04381869,0.469437276,0.298007166,0.309905915,0.084145707,0.400095222,0.216566271,0.229144053,0.150616517,0.053666784,0.083068863,0.045384782,0.049959265,0.161074305,0.215788417,0.235847157,0.067746318,0.075760103,0.098725836,0.134430965,0.18466886,0.034762347,0.131505337,0.292643135,0.43133323,0.340562003,0.648122419,0.473094592,0.73685414,0.682175524,0.46000184,0.80841329,0.547315572,0.700982612,0.71213238,0.539911686,0.514861136,0.457353099,0.795753151,0.741961376,0.672615342,0.644926875,0.723942593,0.793624117,0.722421835,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
12,0.305564195,0.795716239,0.305564195,0.073088678,0.58885574,0.740850987,0.58885574,0.082175348,0.332197971,0.332197971,0.45233495,0.12844412,0.45233495,0.314882452,0.37053433,0.100625104,0.45867397,0.233365348,0.233464325,0.165142736,0.073088678,0.089776423,0.055742992,0.058397283,0.136751597,0.229911838,0.171499486,0.062661081,0.082175348,0.105365237,0.125832568,0.160991546,0.039202802,0.162796879,0.154537324,0.342047283,0.279693446,0.589395459,0.286210738,0.70292593,0.623060608,0.340112781,0.795716239,0.450536742,0.611149743,0.659167124,0.441562673,0.430989851,0.369544798,0.740850987,0.663117497,0.711007118,0.579395697,0.674428725,0.808409995,0.714935992,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
13,0.305931148,0.745332241,0.305931148,0.051358636,0.589068164,0.601468852,0.589068164,0.054253168,0.332683256,0.332683256,0.449978743,0.22087492,0.449978743,0.261435707,0.417538538,0.089376347,0.529056518,0.225722564,0.243584062,0.167893644,0.051358636,0.077300467,0.042871502,0.059593949,0.121579667,0.252229014,0.14312142,0.036283205,0.054253168,0.08595254,0.090497632,0.140741272,0.035907075,0.183916347,0.188686833,0.325928215,0.263865452,0.551536467,0.251367467,0.676363767,0.556100676,0.30878174,0.745332241,0.347400596,0.474247904,0.647248865,0.409560249,0.376000931,0.407073194,0.601468852,0.594861436,0.734493098,0.556635776,0.610350641,0.808965451,0.697515253,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
14,0.306280581,0.614472402,0.306280581,0.043953349,0.589264344,0.530321494,0.589264344,0.026162507,0.333197205,0.333197205,0.448448358,0.493313104,0.448448358,0.194981698,0.467457127,0.066890533,0.628742183,0.21370969,0.269897836,0.167084256,0.043953349,0.071943373,0.035795846,0.041159449,0.129055176,0.268663093,0.100543084,0.02647492,0.026162507,0.053318236,0.041177152,0.122618055,0.019015485,0.120688922,0.248448825,0.329113585,0.287306033,0.568768555,0.247983702,0.669930484,0.521227855,0.335355107,0.614472402,0.287796177,0.333480328,0.677851286,0.433228917,0.333853798,0.484900315,0.530321494,0.502774908,0.747590794,0.582790266,0.555340015,0.808696798,0.657566733,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
15,0.306656248,0.5534642,0.306656248,0.039630737,0.589429951,0.473671539,0.589429951,0.012555851,0.333645876,0.333645876,0.427847369,0.559803307,0.427847369,0.146713394,0.482443371,0.078642295,0.728875627,0.221960599,0.289760812,0.230244357,0.039630737,0.083784996,0.021401752,0.048459495,0.15178129,0.255221001,0.091360246,0.01155336,0.012555851,0.014829346,0.016019884,0.095223553,0.007175281,0.040530109,0.302439837,0.339590439,0.326975265,0.59927725,0.254296656,0.674495072,0.523889944,0.37763607,0.5534642,0.236423073,0.196509808,0.715241641,0.476096988,0.333371872,0.577870377,0.473671539,0.460558564,0.75679154,0.6029323,0.518158286,0.754982785,0.622175463,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
16,0.307073601,0.362862741,0.307073601,0.008612013,0.589647342,0.469365491,0.589647342,0.000271929,0.334159825,0.334159825,0.356163967,0.615175128,0.356163967,0.085712787,0.345659222,0.095643549,0.664297021,0.120112267,0.167620434,0.260410962,0.008612013,0.028756178,0.002544668,0.072882064,0.049334468,0.094313722,0.056687626,0.000491918,0.000271929,7.12E-06,0.000308652,0.014560329,8.70E-05,0.001590135,0.339510983,0.335861025,0.370096109,0.618974185,0.252279933,0.679327201,0.535984429,0.416972507,0.362862741,0.196265605,0.101004085,0.734335672,0.500096212,0.37445039,0.659218884,0.469365491,0.446529828,0.757642518,0.537319131,0.494001517,0.614354775,0.578680435,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
17,0.307430787,0.213154632,0.307430787,0,0.589860412,0.46851451,0.589860412,0,0.334641002,0.334641002,0.104813288,0.639010787,0.104813288,0.011837876,0.047879077,0.02161623,0.214749164,0.005553482,0.013062343,0.065743827,0,0,0,0.003532972,0,0.000707306,0.001078006,0,0,0,0,0,0,0,0.370749405,0.337983536,0.415041319,0.621642996,0.263684893,0.679449198,0.534588046,0.437067443,0.213154632,0.187861885,0.066099427,0.741186367,0.508487145,0.419355844,0.710112236,0.46851451,0.454217873,0.746996617,0.408373472,0.4891286,0.676057733,0.539201847,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
18,0.307797741,0.228119799,0.307797741,0,0.590035293,0.452404511,0.590035293,0,0.335126287,0.335126287,0,0.619648337,0,0,0,0,0.000329224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408041861,0.342413896,0.458069575,0.604953311,0.283574462,0.687346301,0.520857494,0.438684618,0.228119799,0.233971609,0.073663844,0.734760496,0.529723645,0.468776314,0.721024924,0.452404511,0.404050912,0.722692102,0.215367996,0.53434855,0.721094883,0.521234716,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
19,0.308147173,0.226643704,0.308147173,0,0.590231472,0.376091034,0.590231472,0,0.335638938,0.335638938,0,0.813421488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401078204,0.296613831,0.491262958,0.518951212,0.290888529,0.750235952,0.619128904,0.392492796,0.226643704,0.339508609,0.16307686,0.717284645,0.637009202,0.62403906,0.740083234,0.376091034,0.413500348,0.682273582,0.121346213,0.606970339,0.78103123,0.473532077,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
20,0.308522841,0.356875678,0.308522841,0,0.590465754,0.352823443,0.590465754,0,0.336087303,0.336087303,0,0.814959943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617604409,0.340523429,0.647122198,0.558047621,0.412808181,0.770876137,0.720655853,0.487693343,0.356875678,0.475466783,0.302976017,0.74362146,0.710056449,0.733034689,0.767361517,0.352823443,0.46348764,0.628976186,0.159934842,0.660876425,0.640192789,0.425728786,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
