from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service
20043,20103,1,345osm_미금_345-남양주T4_345_1,1.1e-05,0.000114,0.002411,0.0,0.0,0.0,0.0,2000,2200,2500,0.41,1
20043,20103,2,345osm_미금_345-남양주T4_345_2,1.1e-05,0.000114,0.002411,0.0,0.0,0.0,0.0,2000,2200,2500,0.41,1
20093,20094,1,345osm_영흥T1_345-영흥T2_345_1,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20093,20094,2,345osm_영흥T1_345-영흥T2_345_2,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20093,20094,3,345osm_영흥T1_345-영흥T2_345_3,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20093,20094,4,345osm_영흥T1_345-영흥T2_345_4,8e-06,8.1e-05,0.001705,0.0,0.0,0.0,0.0,2000,2200,2500,0.29,1
20062,20105,1,345osm_양산T3_345-양산T6_345_1,1e-06,6e-06,0.000118,0.0,0.0,0.0,0.0,2000,2200,2500,0.02,1
20080,20087,1,345osm_신김포_345-김포T1_345_1,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20080,20087,2,345osm_신김포_345-김포T1_345_2,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20080,20087,3,345osm_신김포_345-김포T1_345_3,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20080,20087,4,345osm_신김포_345-김포T1_345_4,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20079,20088,1,345osm_파주T1_345-파주T2_345_1,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20079,20088,2,345osm_파주T1_345-파주T2_345_2,5.1e-05,0.00055,0.011584,0.0,0.0,0.0,0.0,2000,2200,2500,1.97,1
20053,20079,1,345osm_신파주_345-파주T1_345_1,4.8e-05,0.000513,0.010819,0.0,0.0,0.0,0.0,2000,2200,2500,1.84,1
20053,20079,2,345osm_신파주_345-파주T1_345_2,4.8e-05,0.000513,0.010819,0.0,0.0,0.0,0.0,2000,2200,2500,1.84,1
20053,20079,3,345osm_신파주_345-파주T1_345_3,4.8e-05,0.000513,0.010819,0.0,0.0,0.0,0.0,2000,2200,2500,1.84,1
20053,20079,4,345osm_신파주_345-파주T1_345_4,4.8e-05,0.000513,0.010819,0.0,0.0,0.0,0.0,2000,2200,2500,1.84,1
20102,20107,1,345osm_남양주T3_345-성남T3_345_1,4.9e-05,0.000522,0.010996,0.0,0.0,0.0,0.0,2000,2200,2500,1.87,1
20102,20107,2,345osm_남양주T3_345-성남T3_345_2,4.9e-05,0.000522,0.010996,0.0,0.0,0.0,0.0,2000,2200,2500,1.87,1
20012,20064,1,345osm_신안성_345-서안성_345_1,0.000113,0.001211,0.025519,0.0,0.0,0.0,0.0,2000,2200,2500,4.34,1
20012,20064,2,345osm_신안성_345-서안성_345_2,0.000113,0.001211,0.025519,0.0,0.0,0.0,0.0,2000,2200,2500,4.34,1
20012,20064,3,345osm_신안성_345-서안성_345_3,0.000113,0.001211,0.025519,0.0,0.0,0.0,0.0,2000,2200,2500,4.34,1
20012,20064,4,345osm_신안성_345-서안성_345_4,0.000113,0.001211,0.025519,0.0,0.0,0.0,0.0,2000,2200,2500,4.34,1
20091,20095,1,345osm_북당진_345-당진T2_345_1,0.000153,0.001643,0.034633,0.0,0.0,0.0,0.0,2000,2200,2500,5.89,1
20091,20095,2,345osm_북당진_345-당진T2_345_2,0.000153,0.001643,0.034633,0.0,0.0,0.0,0.0,2000,2200,2500,5.89,1
20037,20090,1,345osm_신시흥_345-신시화_345_1,0.000142,0.001521,0.032046,0.0,0.0,0.0,0.0,2000,2200,2500,5.45,1
20037,20090,2,345osm_신시흥_345-신시화_345_2,0.000142,0.001521,0.032046,0.0,0.0,0.0,0.0,2000,2200,2500,5.45,1
20037,20090,3,345osm_신시흥_345-신시화_345_3,0.000142,0.001521,0.032046,0.0,0.0,0.0,0.0,2000,2200,2500,5.45,1
20037,20090,4,345osm_신시흥_345-신시화_345_4,0.000142,0.001521,0.032046,0.0,0.0,0.0,0.0,2000,2200,2500,5.45,1
20053,20054,1,345osm_신파주_345-신덕은_345_1,0.000165,0.001769,0.037279,0.0,0.0,0.0,0.0,2000,2200,2500,6.34,1
20053,20054,2,345osm_신파주_345-신덕은_345_2,0.000165,0.001769,0.037279,0.0,0.0,0.0,0.0,2000,2200,2500,6.34,1
20053,20054,3,345osm_신파주_345-신덕은_345_3,0.000165,0.001769,0.037279,0.0,0.0,0.0,0.0,2000,2200,2500,6.34,1
20053,20054,4,345osm_신파주_345-신덕은_345_4,0.000165,0.001769,0.037279,0.0,0.0,0.0,0.0,2000,2200,2500,6.34,1
20036,20076,1,345osm_신온양_345-신탕정_345_1,0.000175,0.001878,0.039572,0.0,0.0,0.0,0.0,2000,2200,2500,6.73,1
20036,20076,2,345osm_신온양_345-신탕정_345_2,0.000175,0.001878,0.039572,0.0,0.0,0.0,0.0,2000,2200,2500,6.73,1
20036,20076,3,345osm_신온양_345-신탕정_345_3,0.000175,0.001878,0.039572,0.0,0.0,0.0,0.0,2000,2200,2500,6.73,1
20036,20076,4,345osm_신온양_345-신탕정_345_4,0.000175,0.001878,0.039572,0.0,0.0,0.0,0.0,2000,2200,2500,6.73,1
20087,20088,1,345osm_김포T1_345-파주T2_345_1,0.000173,0.001855,0.039102,0.0,0.0,0.0,0.0,2000,2200,2500,6.65,1
20087,20088,2,345osm_김포T1_345-파주T2_345_2,0.000173,0.001855,0.039102,0.0,0.0,0.0,0.0,2000,2200,2500,6.65,1
20038,20071,1,345osm_신진천_345-신중부_345_1,0.000196,0.002098,0.044218,0.0,0.0,0.0,0.0,2000,2200,2500,7.52,1
20038,20071,2,345osm_신진천_345-신중부_345_2,0.000196,0.002098,0.044218,0.0,0.0,0.0,0.0,2000,2200,2500,7.52,1
20038,20071,3,345osm_신진천_345-신중부_345_3,0.000196,0.002098,0.044218,0.0,0.0,0.0,0.0,2000,2200,2500,7.52,1
20038,20071,4,345osm_신진천_345-신중부_345_4,0.000196,0.002098,0.044218,0.0,0.0,0.0,0.0,2000,2200,2500,7.52,1
20006,20101,1,345osm_신온산_345-남울산_345_1,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2000,2200,2500,7.46,1
20006,20101,2,345osm_신온산_345-남울산_345_2,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2000,2200,2500,7.46,1
20006,20101,3,345osm_신온산_345-남울산_345_3,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2000,2200,2500,7.46,1
20006,20101,4,345osm_신온산_345-남울산_345_4,0.000194,0.002081,0.043865,0.0,0.0,0.0,0.0,2000,2200,2500,7.46,1
20015,20057,1,345osm_신광명_345-영등포_345_1,0.000183,0.001961,0.041336,0.0,0.0,0.0,0.0,2000,2200,2500,7.03,1
20015,20057,2,345osm_신광명_345-영등포_345_2,0.000183,0.001961,0.041336,0.0,0.0,0.0,0.0,2000,2200,2500,7.03,1
20015,20057,3,345osm_신광명_345-영등포_345_3,0.000183,0.001961,0.041336,0.0,0.0,0.0,0.0,2000,2200,2500,7.03,1
20015,20057,4,345osm_신광명_345-영등포_345_4,0.000183,0.001961,0.041336,0.0,0.0,0.0,0.0,2000,2200,2500,7.03,1
20044,20056,1,345osm_양주_345-서울T1_345_1,0.000253,0.002717,0.057271,0.0,0.0,0.0,0.0,2000,2200,2500,9.74,1
20044,20056,2,345osm_양주_345-서울T1_345_2,0.000253,0.002717,0.057271,0.0,0.0,0.0,0.0,2000,2200,2500,9.74,1
20036,20040,1,345osm_신온양_345-아산_345_1,0.000311,0.00334,0.070384,0.0,0.0,0.0,0.0,2000,2200,2500,11.97,1
20036,20040,2,345osm_신온양_345-아산_345_2,0.000311,0.00334,0.070384,0.0,0.0,0.0,0.0,2000,2200,2500,11.97,1
20028,20029,1,345osm_전주T2_345-신김제_345_1,0.000315,0.003379,0.071207,0.0,0.0,0.0,0.0,2000,2200,2500,12.11,1
20028,20029,2,345osm_전주T2_345-신김제_345_2,0.000315,0.003379,0.071207,0.0,0.0,0.0,0.0,2000,2200,2500,12.11,1
20005,20039,1,345osm_신울산_345-서창_345_1,0.000336,0.00361,0.076087,0.0,0.0,0.0,0.0,2000,2200,2500,12.94,1
20005,20039,2,345osm_신울산_345-서창_345_2,0.000336,0.00361,0.076087,0.0,0.0,0.0,0.0,2000,2200,2500,12.94,1
20044,20079,1,345osm_양주_345-파주T1_345_1,0.000338,0.003627,0.07644,0.0,0.0,0.0,0.0,2000,2200,2500,13.0,1
20044,20079,2,345osm_양주_345-파주T1_345_2,0.000338,0.003627,0.07644,0.0,0.0,0.0,0.0,2000,2200,2500,13.0,1
20041,20075,1,345osm_신서산_345-신당진_345_1,0.000332,0.003566,0.075146,0.0,0.0,0.0,0.0,2000,2200,2500,12.78,1
