bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
70023,노들_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51563,126.92143
40025,영오_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52196,126.90603
70024,영오_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52196,126.90603
40026,여의_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52776,126.93026
70025,여의_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52776,126.93026
40027,마포_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.54203,126.94657
70026,마포_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.54203,126.94657
40028,상봉_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.5928,127.08046
70027,상봉_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.5928,127.08046
40029,중계_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.64673,127.08231
70028,중계_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.64673,127.08231
40030,석촌_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.51375,127.10456
70029,석촌_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.51375,127.10456
40031,신당_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56683,127.01635
70030,신당_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56683,127.01635
40032,방산_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56574,126.99905
70031,방산_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56574,126.99905
40033,서대문_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56426,126.9683
70032,서대문_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56426,126.9683
40034,용두_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.5757,127.0392
70033,용두_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.5757,127.0392
40035,돈암_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.59088,127.01078
70034,돈암_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.59088,127.01078
40036,이수_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.49907,126.99108
70035,이수_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.49907,126.99108
40037,중앙_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56536,126.98283
70036,중앙_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56536,126.98283
40038,운니_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.57758,126.98901
70037,운니_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.57758,126.98901
40039,원남_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.58002,126.99746
70038,원남_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.58002,126.99746
40040,방학_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.6828,127.04647
70039,방학_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.6828,127.04647
40041,연대_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56251,126.93246
70040,연대_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.56251,126.93246
40042,강남_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51172,127.065
70041,강남_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51172,127.065
40043,중동_154,인천광역시,154,154kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.52339,126.76359
70042,중동_D23,인천광역시,22.9,22.9kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.52339,126.76359
40044,공평_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.88638,128.61218
70043,공평_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.88638,128.61218
40045,전주_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.8656,127.07092
70044,전주_D23,전북특별자치도,22.9,22.9kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.8656,127.07092
40046,동대전_154,대전광역시,154,154kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.32353,127.43919
70045,동대전_D23,대전광역시,22.9,22.9kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.32353,127.43919
40047,거창_154,경상남도,154,154kV,PQ,5,영남,16,1.0,0.0,1.05,0.95,1,35.6656,127.91344
70046,거창_D23,경상남도,22.9,22.9kV,PQ,5,영남,16,1.0,0.0,1.05,0.95,1,35.6656,127.91344
40048,내당_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.86927,128.56855
70047,내당_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.86927,128.56855
20001,북부산_345,부산광역시,345,345kV,PQ,5,영남,2,1.0,0.0,1.05,0.95,1,35.2361,129.02471
40049,북부산_154,부산광역시,154,154kV,PQ,5,영남,2,1.0,0.0,1.05,0.95,1,35.2361,129.02471
60001,북부산_T23,부산광역시,23,23kV,PQ,5,영남,2,1.0,0.0,1.05,0.95,1,35.2361,129.02471
20002,청양_345,충청남도,345,345kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.46669,126.78829
40050,청양_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.46669,126.78829
60002,청양_T23,충청남도,23,23kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.46669,126.78829
40051,탕정_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.82719,127.06023
70048,탕정_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.82719,127.06023
40052,한남_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.53523,126.99983
70049,한남_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.53523,126.99983
40053,서천안_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.85957,127.11678
70050,서천안_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.85957,127.11678
40054,천안_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.79197,127.1663
70051,천안_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.79197,127.1663
40055,성거_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.88416,127.2095
70052,성거_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.88416,127.2095
40056,원정_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.99158,126.83897
70053,원정_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.99158,126.83897
20003,신포항_345,경상북도,345,345kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,35.93933,129.40734
40057,신포항_154,경상북도,154,154kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,35.93933,129.40734
60003,신포항_T23,경상북도,23,23kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,35.93933,129.40734
20004,울주_345,울산광역시,345,345kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.67774,129.21238
40058,울주_154,울산광역시,154,154kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.67774,129.21238
60004,울주_T23,울산광역시,23,23kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.67774,129.21238
40059,울산_154,울산광역시,154,154kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.51552,129.34115
70054,울산_D23,울산광역시,22.9,22.9kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.51552,129.34115
20005,신울산_345,울산광역시,345,345kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.49447,129.2985
40060,신울산_154,울산광역시,154,154kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.49447,129.2985
60005,신울산_T23,울산광역시,23,23kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.49447,129.2985
20006,신온산_345,울산광역시,345,345kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.43586,129.32929
40061,신온산_154,울산광역시,154,154kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.43586,129.32929
60006,신온산_T23,울산광역시,23,23kV,PQ,5,영남,7,1.0,0.0,1.05,0.95,1,35.43586,129.32929
20007,정읍T1_345,전북특별자치도,345,345kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.40738,126.41281
40062,정읍T1_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.40738,126.41281
60007,정읍T1_T23,전북특별자치도,23,23kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.40738,126.41281
20008,정읍T2_345,전북특별자치도,345,345kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.41005,126.41804
40063,정읍T2_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.41005,126.41804
60008,정읍T2_T23,전북특별자치도,23,23kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.41005,126.41804
20009,울진T1_345,경상북도,345,345kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,37.08997,129.38137
40064,울진T1_154,경상북도,154,154kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,37.08997,129.38137
60009,울진T1_T23,경상북도,23,23kV,PQ,5,영남,15,1.0,0.0,1.05,0.95,1,37.08997,129.38137
40065,유성_154,대전광역시,154,154kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.3796,127.31552
70055,유성_D23,대전광역시,22.9,22.9kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.3796,127.31552
20010,신옥천_345,대전광역시,345,345kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.29434,127.53269
40066,신옥천_154,대전광역시,154,154kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.29434,127.53269
60010,신옥천_T23,대전광역시,23,23kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.29434,127.53269
40067,양양_154,강원특별자치도,154,154kV,PQ,2,강원,10,1.0,0.0,1.05,0.95,1,38.05041,128.65047
70056,양양_D23,강원특별자치도,22.9,22.9kV,PQ,2,강원,10,1.0,0.0,1.05,0.95,1,38.05041,128.65047
40068,흥덕_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.27455,127.08674
70057,흥덕_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.27455,127.08674
40069,신갈_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.26935,127.08465
70058,신갈_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.26935,127.08465
40070,인주_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.84671,126.87893
70059,인주_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.84671,126.87893
40071,속초_154,강원특별자치도,154,154kV,PQ,2,강원,10,1.0,0.0,1.05,0.95,1,38.1851,128.56091
70060,속초_D23,강원특별자치도,22.9,22.9kV,PQ,2,강원,10,1.0,0.0,1.05,0.95,1,38.1851,128.56091
20011,신용인_345,경기도,345,345kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.24257,127.14629
40072,신용인_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.24257,127.14629
60011,신용인_T23,경기도,23,23kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.24257,127.14629
10000,신안성_765,경기도,765,765kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.09783,127.28128
20012,신안성_345,경기도,345,345kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.09783,127.28128
60012,신안성_T23,경기도,23,23kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.09783,127.28128
40073,오창_154,충청북도,154,154kV,PQ,3,충청,11,1.0,0.0,1.05,0.95,1,36.71677,127.4141
70061,오창_D23,충청북도,22.9,22.9kV,PQ,3,충청,11,1.0,0.0,1.05,0.95,1,36.71677,127.4141
40074,계양1_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.57106,126.73883
70062,계양1_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.57106,126.73883
40075,임학_154,인천광역시,154,154kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.5456,126.74477
70063,임학_D23,인천광역시,22.9,22.9kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.5456,126.74477
40076,동천안_154,충청북도,154,154kV,PQ,3,충청,11,1.0,0.0,1.05,0.95,1,36.76947,127.3299
70064,동천안_D23,충청북도,22.9,22.9kV,PQ,3,충청,11,1.0,0.0,1.05,0.95,1,36.76947,127.3299
40077,봉덕_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.83676,128.59488
70065,봉덕_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.83676,128.59488
40078,노포_154,경상남도,154,154kV,PQ,5,영남,16,1.0,0.0,1.05,0.95,1,35.28361,129.10316
70066,노포_D23,경상남도,22.9,22.9kV,PQ,5,영남,16,1.0,0.0,1.05,0.95,1,35.28361,129.10316
40079,산지_154,제주특별자치도,154,154kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.51603,126.53136
70067,산지_D23,제주특별자치도,22.9,22.9kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.51603,126.53136
40080,한라_154,제주특별자치도,154,154kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.27611,126.63875
70068,한라_D23,제주특별자치도,22.9,22.9kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.27611,126.63875
40081,노량진_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51387,126.946
70069,노량진_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.51387,126.946
40082,조천_154,제주특별자치도,154,154kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.53244,126.67595
70070,조천_D23,제주특별자치도,22.9,22.9kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.53244,126.67595
40083,신제주_154,제주특별자치도,154,154kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.47399,126.48769
70071,신제주_D23,제주특별자치도,22.9,22.9kV,PQ,6,제주,17,1.0,0.0,1.05,0.95,1,33.47399,126.48769
40084,대구T2_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.83991,128.63491
70072,대구T2_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.83991,128.63491
40085,범물_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.82017,128.64969
70073,범물_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.82017,128.64969
40086,보광_154,서울특별시,154,154kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52401,126.99567
70074,보광_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.0,0.0,1.05,0.95,1,37.52401,126.99567
40087,과천_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.42606,127.00271
70075,과천_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.42606,127.00271
20013,신성남_345,경기도,345,345kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.38267,127.05277
40088,신성남_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.38267,127.05277
60013,신성남_T23,경기도,23,23kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.38267,127.05277
20014,신계룡_345,대전광역시,345,345kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.24647,127.27593
40089,신계룡_154,대전광역시,154,154kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.24647,127.27593
60014,신계룡_T23,대전광역시,23,23kV,PQ,3,충청,6,1.0,0.0,1.05,0.95,1,36.24647,127.27593
20015,신광명_345,인천광역시,345,345kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.45848,126.84856
40090,신광명_154,인천광역시,154,154kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.45848,126.84856
60015,신광명_T23,인천광역시,23,23kV,PQ,1,수도권,4,1.0,0.0,1.05,0.95,1,37.45848,126.84856
20016,신수원_345,경기도,345,345kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.22161,127.07756
40091,신수원_154,경기도,154,154kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.22161,127.07756
60016,신수원_T23,경기도,23,23kV,PQ,1,수도권,9,1.0,0.0,1.05,0.95,1,37.22161,127.07756
40092,함열_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,36.0612,126.9763
70076,함열_D23,전북특별자치도,22.9,22.9kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,36.0612,126.9763
40093,관창_154,충청남도,154,154kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.38182,126.58184
70077,관창_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.0,0.0,1.05,0.95,1,36.38182,126.58184
20017,전주T1_345,전북특별자치도,345,345kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.84414,127.04618
40094,전주T1_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.84414,127.04618
60017,전주T1_T23,전북특별자치도,23,23kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.84414,127.04618
40095,이리_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.94292,126.93381
70078,이리_D23,전북특별자치도,22.9,22.9kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.94292,126.93381
20018,군산_345,전북특별자치도,345,345kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.96816,126.85711
40096,군산_154,전북특별자치도,154,154kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.96816,126.85711
60018,군산_T23,전북특별자치도,23,23kV,PQ,4,호남,13,1.0,0.0,1.05,0.95,1,35.96816,126.85711
20019,대구_345,대구광역시,345,345kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73322,128.69006
40097,대구_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73322,128.69006
60019,대구_T23,대구광역시,23,23kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73322,128.69006
20020,신경산_345,대구광역시,345,345kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.87204,128.83479
40098,신경산_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.87204,128.83479
60020,신경산_T23,대구광역시,23,23kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.87204,128.83479
20021,고령_345,대구광역시,345,345kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73368,128.40517
40099,고령_154,대구광역시,154,154kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73368,128.40517
60021,고령_T23,대구광역시,23,23kV,PQ,5,영남,3,1.0,0.0,1.05,0.95,1,35.73368,128.40517
