Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--end_vertex,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--lifetime,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--min_capacity,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--commodity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,Coal_power_plant_SEL,SEL,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,elec_SEL,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_PUS,PUS,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_PUS,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_TAE,TAE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_TAE,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_INC,INC,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_INC,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_KWJ,KWJ,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_KWJ,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_DJJ,DJJ,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_DJJ,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_USN,USN,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_USN,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_SJG,SJG,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_SJG,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_GGI,GGI,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_GGI,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
ThermalPower,Coal_power_plant_GWN,GWN,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,elec_GWN,1175000,0,30,15816.5,1.55,200,0,150,0,6,6,0.6,0.6,0.5,TRUE,FALSE,Coal,coal_source,TRUE,FALSE,CO2,co2_sink_KR,Coal,TRUE,3.825,0.3405
