Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--diesel_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--diesel_edge--commodity,edges--diesel_edge--unidirectional,edges--diesel_edge--has_capacity,edges--diesel_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSDiesel,BR_AC_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_AC,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_AL_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_AL,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_AP_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_AP,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_AM_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_AM,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_BA_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_BA,1033,300340,12098.33,79.95,713286,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_CE_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_CE,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_DF_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_DF,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_ES_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_ES,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_GO_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_GO,1033,300340,12098.33,79.95,1405026,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MA_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_MA,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MT_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_MT,1033,300340,12098.33,79.95,1870646.4,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MS_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_MS,1033,300340,12098.33,79.95,445662,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_MG_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_MG,1033,300340,12098.33,79.95,123606,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PA_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_PA,1033,300340,12098.33,79.95,238140,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PB_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_PB,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PR_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_PR,1033,300340,12098.33,79.95,1009940.4,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSDiesel,BR_PE_Soybean_Biodiesel_large,Biomass,TRUE,1.3,0.1,0.8,1.7,0.9,Soybean,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,soybean_harvested_BR_PE,1033,300340,12098.33,79.95,0,system/availability.csv,Availability_One,BioDiesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
