Type,id,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--can_retire,storage--commodity,storage--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--can_retire,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,edges--charge_edge--has_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--variable_om_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--efficiency,edges--charge_edge--start_vertex,edges--charge_edge--efficiency,edges--charge_edge--variable_om_cost,storage--existing_capacity,storage--fixed_om_cost,storage--investment_cost,storage--min_duration,storage--max_duration,edges--discharge_edge--end_vertex,edges--discharge_edge--min_flow_fraction
Battery,Region13Fujian_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,168.76,50,7223.958333,33758.87059,0.92,elec_Region13Fujian,0.92,100,84.38,14447.91667,67517.74118,1,2,elec_Region13Fujian,
Battery,Region14Jiangxi_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region14Jiangxi,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region14Jiangxi,
Battery,Region15Shandong_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region15Shandong,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region15Shandong,
Battery,Region16Henan_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region16Henan,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region16Henan,
Battery,Region17Hubei_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region17Hubei,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region17Hubei,
Battery,Region18Hunan_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,167.04,50,7223.958333,33758.87059,0.92,elec_Region18Hunan,0.92,100,83.52,14447.91667,67517.74118,1,2,elec_Region18Hunan,
Battery,Region19Guangdong_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,568.86,50,7223.958333,33758.87059,0.92,elec_Region19Guangdong,0.92,100,284.43,14447.91667,67517.74118,1,2,elec_Region19Guangdong,
Battery,Region20Guangxi_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region20Guangxi,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region20Guangxi,
Battery,Region21Hainan_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region21Hainan,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region21Hainan,
Battery,Region22Chongqing_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region22Chongqing,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region22Chongqing,
Battery,Region23Sichuan_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,1.4,50,7223.958333,33758.87059,0.92,elec_Region23Sichuan,0.92,100,0.7,14447.91667,67517.74118,1,2,elec_Region23Sichuan,
Battery,Region24Guizhou_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region24Guizhou,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region24Guizhou,
Battery,Region25Yunnan_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region25Yunnan,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region25Yunnan,
Battery,Region26Tibet_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,306.66,50,7223.958333,33758.87059,0.92,elec_Region26Tibet,0.92,100,153.33,14447.91667,67517.74118,1,2,elec_Region26Tibet,
Battery,Region27Shaanxi_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,14.24,50,7223.958333,33758.87059,0.92,elec_Region27Shaanxi,0.92,100,7.12,14447.91667,67517.74118,1,2,elec_Region27Shaanxi,
Battery,Region28Gansu_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,701.22,50,7223.958333,33758.87059,0.92,elec_Region28Gansu,0.92,100,350.61,14447.91667,67517.74118,1,2,elec_Region28Gansu,
Battery,Region29Qinghai_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,106.04,50,7223.958333,33758.87059,0.92,elec_Region29Qinghai,0.92,100,53.02,14447.91667,67517.74118,1,2,elec_Region29Qinghai,
Battery,Region30Ningxia_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,0,50,7223.958333,33758.87059,0.92,elec_Region30Ningxia,0.92,100,0,14447.91667,67517.74118,1,2,elec_Region30Ningxia,
Battery,Region31Xinjiang_battery,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,TRUE,TRUE,TRUE,Electricity,FALSE,200,488.76,50,7223.958333,33758.87059,0.92,elec_Region31Xinjiang,0.92,100,244.38,14447.91667,67517.74118,1,2,elec_Region31Xinjiang,
Battery,Region1Beijing_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,6576,10.41666667,24447.91667,,0.84,elec_Region1Beijing,0.84,,822,,,8,10,elec_Region1Beijing,0.5
Battery,Region2Tianjin_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region2Tianjin,0.84,,0,,,8,10,elec_Region2Tianjin,0.5
Battery,Region3Hebei_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,10248,10.41666667,24447.91667,,0.84,elec_Region3Hebei,0.84,,1281,,,8,10,elec_Region3Hebei,0.5
Battery,Region4Shanxi_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,9600,10.41666667,24447.91667,,0.84,elec_Region4Shanxi,0.84,,1200,,,8,10,elec_Region4Shanxi,0.5
Battery,Region5Innermongolia_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,9600,10.41666667,24447.91667,,0.84,elec_Region5Innermongolia,0.84,,1200,,,8,10,elec_Region5Innermongolia,0.5
Battery,Region6Liaoning_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,9600,10.41666667,24447.91667,,0.84,elec_Region6Liaoning,0.84,,1200,,,8,10,elec_Region6Liaoning,0.5
Battery,Region7Jilin_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,2400,10.41666667,24447.91667,,0.84,elec_Region7Jilin,0.84,,300,,,8,10,elec_Region7Jilin,0.5
Battery,Region8Heilongjiang_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region8Heilongjiang,0.84,,0,,,8,10,elec_Region8Heilongjiang,0.5
Battery,Region9Shanghai_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region9Shanghai,0.84,,0,,,8,10,elec_Region9Shanghai,0.5
Battery,Region10Jiangsu_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,20800,10.41666667,24447.91667,,0.84,elec_Region10Jiangsu,0.84,,2600,,,8,10,elec_Region10Jiangsu,0.5
Battery,Region11Zhejiang_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,36640,10.41666667,24447.91667,,0.84,elec_Region11Zhejiang,0.84,,4580,,,8,10,elec_Region11Zhejiang,0.5
Battery,Region12Anhui_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,27840,10.41666667,24447.91667,,0.84,elec_Region12Anhui,0.84,,3480,,,8,10,elec_Region12Anhui,0.5
Battery,Region13Fujian_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,9600,10.41666667,24447.91667,,0.84,elec_Region13Fujian,0.84,,1200,,,8,10,elec_Region13Fujian,0.5
Battery,Region14Jiangxi_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,19200,10.41666667,24447.91667,,0.84,elec_Region14Jiangxi,0.84,,2400,,,8,10,elec_Region14Jiangxi,0.5
Battery,Region15Shandong_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,8000,10.41666667,24447.91667,,0.84,elec_Region15Shandong,0.84,,1000,,,8,10,elec_Region15Shandong,0.5
Battery,Region16Henan_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,10560,10.41666667,24447.91667,,0.84,elec_Region16Henan,0.84,,1320,,,8,10,elec_Region16Henan,0.5
Battery,Region17Hubei_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,10160,10.41666667,24447.91667,,0.84,elec_Region17Hubei,0.84,,1270,,,8,10,elec_Region17Hubei,0.5
Battery,Region18Hunan_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,9600,10.41666667,24447.91667,,0.84,elec_Region18Hunan,0.84,,1200,,,8,10,elec_Region18Hunan,0.5
Battery,Region19Guangdong_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,58240,10.41666667,24447.91667,,0.84,elec_Region19Guangdong,0.84,,7280,,,8,10,elec_Region19Guangdong,0.5
Battery,Region20Guangxi_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region20Guangxi,0.84,,0,,,8,10,elec_Region20Guangxi,0.5
Battery,Region21Hainan_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,4800,10.41666667,24447.91667,,0.84,elec_Region21Hainan,0.84,,600,,,8,10,elec_Region21Hainan,0.5
Battery,Region22Chongqing_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region22Chongqing,0.84,,0,,,8,10,elec_Region22Chongqing,0.5
Battery,Region23Sichuan_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region23Sichuan,0.84,,0,,,8,10,elec_Region23Sichuan,0.5
Battery,Region24Guizhou_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region24Guizhou,0.84,,0,,,8,10,elec_Region24Guizhou,0.5
Battery,Region25Yunnan_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region25Yunnan,0.84,,0,,,8,10,elec_Region25Yunnan,0.5
Battery,Region26Tibet_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,720,10.41666667,24447.91667,,0.84,elec_Region26Tibet,0.84,,90,,,8,10,elec_Region26Tibet,0.5
Battery,Region27Shaanxi_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region27Shaanxi,0.84,,0,,,8,10,elec_Region27Shaanxi,0.5
Battery,Region28Gansu_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region28Gansu,0.84,,0,,,8,10,elec_Region28Gansu,0.5
Battery,Region29Qinghai_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region29Qinghai,0.84,,0,,,8,10,elec_Region29Qinghai,0.5
Battery,Region30Ningxia_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region30Ningxia,0.84,,0,,,8,10,elec_Region30Ningxia,0.5
Battery,Region31Xinjiang_pumpedhydro,,TRUE,TRUE,TRUE,TRUE,FALSE,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,Electricity,FALSE,TRUE,TRUE,Electricity,FALSE,200,0,10.41666667,24447.91667,,0.84,elec_Region31Xinjiang,0.84,,0,,,8,10,elec_Region31Xinjiang,0.5
