Type,id,co2_sink,transforms--emission_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex
FuelsEndUse,BR_AL_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AL,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AP_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AP,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_AM_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_AM,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_BA_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_BA,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CE_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_CE,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_DF_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_DF,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_ES_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_ES,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_GO_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_GO,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MA_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_MA,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MT_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_MT,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MS_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_MS,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_MG_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_MG,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PA_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_PA,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_PB_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_PB,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
