bus,id,name,p_mw,q_mvar,vset_pu,q_max_mvar,q_min_mvar,p_max_mw,p_min_mw,mbase_mva,reg_bus,is_slack,in_service
40467,PV101,태양광_이천,50.46,0.0,1.0,0.0,0.0,77.63,0.0,77.6,40467,0,1
40559,PV102,태양광_송월,84.617,0.0,1.0,0.0,0.0,130.18,0.0,130.2,40559,0,1
40142,PV103,태양광_도봉,40.079,0.0,1.0,0.0,0.0,61.66,0.0,61.7,40142,0,1
40778,PV104,태양광_syn서울10,57.707,0.0,1.0,0.0,0.0,88.78,0.0,88.8,40778,0,1
40628,PV105,태양광_감곡,79.534,0.0,1.0,0.0,0.0,122.36,0.0,122.4,40628,0,1
40037,PV106,태양광_운니,44.421,0.0,1.0,0.0,0.0,68.34,0.0,68.3,40037,0,1
40401,PV107,태양광_전곡,67.23,0.0,1.0,0.0,0.0,103.43,0.0,103.4,40401,0,1
40001,PV108,태양광_화양,42.595,0.0,1.0,0.0,0.0,65.53,0.0,65.5,40001,0,1
40461,PV109,태양광_마북,72.742,0.0,1.0,0.0,0.0,111.91,0.0,111.9,40461,0,1
40558,PV110,태양광_영종,43.355,0.0,1.0,0.0,0.0,66.7,0.0,66.7,40558,0,1
40136,PV111,태양광_철원,44.889,0.0,1.0,0.0,0.0,69.06,0.0,69.1,40136,0,1
40223,PV112,태양광_연수,86.749,0.0,1.0,0.0,0.0,133.46,0.0,133.5,40223,0,1
40014,PV113,태양광_풍납,57.863,0.0,1.0,0.0,0.0,89.02,0.0,89.0,40014,0,1
40586,PV114,태양광_도림,77.513,0.0,1.0,0.0,0.0,119.25,0.0,119.3,40586,0,1
40011,PV115,태양광_대치,83.512,0.0,1.0,0.0,0.0,128.48,0.0,128.5,40011,0,1
40077,PV116,태양광_노량진,39.917,0.0,1.0,0.0,0.0,61.41,0.0,61.4,40077,0,1
40301,PV117,태양광_문발,72.118,0.0,1.0,0.0,0.0,110.95,0.0,110.9,40301,0,1
40249,PV118,태양광_능곡,42.582,0.0,1.0,0.0,0.0,65.51,0.0,65.5,40249,0,1
40748,PV119,태양광_북시화,43.914,0.0,1.0,0.0,0.0,67.56,0.0,67.6,40748,0,1
40728,PV120,태양광_오류,66.775,0.0,1.0,0.0,0.0,102.73,0.0,102.7,40728,0,1
40625,PV121,태양광_고한,55.848,0.0,1.0,0.0,0.0,85.92,0.0,85.9,40625,0,1
40869,PV122,태양광_syn원주1,61.107,0.0,1.0,0.0,0.0,94.01,0.0,94.0,40869,0,1
40283,PV123,태양광_태백,44.681,0.0,1.0,0.0,0.0,68.74,0.0,68.7,40283,0,1
40606,PV124,태양광_북원주,35.809,0.0,1.0,0.0,0.0,55.09,0.0,55.1,40606,0,1
40299,PV125,태양광_횡성,27.209,0.0,1.0,0.0,0.0,41.86,0.0,41.9,40299,0,1
40063,PV126,태양광_양양,38.571,0.0,1.0,0.0,0.0,59.34,0.0,59.3,40063,0,1
40604,PV127,태양광_서원주,35.763,0.0,1.0,0.0,0.0,55.02,0.0,55.0,40604,0,1
40605,PV128,태양광_동원주,51.688,0.0,1.0,0.0,0.0,79.52,0.0,79.5,40605,0,1
40395,PV129,태양광_북강릉,60.093,0.0,1.0,0.0,0.0,92.45,0.0,92.5,40395,0,1
40868,PV130,태양광_syn강릉1,51.305,0.0,1.0,0.0,0.0,78.93,0.0,78.9,40868,0,1
40382,PV131,태양광_홍천,29.458,0.0,1.0,0.0,0.0,45.32,0.0,45.3,40382,0,1
40203,PV132,태양광_북평,38.727,0.0,1.0,0.0,0.0,59.58,0.0,59.6,40203,0,1
40396,PV133,태양광_화천,46.924,0.0,1.0,0.0,0.0,72.19,0.0,72.2,40396,0,1
40398,PV134,태양광_북춘천,47.385,0.0,1.0,0.0,0.0,72.9,0.0,72.9,40398,0,1
40624,PV135,태양광_한국철도공사동해변전사업소,61.393,0.0,1.0,0.0,0.0,94.45,0.0,94.5,40624,0,1
40600,PV136,태양광_올림픽,40.807,0.0,1.0,0.0,0.0,62.78,0.0,62.8,40600,0,1
40380,PV137,태양광_주문진,31.038,0.0,1.0,0.0,0.0,47.75,0.0,47.8,40380,0,1
40175,PV138,태양광_강릉,37.499,0.0,1.0,0.0,0.0,57.69,0.0,57.7,40175,0,1
40397,PV139,태양광_춘천,45.182,0.0,1.0,0.0,0.0,69.51,0.0,69.5,40397,0,1
40362,PV140,태양광_가평,39.54,0.0,1.0,0.0,0.0,60.83,0.0,60.8,40362,0,1
40711,PV141,태양광_한라시멘트,47.041,0.0,1.0,0.0,0.0,72.37,0.0,72.4,40711,0,1
40608,PV142,태양광_둔내,26.91,0.0,1.0,0.0,0.0,41.4,0.0,41.4,40608,0,1
40399,PV143,태양광_서홍천,30.095,0.0,1.0,0.0,0.0,46.3,0.0,46.3,40399,0,1
40384,PV144,태양광_양구,38.864,0.0,1.0,0.0,0.0,59.79,0.0,59.8,40384,0,1
40603,PV145,태양광_삼척,47.977,0.0,1.0,0.0,0.0,73.81,0.0,73.8,40603,0,1
40381,PV146,태양광_인제,53.749,0.0,1.0,0.0,0.0,82.69,0.0,82.7,40381,0,1
40607,PV147,태양광_남원주,42.432,0.0,1.0,0.0,0.0,65.28,0.0,65.3,40607,0,1
40067,PV148,태양광_속초,44.389,0.0,1.0,0.0,0.0,68.29,0.0,68.3,40067,0,1
40602,PV149,태양광_평창,38.643,0.0,1.0,0.0,0.0,59.45,0.0,59.5,40602,0,1
40372,PV150,태양광_동영월,50.525,0.0,1.0,0.0,0.0,77.73,0.0,77.7,40372,0,1
40075,PV151,태양광_산지,45.273,0.0,1.0,0.0,0.0,69.65,0.0,69.7,40075,0,1
40076,PV152,태양광_한라,54.886,0.0,1.0,0.0,0.0,84.44,0.0,84.4,40076,0,1
40078,PV153,태양광_조천,37.934,0.0,1.0,0.0,0.0,58.36,0.0,58.4,40078,0,1
40079,PV154,태양광_신제주,53.528,0.0,1.0,0.0,0.0,82.35,0.0,82.3,40079,0,1
40209,PV155,태양광_성산,41.035,0.0,1.0,0.0,0.0,63.13,0.0,63.1,40209,0,1
40307,PV156,태양광_신서귀,36.348,0.0,1.0,0.0,0.0,55.92,0.0,55.9,40307,0,1
40665,PV157,태양광_동제주,36.628,0.0,1.0,0.0,0.0,56.35,0.0,56.4,40665,0,1
40673,PV158,태양광_표선,29.53,0.0,1.0,0.0,0.0,45.43,0.0,45.4,40673,0,1
40674,PV159,태양광_안덕,32.676,0.0,1.0,0.0,0.0,50.27,0.0,50.3,40674,0,1
40675,PV160,태양광_한림,46.859,0.0,1.0,0.0,0.0,72.09,0.0,72.1,40675,0,1
40516,WT1,풍력_현풍,2.533,0.0,1.0,0.0,0.0,14.9,0.0,14.9,40516,0,1
40170,WT2,풍력_울산T2,4.345,0.0,1.0,0.0,0.0,25.56,0.0,25.6,40170,0,1
40834,WT3,풍력_syn울산20,2.582,0.0,1.0,0.0,0.0,15.19,0.0,15.2,40834,0,1
40198,WT4,풍력_고성,2.157,0.0,1.0,0.0,0.0,12.69,0.0,12.7,40198,0,1
40491,WT5,풍력_삼천포,4.52,0.0,1.0,0.0,0.0,26.59,0.0,26.6,40491,0,1
40520,WT6,풍력_다사,3.686,0.0,1.0,0.0,0.0,21.68,0.0,21.7,40520,0,1
40492,WT7,풍력_안정,3.451,0.0,1.0,0.0,0.0,20.3,0.0,20.3,40492,0,1
40702,WT8,풍력_양산T2,3.436,0.0,1.0,0.0,0.0,20.21,0.0,20.2,40702,0,1
40481,WT9,풍력_안민,3.121,0.0,1.0,0.0,0.0,18.36,0.0,18.4,40481,0,1
40698,WT10,풍력_창원T1,3.857,0.0,1.0,0.0,0.0,22.69,0.0,22.7,40698,0,1
40187,WT11,풍력_밀양T2,3.502,0.0,1.0,0.0,0.0,20.6,0.0,20.6,40187,0,1
40264,WT12,풍력_효목,2.64,0.0,1.0,0.0,0.0,15.53,0.0,15.5,40264,0,1
40845,WT13,풍력_syn경주1,4.513,0.0,1.0,0.0,0.0,26.55,0.0,26.6,40845,0,1
40326,WT14,풍력_달서,3.22,0.0,1.0,0.0,0.0,18.94,0.0,18.9,40326,0,1
40509,WT15,풍력_청하,2.839,0.0,1.0,0.0,0.0,16.7,0.0,16.7,40509,0,1
40833,WT16,풍력_syn울산19,3.616,0.0,1.0,0.0,0.0,21.27,0.0,21.3,40833,0,1
40854,WT17,풍력_syn포항1,2.921,0.0,1.0,0.0,0.0,17.18,0.0,17.2,40854,0,1
40522,WT18,풍력_흥해,3.119,0.0,1.0,0.0,0.0,18.35,0.0,18.4,40522,0,1
40505,WT19,풍력_북포항,4.088,0.0,1.0,0.0,0.0,24.05,0.0,24.0,40505,0,1
40169,WT20,풍력_용연,3.138,0.0,1.0,0.0,0.0,18.46,0.0,18.5,40169,0,1
40538,WT21,풍력_안계,3.296,0.0,1.0,0.0,0.0,19.39,0.0,19.4,40538,0,1
40679,WT22,풍력_양정,3.614,0.0,1.0,0.0,0.0,21.26,0.0,21.3,40679,0,1
40446,WT23,풍력_영덕,2.604,0.0,1.0,0.0,0.0,15.32,0.0,15.3,40446,0,1
40379,WT24,풍력_태화,3.157,0.0,1.0,0.0,0.0,18.57,0.0,18.6,40379,0,1
40479,WT25,풍력_월림,3.223,0.0,1.0,0.0,0.0,18.96,0.0,19.0,40479,0,1
40507,WT26,풍력_경주,4.525,0.0,1.0,0.0,0.0,26.62,0.0,26.6,40507,0,1
40705,WT27,풍력_수영,3.278,0.0,1.0,0.0,0.0,19.28,0.0,19.3,40705,0,1
40660,WT28,풍력_반천,3.097,0.0,1.0,0.0,0.0,18.22,0.0,18.2,40660,0,1
40156,WT29,풍력_유가,4.622,0.0,1.0,0.0,0.0,27.19,0.0,27.2,40156,0,1
40851,WT30,풍력_syn대구4,3.043,0.0,1.0,0.0,0.0,17.9,0.0,17.9,40851,0,1
40584,WT31,풍력_금천,3.548,0.0,1.0,0.0,0.0,20.87,0.0,20.9,40584,0,1
40575,WT32,풍력_충장,3.866,0.0,1.0,0.0,0.0,22.74,0.0,22.7,40575,0,1
40633,WT33,풍력_팔봉,2.932,0.0,1.0,0.0,0.0,17.25,0.0,17.3,40633,0,1
40703,WT34,풍력_정읍T3,3.179,0.0,1.0,0.0,0.0,18.7,0.0,18.7,40703,0,1
40619,WT35,풍력_고창,3.13,0.0,1.0,0.0,0.0,18.41,0.0,18.4,40619,0,1
40691,WT36,풍력_흑석,2.575,0.0,1.0,0.0,0.0,15.15,0.0,15.2,40691,0,1
40614,WT37,풍력_임실,2.756,0.0,1.0,0.0,0.0,16.21,0.0,16.2,40614,0,1
40629,WT38,풍력_태평,3.461,0.0,1.0,0.0,0.0,20.36,0.0,20.4,40629,0,1
40576,WT39,풍력_일곡,2.322,0.0,1.0,0.0,0.0,13.66,0.0,13.7,40576,0,1
40618,WT40,풍력_소룡,2.04,0.0,1.0,0.0,0.0,12.0,0.0,12.0,40618,0,1
40248,WT41,풍력_보성,4.014,0.0,1.0,0.0,0.0,23.61,0.0,23.6,40248,0,1
40580,WT42,풍력_매월,1.948,0.0,1.0,0.0,0.0,11.46,0.0,11.5,40580,0,1
40612,WT43,풍력_남전주,2.632,0.0,1.0,0.0,0.0,15.48,0.0,15.5,40612,0,1
40168,WT44,풍력_영광,4.019,0.0,1.0,0.0,0.0,23.64,0.0,23.6,40168,0,1
40594,WT45,풍력_담양,2.931,0.0,1.0,0.0,0.0,17.24,0.0,17.2,40594,0,1
40044,WT46,풍력_전주,2.343,0.0,1.0,0.0,0.0,13.78,0.0,13.8,40044,0,1
40883,WT47,풍력_syn고흥1,1.821,0.0,1.0,0.0,0.0,10.71,0.0,10.7,40883,0,1
40876,WT48,풍력_syn군산2,3.701,0.0,1.0,0.0,0.0,21.77,0.0,21.8,40876,0,1
40217,WT49,풍력_장성,2.944,0.0,1.0,0.0,0.0,17.32,0.0,17.3,40217,0,1
40611,WT50,풍력_내초,2.329,0.0,1.0,0.0,0.0,13.7,0.0,13.7,40611,0,1
40583,WT51,풍력_구례,2.416,0.0,1.0,0.0,0.0,14.21,0.0,14.2,40583,0,1
40881,WT52,풍력_syn정읍1,3.694,0.0,1.0,0.0,0.0,21.73,0.0,21.7,40881,0,1
40572,WT53,풍력_여수,2.91,0.0,1.0,0.0,0.0,17.12,0.0,17.1,40572,0,1
40199,WT54,풍력_남창,3.169,0.0,1.0,0.0,0.0,18.64,0.0,18.6,40199,0,1
40598,WT55,풍력_화순,3.264,0.0,1.0,0.0,0.0,19.2,0.0,19.2,40598,0,1
40765,WT56,풍력_대불,3.798,0.0,1.0,0.0,0.0,22.34,0.0,22.3,40765,0,1
40280,WT57,풍력_진도,2.887,0.0,1.0,0.0,0.0,16.98,0.0,17.0,40280,0,1
40582,WT58,풍력_곡성,3.577,0.0,1.0,0.0,0.0,21.04,0.0,21.0,40582,0,1
40875,WT59,풍력_syn군산1,1.904,0.0,1.0,0.0,0.0,11.2,0.0,11.2,40875,0,1
40880,WT60,풍력_syn전주1,2.783,0.0,1.0,0.0,0.0,16.37,0.0,16.4,40880,0,1
40746,WT61,풍력_영월T1,3.062,0.0,1.0,0.0,0.0,18.01,0.0,18.0,40746,0,1
40604,WT62,풍력_서원주,2.411,0.0,1.0,0.0,0.0,14.18,0.0,14.2,40604,0,1
40606,WT63,풍력_북원주,3.466,0.0,1.0,0.0,0.0,20.39,0.0,20.4,40606,0,1
40299,WT64,풍력_횡성,3.551,0.0,1.0,0.0,0.0,20.89,0.0,20.9,40299,0,1
40380,WT65,풍력_주문진,2.035,0.0,1.0,0.0,0.0,11.97,0.0,12.0,40380,0,1
40395,WT66,풍력_북강릉,2.895,0.0,1.0,0.0,0.0,17.03,0.0,17.0,40395,0,1
40396,WT67,풍력_화천,2.424,0.0,1.0,0.0,0.0,14.26,0.0,14.3,40396,0,1
40381,WT68,풍력_인제,2.336,0.0,1.0,0.0,0.0,13.74,0.0,13.7,40381,0,1
40607,WT69,풍력_남원주,1.756,0.0,1.0,0.0,0.0,10.33,0.0,10.3,40607,0,1
40362,WT70,풍력_가평,3.284,0.0,1.0,0.0,0.0,19.32,0.0,19.3,40362,0,1
40398,WT71,풍력_북춘천,3.539,0.0,1.0,0.0,0.0,20.82,0.0,20.8,40398,0,1
40400,WT72,풍력_남춘천,3.177,0.0,1.0,0.0,0.0,18.69,0.0,18.7,40400,0,1
40601,WT73,풍력_주진,2.341,0.0,1.0,0.0,0.0,13.77,0.0,13.8,40601,0,1
40399,WT74,풍력_서홍천,2.456,0.0,1.0,0.0,0.0,14.45,0.0,14.4,40399,0,1
40869,WT75,풍력_syn원주1,2.45,0.0,1.0,0.0,0.0,14.41,0.0,14.4,40869,0,1
40329,WT76,풍력_영월,3.505,0.0,1.0,0.0,0.0,20.62,0.0,20.6,40329,0,1
40709,WT77,풍력_춘천T2,3.686,0.0,1.0,0.0,0.0,21.68,0.0,21.7,40709,0,1
40384,WT78,풍력_양구,2.137,0.0,1.0,0.0,0.0,12.57,0.0,12.6,40384,0,1
40599,WT79,풍력_횡계,2.465,0.0,1.0,0.0,0.0,14.5,0.0,14.5,40599,0,1
40708,WT80,풍력_춘천T1,2.72,0.0,1.0,0.0,0.0,16.0,0.0,16.0,40708,0,1
40372,WT81,풍력_동영월,3.735,0.0,1.0,0.0,0.0,21.97,0.0,22.0,40372,0,1
40868,WT82,풍력_syn강릉1,3.034,0.0,1.0,0.0,0.0,17.85,0.0,17.8,40868,0,1
