hv_bus,mv_bus,lv_bus,id,name,r_hv_mv_pu,x_hv_mv_pu,r_mv_lv_pu,x_mv_lv_pu,r_lv_hv_pu,x_lv_hv_pu,g_pu,b_pu,ratio_hv,ratio_mv,ratio_lv,tap_step,tap_min,tap_max,shift_mv_deg,shift_lv_deg,vn_hv_kv,vn_mv_kv,vn_lv_kv,rate_hv_mva,rate_mv_mva,rate_lv_mva,cont_bus,in_service
20011,40084,60011,2,신계룡_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40084,1
20012,40085,60012,1,신광명_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20012,40085,60012,2,신광명_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20012,40085,60012,3,신광명_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40085,1
20013,40086,60013,1,신수원_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40086,1
20013,40086,60013,2,신수원_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40086,1
20013,40086,60013,3,신수원_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40086,1
20014,40090,60014,1,군산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40090,1
20014,40090,60014,2,군산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40090,1
20015,40091,60015,1,대구_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40091,1
20015,40091,60015,2,대구_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40091,1
20016,40092,60016,1,신경산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.97,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40092,1
20016,40092,60016,2,신경산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.97,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40092,1
20017,40093,60017,1,고령_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40093,1
20017,40093,60017,2,고령_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40093,1
20018,40094,60018,1,서대구_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40094,1
20018,40094,60018,2,서대구_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40094,1
20019,40095,60019,1,안성_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40095,1
20019,40095,60019,2,안성_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40095,1
20019,40095,60019,3,안성_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40095,1
20020,40098,60020,1,청원_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40098,1
20020,40098,60020,2,청원_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40098,1
20021,40099,60021,1,신광주_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40099,1
20021,40099,60021,2,신광주_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40099,1
20022,40100,60022,1,신남원_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40100,1
