hv_bus,lv_bus,id,name,r_pu,x_pu,g_pu,b_pu,ratio,tap_step,tap_min,tap_max,shift_deg,vn_hv_kv,vn_lv_kv,sn_mva,rate_a_mva,rate_b_mva,rate_c_mva,cont_bus,in_service
40553,70481,M3,인천_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70481,1
40554,70482,M1,신현_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70482,1
40554,70482,M2,신현_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70482,1
40554,70482,M3,신현_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70482,1
40555,70483,M1,송현_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70483,1
40555,70483,M2,송현_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70483,1
40555,70483,M3,송현_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70483,1
40556,70484,M1,북인천_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70484,1
40556,70484,M2,북인천_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70484,1
40556,70484,M3,북인천_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70484,1
40556,70484,M4,북인천_MTr4,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70484,1
40557,70485,M1,만수_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70485,1
40557,70485,M2,만수_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70485,1
40557,70485,M3,만수_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70485,1
40558,70486,M1,영종_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70486,1
40558,70486,M2,영종_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70486,1
40558,70486,M3,영종_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70486,1
40559,70487,M1,송월_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70487,1
40559,70487,M2,송월_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70487,1
40559,70487,M3,송월_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70487,1
40560,70488,M1,남인천_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70488,1
40560,70488,M2,남인천_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70488,1
40560,70488,M3,남인천_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70488,1
40561,70489,M1,관교_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70489,1
40561,70489,M2,관교_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70489,1
40561,70489,M3,관교_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70489,1
40562,70490,M1,왕길_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70490,1
40562,70490,M2,왕길_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70490,1
40562,70490,M3,왕길_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70490,1
40562,70490,M4,왕길_MTr4,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70490,1
40563,70491,M1,경서_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70491,1
40563,70491,M2,경서_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70491,1
40563,70491,M3,경서_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70491,1
40563,70491,M4,경서_MTr4,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70491,1
40564,70492,M1,부평T1_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70492,1
40564,70492,M2,부평T1_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70492,1
40564,70492,M3,부평T1_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70492,1
40565,70493,M1,청라_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70493,1
40565,70493,M2,청라_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70493,1
40565,70493,M3,청라_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70493,1
40566,70494,M1,부개_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70494,1
40566,70494,M2,부개_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70494,1
40566,70494,M3,부개_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70494,1
40567,70495,M1,안심_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70495,1
40567,70495,M2,안심_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70495,1
40567,70495,M3,안심_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70495,1
40568,70496,M1,구암_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70496,1
40568,70496,M2,구암_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70496,1
40568,70496,M3,구암_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70496,1
40569,70497,M1,관음_MTr1,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70497,1
40569,70497,M2,관음_MTr2,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70497,1
40569,70497,M3,관음_MTr3,0.012,0.242,0.0,0.0,1.0,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70497,1
40570,70498,M1,소라_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70498,1
40570,70498,M2,소라_MTr2,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70498,1
40570,70498,M3,소라_MTr3,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70498,1
40570,70498,M4,소라_MTr4,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70498,1
40571,70499,M1,율촌_MTr1,0.012,0.242,0.0,0.0,0.98,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70499,1
40571,70499,M2,율촌_MTr2,0.012,0.242,0.0,0.0,0.98,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70499,1
40571,70499,M3,율촌_MTr3,0.012,0.242,0.0,0.0,0.98,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70499,1
40571,70499,M4,율촌_MTr4,0.012,0.242,0.0,0.0,0.98,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70499,1
40572,70500,M1,여수_MTr1,0.012,0.242,0.0,0.0,0.99,0.01,0.9,1.1,0.0,154,22.9,60.0,60,72,78,70500,1
