Time_Index,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one,SEL_solar,SEL_onwind,SEL_offwind-dc,PUS_solar,PUS_onwind,PUS_offwind-dc,TAE_solar,TAE_onwind,TAE_offwind-dc,INC_solar,INC_onwind,INC_offwind-dc,KWJ_solar,KWJ_onwind,KWJ_offwind-dc,DJJ_solar,DJJ_onwind,DJJ_offwind-dc,USN_solar,USN_onwind,USN_offwind-dc,SJG_solar,SJG_onwind,SJG_offwind-dc,GGI_solar,GGI_onwind,GGI_offwind-dc,GWN_solar,GWN_onwind,GWN_offwind-dc,CNB_solar,CNB_onwind,CNB_offwind-dc,CNA_solar,CNA_onwind,CNA_offwind-dc,JNB_solar,JNB_onwind,JNB_offwind-dc,JNA_solar,JNA_onwind,JNA_offwind-dc,GNB_solar,GNB_onwind,GNB_offwind-dc,GNA_solar,GNA_onwind,GNA_offwind-dc,JEJ_solar,JEJ_onwind,JEJ_offwind-dc
1,0,0.080424789,0.273421735,0.325173447,1,0.1324271114073877,0.0,0.0,0.180318689709165,0.0223983272190229,0.0,0.1755243558782857,0.0386418615407607,0.8855000000000002,0.111193673244432,0.1913106212919993,0.2256612250876774,0.0694017641734947,0.0,0.0,0.1310493749628606,0.0,0.0,0.171699432811823,0.0333949771699415,0.0,0.1208024497488531,0.0,0.0,0.1238332420188419,0.0,0.0,0.1669585036272292,0.0364393706690534,0.0,0.1490708831702031,0.0,0.0,0.0779165927072827,0.0186999094903055,0.3147583032924157,0.0817919586439435,0.010804074816729,0.0,0.072642446665983,0.0417301024773716,0.3289669465072748,0.1755243558782857,0.0386418615407607,0.8855000000000002,0.1709766342571382,0.0,0.0452900314004068,0.014772868698865,0.2301035057829636,0.1885361308644671
2,0,0.11164736,0.350075541,0.387742295,1,0.3174977916712314,0.0,0.0,0.3769950472396433,0.012146159313869,0.0,0.3707996520173372,0.0591671350544643,0.8855000000000002,0.2860132879388936,0.1655632659081145,0.2041652485668484,0.2051092484603529,0.0,0.0,0.2682652742365056,0.0,0.0,0.3759481874646357,0.0245507777696452,0.0,0.2612302355198679,0.0,0.0,0.3020851110890506,0.0,0.0,0.3697510365929733,0.059424962057121,0.0,0.313555889850896,0.0,0.0,0.2156404228380216,0.0118306627188314,0.3221639154767872,0.225214179545039,0.0,0.0,0.1837086148165811,0.0525015541636237,0.36970409006806,0.3707996520173372,0.0591671350544643,0.8855000000000002,0.367818814736327,0.0,0.0636051893680906,0.1048710036993231,0.2841817378846827,0.1699420873562938
3,0,0.134419107,0.409587874,0.438982983,1,0.4806836878460271,0.0,0.0,0.521855750971111,0.0522456484567532,0.0,0.4829610888901824,0.1097030640788857,0.8855000000000002,0.4222032691016392,0.1002964508755845,0.1187574324498267,0.3267025247111829,0.0,0.0,0.3989935142206616,0.0,0.0,0.5164182223961947,0.0569427989459311,0.0,0.4096972042719081,0.0,0.0,0.4665228178643942,0.0135652171134702,0.0,0.5109556676151413,0.1813967968066766,0.0,0.470415261496287,0.0,0.0,0.3363859057237813,0.0101125096020116,0.3252250132084807,0.3177329512398368,0.0111925802823088,0.0,0.2928660586216444,0.0568148222704171,0.359479672875605,0.4829610888901824,0.1097030640788857,0.8855000000000002,0.4967992839483681,0.0163023419091282,0.1416072383078098,0.1330784800202216,0.2142304528997795,0.1515257606596196
4,0,0.153082281,0.445966596,0.474444456,1,0.5692126784278931,0.0,0.0,0.5985935336652964,0.1418643043985969,0.0,0.547858192034727,0.1682629751911508,0.8855000000000002,0.498019926093153,0.0612954436188328,0.0668664980856306,0.4257214008345374,0.0116892995452959,0.0,0.3323443908987954,0.0105243596169794,0.0,0.5938109935496562,0.1262095796208998,0.0,0.3398758951922987,0.0,0.0,0.5092468867011879,0.0404750936264572,0.0,0.5962723275599909,0.2658505566894891,0.0,0.4677608241063852,0.0343187875265952,0.0,0.3083298308300958,0.0147755867235646,0.321834438261583,0.3616748454515029,0.0421794950721776,0.0,0.380908665722757,0.075303849721408,0.3455794907364674,0.547858192034727,0.1682629751911508,0.8855000000000002,0.5748492406596244,0.0725060883202025,0.1869517030086064,0.117211937311181,0.1528623817762768,0.1454800012315312
5,0,0.170391148,0.467136775,0.473490109,1,0.5052639636651317,0.0174294114619367,0.0,0.5855684576488912,0.2328318109502417,0.0,0.4946575523075067,0.2571635423099539,0.8853748574070477,0.4563114557088527,0.035237605584124,0.0449801234725211,0.4631531054047689,0.0397478769788403,0.0,0.2733510201240386,0.0566321815862188,0.0,0.6165111943116239,0.179378906442101,0.0,0.2898269960820182,0.0,0.0,0.4831541572937141,0.0944460835069331,0.0,0.623628666926918,0.3599800159800359,0.0,0.408459849348681,0.0902949312670148,0.0,0.3187407934433055,0.0259123073679472,0.3566798686623105,0.323136039666744,0.0759879826292249,0.0,0.4029318785587724,0.1242826294845782,0.3320287911287304,0.4946575523075067,0.2571635423099539,0.8853748574070477,0.4750106516857102,0.1295272771666528,0.2729309856036336,0.1412186339358678,0.1355254917115572,0.1459859728305055
6,0,0.171788859,0.441572582,0.44174437,1,0.4401219241455915,0.0689217313620054,0.0,0.4201515372808179,0.2764938574107701,0.0,0.3477671856171319,0.3558731870648982,0.8528305191327722,0.4231280403513756,0.0293764743527265,0.0358719625115732,0.4051220069155728,0.0941201561343442,0.0,0.2274730808520471,0.0876341015199048,0.0,0.4500820687943274,0.2436467968218212,0.0,0.267276481318688,0.0341690237138971,0.0,0.4207973452145266,0.1970397710643039,0.0,0.5816373015660307,0.4530338426582834,0.0,0.3716584274719555,0.1331917353653484,0.0,0.2819433886497227,0.0629444731179718,0.400730305167962,0.3439123757204006,0.1174271319491032,0.0,0.3516870886312557,0.2089491384274451,0.3346422814998387,0.3477671856171319,0.3558731870648982,0.8528305191327722,0.368767010663501,0.1801846026642201,0.3635764973068296,0.1539802586018619,0.1480376922076993,0.137139082157595
7,0,0.125759035,0.317021022,0.379189987,1,0.4584858041141841,0.0835051655684836,0.0,0.1458661772315826,0.2874189985559078,0.0,0.22569658838819,0.4168239180973794,0.7953156418324248,0.4740116221327654,0.033070433087104,0.0314878490003664,0.3563714585323384,0.1522145863603083,0.0,0.2060886069432979,0.0989756547181228,0.0,0.1745080981786988,0.2394735127496614,0.0,0.1678911967521089,0.0493674904381834,0.0,0.3709570273026235,0.1975199268375666,0.0,0.4872633788401427,0.4718700787479422,0.0,0.2257692786099768,0.1601527690362331,0.0,0.2295868122939886,0.1252839931585843,0.3896383527694156,0.3391425032830575,0.1555475619374372,0.0,0.2947304279858459,0.2645903293774319,0.3413361089386039,0.22569658838819,0.4168239180973794,0.7953156418324248,0.2203521666599169,0.2133110539750024,0.4777875959839789,0.128543532796087,0.1440672360629067,0.1260680816327948
8,0.149781449,0.051879803,0.094364542,0.090938673,1,0.2274519754298627,0.0863097678091007,0.0,0.153941907871813,0.2742030634252463,0.0,0.1458175596926703,0.3604964286589649,0.7021710710754339,0.2205645713965577,0.0370218384961356,0.0298993050520159,0.248362674716508,0.113973242816299,0.0,0.1144636801949841,0.1089482279730233,0.0,0.206348264902822,0.2226249271909039,0.0,0.1176906799220651,0.049170437907341,0.0,0.2106047888128085,0.1724947471918835,0.0,0.3198622914660216,0.458670411934434,0.0,0.1573810241236098,0.1556589664102307,0.0,0.1579776179044571,0.15532452863595,0.3416498468989505,0.2198463833859636,0.1666461769197856,0.0,0.2071237669468156,0.2296306530585998,0.3358783279996334,0.1458175596926703,0.3604964286589649,0.7021710710754339,0.1497081726443998,0.2030367937054762,0.5197203784418796,0.1066167242899592,0.1310376817771608,0.1205885272837271
9,0.336078051,0.067152626,0.073525114,0.072586166,1,0.1144657183382454,0.0398199786441642,0.0,0.0367312813297858,0.1980556189700704,0.0,0.0880784278777531,0.2420232981439808,0.597968708020981,0.1185973176326701,0.0458943286212624,0.0313581574915417,0.1169982215241327,0.1056760934003015,0.0,0.0695915744115996,0.1014042448768627,0.0,0.0446216231956436,0.1185868611498901,0.0,0.0628853404504008,0.0429041748008,0.0,0.1070646457869244,0.0991309438229225,0.0,0.1446822758450042,0.3399433840164418,0.0,0.0664604869913655,0.0971000221555389,0.0,0.0891573512382434,0.164284030643378,0.3175288404174235,0.100593991002965,0.13331794771972,0.0,0.1057436709566685,0.1779764369672593,0.3164202497333831,0.0880784278777531,0.2420232981439808,0.597968708020981,0.0709503567444695,0.1491320023076378,0.5058387684729853,0.0357793302527994,0.1290291179577612,0.1218931519866407
10,0.480024503,0.101745367,0.073428454,0.06049382,1,0.0,0.0219289097273388,0.0,0.0,0.1678637785510934,0.0,0.0,0.16970307566123,0.5878607113310764,0.0,0.0560075746036976,0.0379591865284984,0.0,0.0860267647855788,0.0,0.0,0.1081473910597734,0.0,0.0,0.0803508850949448,0.0,0.0,0.0555072316122503,0.0,0.0,0.0777912009724285,0.0,0.0,0.2969310412028664,0.0,0.0,0.0765773886100094,0.0,0.0,0.1606419491745169,0.2846072253063959,0.0,0.1148939878427805,0.0,0.0,0.1360704963511964,0.2816582612631085,0.0,0.16970307566123,0.5878607113310764,0.0,0.1342519358758939,0.4722925805121895,0.0,0.1145879386636116,0.1291838616293375
