Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--coproduct_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--coproduct_edge--commodity,edges--coproduct_edge--end_vertex,edges--coproduct_edge--variable_om_cost,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation_coprod,BR_MT_sugarcane_straw_harvest,BR_MT,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_MT,0,0,15,Sugarcane,sugarcane_harvest_BR_MT,SugarcaneStraw,sugarcanestraw_BR_MT,0,Electricity,elec_BR_MT,Electricity,elec_BR_MT,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MT
BiomassTransformation_coprod,BR_MS_sugarcane_straw_harvest,BR_MS,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_MS,0,0,15,Sugarcane,sugarcane_harvest_BR_MS,SugarcaneStraw,sugarcanestraw_BR_MS,0,Electricity,elec_BR_MS,Electricity,elec_BR_MS,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MS
BiomassTransformation_coprod,BR_MG_sugarcane_straw_harvest,BR_MG,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_MG,0,0,15,Sugarcane,sugarcane_harvest_BR_MG,SugarcaneStraw,sugarcanestraw_BR_MG,0,Electricity,elec_BR_MG,Electricity,elec_BR_MG,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MG
BiomassTransformation_coprod,BR_PA_sugarcane_straw_harvest,BR_PA,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_PA,0,0,15,Sugarcane,sugarcane_harvest_BR_PA,SugarcaneStraw,sugarcanestraw_BR_PA,0,Electricity,elec_BR_PA,Electricity,elec_BR_PA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PA
BiomassTransformation_coprod,BR_PB_sugarcane_straw_harvest,BR_PB,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_PB,0,0,15,Sugarcane,sugarcane_harvest_BR_PB,SugarcaneStraw,sugarcanestraw_BR_PB,0,Electricity,elec_BR_PB,Electricity,elec_BR_PB,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PB
BiomassTransformation_coprod,BR_PR_sugarcane_straw_harvest,BR_PR,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_PR,0,0,15,Sugarcane,sugarcane_harvest_BR_PR,SugarcaneStraw,sugarcanestraw_BR_PR,0,Electricity,elec_BR_PR,Electricity,elec_BR_PR,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PR
BiomassTransformation_coprod,BR_PE_sugarcane_straw_harvest,BR_PE,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_PE,0,0,15,Sugarcane,sugarcane_harvest_BR_PE,SugarcaneStraw,sugarcanestraw_BR_PE,0,Electricity,elec_BR_PE,Electricity,elec_BR_PE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PE
BiomassTransformation_coprod,BR_PI_sugarcane_straw_harvest,BR_PI,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_PI,0,0,15,Sugarcane,sugarcane_harvest_BR_PI,SugarcaneStraw,sugarcanestraw_BR_PI,0,Electricity,elec_BR_PI,Electricity,elec_BR_PI,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PI
BiomassTransformation_coprod,BR_RJ_sugarcane_straw_harvest,BR_RJ,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_RJ,0,0,15,Sugarcane,sugarcane_harvest_BR_RJ,SugarcaneStraw,sugarcanestraw_BR_RJ,0,Electricity,elec_BR_RJ,Electricity,elec_BR_RJ,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RJ
BiomassTransformation_coprod,BR_RN_sugarcane_straw_harvest,BR_RN,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_RN,0,0,15,Sugarcane,sugarcane_harvest_BR_RN,SugarcaneStraw,sugarcanestraw_BR_RN,0,Electricity,elec_BR_RN,Electricity,elec_BR_RN,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RN
BiomassTransformation_coprod,BR_RS_sugarcane_straw_harvest,BR_RS,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_RS,0,0,15,Sugarcane,sugarcane_harvest_BR_RS,SugarcaneStraw,sugarcanestraw_BR_RS,0,Electricity,elec_BR_RS,Electricity,elec_BR_RS,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RS
BiomassTransformation_coprod,BR_RO_sugarcane_straw_harvest,BR_RO,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_RO,0,0,15,Sugarcane,sugarcane_harvest_BR_RO,SugarcaneStraw,sugarcanestraw_BR_RO,0,Electricity,elec_BR_RO,Electricity,elec_BR_RO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RO
BiomassTransformation_coprod,BR_RR_sugarcane_straw_harvest,BR_RR,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_RR,0,0,15,Sugarcane,sugarcane_harvest_BR_RR,SugarcaneStraw,sugarcanestraw_BR_RR,0,Electricity,elec_BR_RR,Electricity,elec_BR_RR,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RR
BiomassTransformation_coprod,BR_SC_sugarcane_straw_harvest,BR_SC,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_SC,0,0,15,Sugarcane,sugarcane_harvest_BR_SC,SugarcaneStraw,sugarcanestraw_BR_SC,0,Electricity,elec_BR_SC,Electricity,elec_BR_SC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SC
BiomassTransformation_coprod,BR_SP_sugarcane_straw_harvest,BR_SP,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_SP,0,0,15,Sugarcane,sugarcane_harvest_BR_SP,SugarcaneStraw,sugarcanestraw_BR_SP,0,Electricity,elec_BR_SP,Electricity,elec_BR_SP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SP
BiomassTransformation_coprod,BR_SE_sugarcane_straw_harvest,BR_SE,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_SE,0,0,15,Sugarcane,sugarcane_harvest_BR_SE,SugarcaneStraw,sugarcanestraw_BR_SE,0,Electricity,elec_BR_SE,Electricity,elec_BR_SE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SE
BiomassTransformation_coprod,BR_TO_sugarcane_straw_harvest,BR_TO,Biomass,TRUE,1,0.048,0,0,0,0,0,Sugarcane,TRUE,TRUE,sugarcane_BR_TO,0,0,15,Sugarcane,sugarcane_harvest_BR_TO,SugarcaneStraw,sugarcanestraw_BR_TO,0,Electricity,elec_BR_TO,Electricity,elec_BR_TO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_TO
