Time_Index,KR_nuclear,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one,SEL_solar,SEL_onwind,SEL_offwind-dc,PUS_solar,PUS_onwind,PUS_offwind-dc,TAE_solar,TAE_onwind,TAE_offwind-dc,INC_solar,INC_onwind,INC_offwind-dc,KWJ_solar,KWJ_onwind,KWJ_offwind-dc,DJJ_solar,DJJ_onwind,DJJ_offwind-dc,USN_solar,USN_onwind,USN_offwind-dc,SJG_solar,SJG_onwind,SJG_offwind-dc,GGI_solar,GGI_onwind,GGI_offwind-dc,GWN_solar,GWN_onwind,GWN_offwind-dc,CNB_solar,CNB_onwind,CNB_offwind-dc,CNA_solar,CNA_onwind,CNA_offwind-dc,JNB_solar,JNB_onwind,JNB_offwind-dc,JNA_solar,JNA_onwind,JNA_offwind-dc,GNB_solar,GNB_onwind,GNB_offwind-dc,GNA_solar,GNA_onwind,GNA_offwind-dc,JEJ_solar,JEJ_onwind,JEJ_offwind-dc
11,0.85,0.56232378,0.133362875,0.070683404,0.049153595,1,0,0,0,0,0.025978201,0,0,0.038086729,0.318353918,0,0.062106172,0.039914431,0,0.023436197,0,0,0.049157989,0,0,0,0,0,0.017779993,0,0,0.030695471,0,0,0.05630641,0,0,0.015141796,0,0,0.098058145,0.197341035,0,0.0378505,0,0,0.057309589,0.180262221,0,0.038086729,0.318353918,0,0.038779656,0.293534185,0,0.123235419,0.186507921
12,0.85,0.597854771,0.156865575,0.062661973,0.045436566,1,0,0.031277741,0,0,0.096504418,0,0,0.050832164,0.554453644,0,0.091884134,0.078908412,0,0.01621131,0,0,0.06484633,0,0,0.028239433,0,0,0.025920497,0,0,0.042531677,0,0,0.057517438,0,0,0.024666436,0,0,0.097752583,0.169643114,0,0.049170486,0,0,0.045281142,0.168078118,0,0.050832164,0.554453644,0,0.073394997,0.301540007,0,0.138485477,0.187438484
13,0.85,0.570328749,0.171626176,0.059209381,0.050279885,1,0,0.051397593,0,0,0.187371189,0,0,0.074664494,0.749430589,0,0.130059217,0.131772658,0,0,0,0,0.05299394,0,0,0.081666038,0,0,0.013373596,0,0,0.045801297,0,0,0.075930566,0,0,0.026664295,0,0,0.072955637,0.148581046,0,0.045345921,0,0,0.040244376,0.186503754,0,0.074664494,0.749430589,0,0.114689173,0.416190192,0,0.164108731,0.180983684
14,0.85,0.482685424,0.187095631,0.067045714,0.062231751,1,0,0.078076245,0,0,0.313420514,0,0,0.110872996,0.855878515,0,0.171845212,0.181818092,0,0,0,0,0.041960625,0,0,0.17485176,0,0,0,0,0,0.063414038,0,0,0.125063501,0,0,0.031164548,0,0,0.065809808,0.192865375,0,0.033638945,0,0,0.027824002,0.192743121,0,0.110872996,0.855878515,0,0.118803524,0.424956315,0,0.193523821,0.211553159
15,0.85,0.348728165,0.18056369,0.076428652,0.072122153,1,0,0.077740582,0,0,0.296537329,0,0,0.136380229,0.8855,0,0.249007903,0.219731144,0,0,0,0,0,0,0,0.201013531,0,0,0,0,0,0.068789293,0,0,0.185255406,0,0,0.03105154,0,0,0.06287061,0.255973369,0,0.014547008,0,0,0.026435143,0.23174029,0,0.136380229,0.8855,0,0.065459209,0.262483791,0,0.262547121,0.245254846
16,0.85,0.166467734,0.159309901,0.079408317,0.068551664,1,0,0.069859683,0,0,0.224265852,0,0,0.123309321,0.8855,0,0.327099015,0.255783197,0,0,0,0,0,0,0,0.164444177,0,0,0,0,0,0.063920119,0,0,0.201839261,0,0,0.03126625,0,0,0.096334001,0.280558977,0,0.012965407,0,0,0.038631177,0.306465797,0,0.123309321,0.8855,0,0.032585281,0.14871719,0,0.354263807,0.27513577
17,0.85,0,0.166868399,0.08709336,0.065319042,1,0,0.078561863,0,0,0.134783865,0,0,0.12866101,0.8855,0,0.380727727,0.325651203,0,0,0,0,0,0,0,0.109993877,0,0,0.034203624,0,0,0.075893643,0,0,0.233357592,0,0,0.048214869,0,0,0.11575322,0.269342172,0,0.014500959,0,0,0.069943492,0.392507313,0,0.12866101,0.8855,0,0.023448222,0.135598427,0,0.467195624,0.326207577
18,0.85,0,0.083472742,0.073048924,0.052765844,1,0,0.087741958,0,0,0.094550146,0,0,0.125271195,0.8855,0,0.443561278,0.40244271,0,0.023891019,0,0,0,0,0,0.075964794,0,0,0.05661419,0,0,0.077630582,0,0,0.232977129,0,0,0.048547214,0,0,0.126063126,0.27004254,0,0.014276611,0,0,0.094633597,0.441757884,0,0.125271195,0.8855,0,0.020104112,0.141524267,0,0.562167407,0.393709798
19,0.85,0,0.090643831,0.06789687,0.050556436,1,0,0.096505825,0,0,0.079036457,0,0,0.123933928,0.8855,0,0.504430166,0.473992548,0,0.053969644,0,0,0.010583826,0,0,0.063168692,0,0,0.060697561,0,0,0.077391185,0,0,0.21097503,0,0,0.056259904,0,0,0.130559141,0.294320596,0,0.014376939,0,0,0.120643621,0.448196707,0,0.123933928,0.8855,0,0.015142449,0.140701192,0,0.613757767,0.427742483
20,0.85,0,0.104470961,0.070785763,0.053017902,1,0,0.090143989,0,0,0.06268398,0,0,0.128971904,0.8855,0,0.521384574,0.500697685,0,0.055573149,0,0,0.025779716,0,0,0.056825033,0,0,0.065754558,0,0,0.070111097,0,0,0.184009922,0,0,0.062454574,0,0,0.137476231,0.310431648,0,0.016149251,0,0,0.13222358,0.428865836,0,0.128971904,0.8855,0,0.012569133,0.160606638,0,0.602307177,0.428587913
