Type,id,location,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--integer_decisions,edges--h2_edge--can_retire,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--can_expand,edges--h2_edge--uc,edges--h2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--fuel_edge--start_vertex,edges--elec_edge--start_vertex,edges--h2_edge--min_down_time,edges--h2_edge--lifetime,edges--h2_edge--wacc,edges--h2_edge--capital_recovery_period,edges--h2_edge--fixed_om_cost,edges--h2_edge--existing_capacity,edges--h2_edge--min_up_time,edges--h2_edge--capacity_size,edges--h2_edge--ramp_down_fraction,edges--h2_edge--end_vertex,edges--h2_edge--variable_om_cost,edges--h2_edge--investment_cost,edges--h2_edge--ramp_up_fraction,edges--h2_edge--min_flow_fraction,edges--h2_edge--startup_cost,transforms--fuel_consumption,transforms--emission_rate,transforms--electricity_consumption,Note
ThermalHydrogen,BR_MT_SMRH2,BR_MT,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MT,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_MT,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_MS_SMRH2,BR_MS,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MS,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_MS,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_MG_SMRH2,BR_MG,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MG,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_MG,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_PA_SMRH2,BR_PA,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PA,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_PA,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_PB_SMRH2,BR_PB,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PB,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_PB,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_PR_SMRH2,BR_PR,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PR,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_PR,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_PE_SMRH2,BR_PE,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PE,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_PE,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_PI_SMRH2,BR_PI,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PI,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_PI,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_RJ_SMRH2,BR_RJ,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RJ,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_RJ,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_RN_SMRH2,BR_RN,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RN,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_RN,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_RS_SMRH2,BR_RS,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RS,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_RS,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_RO_SMRH2,BR_RO,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RO,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_RO,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_RR_SMRH2,BR_RR,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RR,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_RR,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_SC_SMRH2,BR_SC,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_SC,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_SC,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_SP_SMRH2,BR_SP,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_SP,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_SP,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_SE_SMRH2,BR_SE,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_SE,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_SE,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogen,BR_TO_SMRH2,BR_TO,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_TO,3,30,0.08,20,15891.96,0,3,669.13,0.5,h2_BR_TO,2.61,550816.01,0.5,0.85,0.127,1.391,0.181,0.0194,https://www.osti.gov/servlets/purl/1862910
