Period_Index,Rep_Period,Rep_Period_Index
1,5,4
2,5,4
3,5,4
4,5,4
5,5,4
6,5,4
7,5,4
8,5,4
9,5,4
10,11,10
11,11,10
12,11,10
13,11,10
14,15,8
15,15,8
16,15,8
17,15,8
18,18,12
19,21,7
20,21,7
21,21,7
22,21,7
23,24,11
24,24,11
25,24,11
26,24,11
27,31,3
28,31,3
29,31,3
30,31,3
31,31,3
32,31,3
33,31,3
34,31,3
35,31,3
36,37,5
37,37,5
38,37,5
39,37,5
40,43,1
41,43,1
42,43,1
43,43,1
44,44,9
45,47,2
46,47,2
47,47,2
48,47,2
49,50,6
50,50,6
51,50,6
52,50,6
