Time_Index,Availability_One,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.099805444,0.060157806,0.2774071,0.186229931,0.05032229,0.120203998,0.038362331,0.194709007,0.202070098,0.057613176,0.051964694,0.032577098,0.068977234,0.007599172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.099932017,0.057374451,0.248975276,0.192129078,0.046862249,0.119022345,0.038339717,0.212364609,0.255353952,0.06846672,0.061190957,0.034041815,0.079459541,0.0088853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.096320754,0.058580481,0.212931652,0.190601929,0.03896883,0.115642148,0.0428397,0.227057168,0.286086298,0.075588089,0.061410757,0.038480947,0.078306703,0.015001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.087504237,0.060864423,0.17644152,0.183461166,0.033401229,0.111394278,0.044479974,0.214958758,0.291263793,0.07352605,0.054417298,0.041971425,0.057694263,0.007487371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.081506756,0.056797254,0.145942509,0.160356861,0.028286079,0.109537218,0.046665012,0.182447473,0.287256768,0.066557768,0.045296486,0.037848603,0.048581763,0.007661284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.078311601,0.050508481,0.12561321,0.13809604,0.025176562,0.110363882,0.045033586,0.152629997,0.279181201,0.060856578,0.040957941,0.032934073,0.042797947,0.012763561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.077668551,0.045958912,0.108037602,0.115471403,0.023944433,0.103713108,0.045147638,0.126443908,0.26273305,0.058251694,0.039003239,0.031306286,0.032894324,0.01792795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.077243933,0.04585821,0.095812059,0.101931479,0.023956776,0.094968079,0.045797383,0.1058075,0.242641142,0.054825982,0.036695244,0.028310246,0.02486401,0.015296894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.07517669,0.04474927,0.086990818,0.088443063,0.025700279,0.086295804,0.044242058,0.088927867,0.220168027,0.04980882,0.034211734,0.026167751,0.02162349,0.011637267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004866133,0.0,0.003872703
10,1,0.858675827,0.095208131,0.779071636,0.288705166,0.608164977,0.573128492,1.376480198,1.0,0.071744343,0.042631158,0.081334936,0.0786925,0.026088948,0.078307381,0.041067383,0.071736298,0.199947945,0.046564607,0.03498496,0.023591339,0.013418841,0.006669979,0.04263074,0.000911956,0.208278333,0.01941,0.057107472,0.019590928,0.236837489,0.297802103,0.085769624,0.071110138,0.021369609,0.299343568,0.205970454,0.168680142
