Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
32,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54303.50186,14496.13452,13469.13988,21140.74482
33,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56372.36914,17575.13565,16776.45977,19826.08054
34,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57170.91457,19782.41769,18540.51712,19148.108
35,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58813.51913,20730.52837,20376.57727,17787.7769
36,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61257.80768,21489.25085,20811.80041,16182.99764
37,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60820.31244,20789.47375,21236.84235,14287.72032
38,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61577.50736,21164.54828,22198.3488,14984.88307
39,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,62194.7665,21642.57031,22274.56611,16306.54802
40,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61746.1206,21240.20137,22559.12445,17586.26964
41,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58627.45832,20926.1334,22734.06392,19653.64559
42,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54663.34522,20159.04377,20468.95737,20896.19425
43,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54397.70609,18430.51694,20890.37295,22230.97297
44,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56258.12938,20003.06832,20716.56096,23806.75072
45,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56930.79321,20433.58594,20182.87585,23811.18351
46,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57135.89927,20673.89967,19730.74595,22667.86178
47,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54022.88823,20405.17246,18899.79533,23411.70409
48,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50765.26329,19770.01598,17758.65655,22342.7953
49,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49730.09156,16411.1474,15885.15786,22701.23033
50,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49998.44804,12711.6177,15096.85629,22796.59976
51,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49064.04418,10711.80614,14496.40464,22906.33086
52,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48835.57918,9947.117003,14006.07733,22079.85991
53,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48168.07277,9883.497032,14103.06491,22186.19372
54,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48442.60998,9846.906667,14974.58852,22387.90834
55,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50603.22029,11260.43806,17593.46598,19710.30714
56,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54728.6647,14003.91573,22556.99958,15208.82989
57,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57677.41052,17116.89249,25722.4997,12420.94255
58,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57868.86775,19983.14708,25981.89981,12396.53061
59,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60078.46965,20885.5178,25342.24117,12635.9922
60,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61081.6524,21741.01619,24077.41849,11578.35376
61,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60384.93642,21742.02749,23644.58989,10713.5239
62,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60808.71418,21566.35036,23131.58291,13436.90191
63,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61651.00134,20138.39599,23232.25783,16795.80213
64,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59898.32548,20374.1735,23607.91566,18321.82165
65,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57353.70611,20313.28803,23472.51248,19323.51794
66,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54824.76104,19743.36029,22449.99749,20123.59445
67,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52932.98784,19360.10356,22481.4856,21535.54996
68,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55250.02951,19749.88982,24746.43359,21485.33909
69,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55068.50422,19805.19852,26265.65319,20340.56084
70,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53115.5285,20001.35843,27112.39936,20120.07452
71,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51211.71206,19040.75688,27171.4321,19817.79656
72,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50468.89086,16488.82308,25391.4586,19994.09155
73,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48670.58644,14150.27187,22984.37644,20943.2645
74,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,45524.6331,12687.80562,21776.37626,21339.4326
75,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,43903.59968,11249.69701,21520.52391,21429.01133
76,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,42251.62435,11042.49133,22433.29536,20149.69303
77,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,41790.08753,11637.70551,22051.79416,19107.0535
78,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,41955.98473,11524.64637,21259.53151,18644.30381
79,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,44548.64897,10619.06078,22141.93285,16908.47916
80,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48480.91965,11066.90087,24632.65037,13823.33583
81,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52577.82656,12158.50545,26549.12742,11082.93217
82,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54141.25948,13261.07197,27414.43634,9842.080261
83,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55354.05213,14820.78652,27041.54978,9586.650019
84,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55908.63916,16826.14293,25085.07162,10286.22008
85,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57536.08569,16506.22274,23005.07354,9770.197281
86,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57124.2363,16581.64562,23550.25568,9447.715115
87,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56233.70356,17653.85057,23245.52468,9238.204561
88,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55984.30385,17116.17393,21640.46626,10569.95897
89,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54792.21222,14706.31156,21852.28188,13642.88874
90,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53843.69343,14037.55204,21271.55298,17284.66937
91,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53094.62812,15136.27164,21060.89465,21407.53772
92,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54689.19045,16791.7202,22110.70764,22455.85794
93,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55469.02866,16652.46178,22385.56722,21831.40632
94,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54681.29983,16181.66388,21971.35016,21411.25995
95,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52668.9094,16166.55429,20783.44946,21742.46735
96,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50740.10863,16083.17275,19080.26107,21449.12071
97,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50640.9107,15826.14999,16432.16944,19963.09491
98,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49401.8952,15449.5971,15371.95167,17596.37806
99,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48978.67861,14857.54322,15256.21026,15311.1747
100,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49152.17199,14896.7949,14434.43124,13481.61794
101,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49426.46889,14648.65692,13299.29439,13028.12704
102,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48501.51898,14389.08861,12177.14794,13015.00695
103,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48891.27568,13677.74412,11992.3498,12119.5155
104,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51017.94416,11429.04675,14115.73821,11504.26956
105,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53295.55516,10507.50261,16033.49858,10763.63868
106,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55043.04983,9947.738419,17346.81234,9896.141057
107,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56304.11181,9802.341683,18389.77644,10336.65727
108,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56808.68923,10667.47934,19694.43083,10552.48827
109,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56657.27138,10640.17562,20343.33155,10510.69161
110,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56090.27536,10399.72085,19728.85824,10813.88875
111,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,56214.97918,10345.82797,18239.16178,11274.46123
112,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54504.60451,12165.20929,14505.32961,14956.20902
113,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55634.22078,12829.46321,12867.85482,16776.11378
114,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55012.55156,15871.82074,10845.19554,18689.02617
115,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55510.40955,16442.65732,11961.39969,21025.01062
116,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57440.37622,17068.29029,12430.80495,23616.4683
117,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58791.84104,17182.79187,12593.63486,23971.03824
118,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59225.71446,16928.60739,12532.54231,23947.03847
119,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59808.3861,16324.8504,11206.61894,23911.55088
120,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57452.54622,16532.5431,9440.631874,23847.5612
121,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54452.57339,16072.38513,8402.27391,23936.95407
122,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,51380.25136,15599.29451,7729.168982,23941.08341
123,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,49499.16536,15137.47189,7393.749418,23889.76751
124,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,47995.99748,14919.69814,7368.574927,23898.61791
125,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,47702.4005,15142.90495,7202.392391,23806.70647
126,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,48321.81715,14969.9051,7418.820918,23627.85877
127,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,50304.6996,14236.58351,9699.664741,23117.52046
128,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54878.53374,14714.58025,13051.03356,21871.32417
129,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57818.36696,18354.07477,15349.22998,19836.58724
130,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,59789.81883,19577.83606,17313.94877,18124.56005
131,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,61477.42081,20648.44822,18242.83286,17656.41162
132,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,63281.21804,19532.7122,18925.63519,17443.10297
133,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,63514.3955,18037.21642,19157.78609,17080.13147
134,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,65480.63052,18831.43546,19983.52077,17329.15908
135,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,67032.92203,19598.05404,19007.44653,18350.46914
136,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,66593.79083,18838.44136,18636.66316,20402.66792
137,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,65736.23341,18720.69964,15956.76768,23268.06836
138,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,62476.57507,17613.90429,14409.56708,24290.61874
139,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60290.7718,16547.12842,14875.52079,24119.62893
140,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,63439.46494,18369.26819,15360.72295,24142.9763
