Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
72,2248,439,1799,62359,8966,80695,3245,8775,11290.94568,15858.56721,14246.39197
73,2248,439,1799,62359,8966,80695,3245,8775,9582.194819,15497.20991,13988.0908
74,2248,439,1799,62359,8966,80695,3245,8775,8023.8716,15035.32519,13994.33455
75,2248,439,1799,62359,8966,80695,3245,8775,6674.637373,14836.47744,13802.92477
76,2248,439,1799,62359,8966,80695,3245,8775,6584.753176,15344.00586,12588.54086
77,2248,439,1799,62359,8966,80695,3245,8775,6551.07091,15350.19167,12273.27553
78,2248,439,1799,62359,8966,80695,3245,8775,6595.16012,14726.11283,12261.41696
79,2248,439,1799,62359,8966,80695,3245,8775,6422.78107,14289.63201,12292.88476
80,2248,439,1799,62359,8966,80695,3245,8775,7277.485465,15169.85276,11366.16984
81,2248,439,1799,62359,8966,80695,3245,8775,8163.163843,16409.20389,10308.3313
82,2248,439,1799,62359,8966,80695,3245,8775,8750.650887,15899.76398,9996.53719
83,2248,439,1799,62359,8966,80695,3245,8775,9374.300776,16061.9085,9306.076971
84,2248,439,1799,62359,8966,80695,3245,8775,9240.390844,16868.07407,9028.743173
85,2248,439,1799,62359,8966,80695,3245,8775,9161.903001,16431.79163,8863.960668
86,2248,439,1799,62359,8966,80695,3245,8775,9497.205282,15512.85696,8944.318316
87,2248,439,1799,62359,8966,80695,3245,8775,9456.328128,15529.88978,8820.385235
88,2248,439,1799,62359,8966,80695,3245,8775,9322.444392,15861.80296,9330.584881
89,2248,439,1799,62359,8966,80695,3245,8775,10308.78973,16508.55287,9455.05483
90,2248,439,1799,62359,8966,80695,3245,8775,11007.13505,15654.47898,11367.07593
91,2248,439,1799,62359,8966,80695,3245,8775,12238.36548,15685.00929,12647.0197
92,2248,439,1799,62359,8966,80695,3245,8775,13491.59567,16448.87404,13000.82419
93,2248,439,1799,62359,8966,80695,3245,8775,13959.33788,16939.80412,11592.08064
94,2248,439,1799,62359,8966,80695,3245,8775,13644.32354,17018.51355,11000.22284
95,2248,439,1799,62359,8966,80695,3245,8775,13075.86099,16886.54124,10855.55737
96,2248,439,1799,62359,8966,80695,3245,8775,12056.29786,16253.87904,11616.33174
97,2248,439,1799,62359,8966,80695,3245,8775,10422.59004,16191.70744,11454.53302
98,2248,439,1799,62359,8966,80695,3245,8775,8216.412655,15757.67872,11480.53815
99,2248,439,1799,62359,8966,80695,3245,8775,6650.26181,15458.94535,11513.27351
100,2248,439,1799,62359,8966,80695,3245,8775,6027.121739,15056.70077,11467.32869
101,2248,439,1799,62359,8966,80695,3245,8775,5566.591552,14913.59082,11746.80511
102,2248,439,1799,62359,8966,80695,3245,8775,5553.598237,14414.41861,11598.46006
103,2248,439,1799,62359,8966,80695,3245,8775,5399.4195,14667.03711,10343.20444
104,2248,439,1799,62359,8966,80695,3245,8775,6271.65016,16154.11741,8212.309001
105,2248,439,1799,62359,8966,80695,3245,8775,7434.440999,16135.75042,7036.621233
106,2248,439,1799,62359,8966,80695,3245,8775,8475.737898,15630.81596,6966.125862
107,2248,439,1799,62359,8966,80695,3245,8775,8945.096205,15180.17899,7085.785322
108,2248,439,1799,62359,8966,80695,3245,8775,8973.262156,15210.69838,7441.66266
109,2248,439,1799,62359,8966,80695,3245,8775,8826.130197,15886.04826,7490.446871
110,2248,439,1799,62359,8966,80695,3245,8775,9124.857545,16163.29495,7324.655559
111,2248,439,1799,62359,8966,80695,3245,8775,9219.189051,16560.90712,7563.88823
112,2248,439,1799,62359,8966,80695,3245,8775,9519.100266,16144.61351,8394.858529
113,2248,439,1799,62359,8966,80695,3245,8775,10857.11547,15260.88125,9514.484331
114,2248,439,1799,62359,8966,80695,3245,8775,10925.06135,13952.31467,12171.73874
115,2248,439,1799,62359,8966,80695,3245,8775,11941.58169,14788.07215,14236.57523
116,2248,439,1799,62359,8966,80695,3245,8775,14045.55561,15736.06011,13991.97776
