Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
30,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,35071.83426,9325.476098,13679.43851,14221.09135
31,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36635.68054,10300.21652,13915.34956,13539.4846
32,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40770.69568,11427.01579,14337.79823,13235.43631
33,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44322.584,12423.40838,15351.28183,12471.40778
34,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46127.70695,13316.80153,16223.37452,11645.36523
35,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,47829.14329,14110.37105,15855.55068,11662.60896
36,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,49253.77256,13199.62291,15553.65398,11647.33439
37,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,49343.687,11499.86642,14846.66677,11608.04227
38,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,50780.74895,11877.65692,15237.88085,11625.57284
39,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,51022.96188,13669.1787,14862.90999,12091.84044
40,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,50426.86038,15086.784,13646.10495,13325.96731
41,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,49180.44003,14808.30933,12585.97083,15295.61252
42,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46059.12153,14679.07643,10908.73428,16466.09442
43,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44575.89711,15005.10123,11207.80591,16198.19844
44,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46705.08655,14659.92096,13154.99533,15749.18135
45,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,46104.66914,14760.08616,14495.38076,15398.57579
46,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45239.98615,14551.05561,15106.82312,15365.70185
47,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,42728.57926,13963.13935,15350.56564,15547.19315
48,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40096.73514,13193.1182,13874.27679,16034.36369
49,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,38375.34521,10524.72197,13277.40224,16492.6432
50,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36445.36432,8975.046521,13166.65474,16411.41629
51,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,35218.8816,8422.490093,14127.07682,14937.6381
52,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,35316.79105,7782.493776,13998.21627,14546.43701
53,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,35621.28721,7403.645352,14553.52603,14165.04489
54,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36164.48389,8331.618501,14408.03937,14032.67214
55,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37727.49174,9083.582411,13639.43308,13851.40372
56,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41142.86797,10290.16322,13258.09191,13356.78293
57,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44056.04068,10825.51882,13426.86068,12637.88714
58,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45029.55565,10897.87171,13360.97422,12059.68943
59,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45886.16677,11331.51553,13257.53443,11866.27851
