Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
29,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
30,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
31,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
32,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
33,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
34,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
35,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
36,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
37,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
38,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
39,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
40,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
41,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
42,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
43,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
44,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
45,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
46,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
47,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
48,0.03877478,0.222027946,0.613583258,0.726606329,0.674501196,0.083622632,0.658063953,1.056380662,0.32721215,0.941517727,0.168563,0.399861361,1.145322786,0.350230338,0.322806737
49,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
50,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
51,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
52,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
53,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
54,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
55,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
