Period_Index,Rep_Period,Rep_Period_Index
1,13,3
2,13,3
3,13,3
4,13,3
5,5,1
6,8,2
7,8,2
8,8,2
9,5,1
10,13,3
11,13,3
12,13,3
13,13,3
14,15,4
15,15,4
16,15,4
17,15,4
18,20,5
19,20,5
20,20,5
21,20,5
22,20,5
23,20,5
24,26,6
25,26,6
26,26,6
27,31,7
28,31,7
29,31,7
30,31,7
31,31,7
32,31,7
33,35,8
34,35,8
35,35,8
36,44,9
37,35,8
38,35,8
39,44,9
40,49,10
41,35,8
42,49,10
43,49,10
44,44,9
45,44,9
46,44,9
47,49,10
48,49,10
49,49,10
50,49,10
51,49,10
52,52,11
