Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--diesel_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--diesel_edge--commodity,edges--diesel_edge--unidirectional,edges--diesel_edge--has_capacity,edges--diesel_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSDiesel,BR_AC_Soybean_Biodiesel_large,BR_AC,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_AC,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_AC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AC
BECCSDiesel,BR_AL_Soybean_Biodiesel_large,BR_AL,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_AL,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_AL,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AL
BECCSDiesel,BR_AP_Soybean_Biodiesel_large,BR_AM,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_AP,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_AP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AP
BECCSDiesel,BR_AM_Soybean_Biodiesel_large,BR_AP,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_AM,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSDiesel,BR_BA_Soybean_Biodiesel_large,BR_BA,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_BA,791.73,658.38,26.34,28.44,713286,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSDiesel,BR_CE_Soybean_Biodiesel_large,BR_CE,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_CE,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSDiesel,BR_DF_Soybean_Biodiesel_large,BR_DF,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_DF,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSDiesel,BR_ES_Soybean_Biodiesel_large,BR_ES,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_ES,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSDiesel,BR_GO_Soybean_Biodiesel_large,BR_GO,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_GO,791.73,658.38,26.34,28.44,1405026,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSDiesel,BR_MA_Soybean_Biodiesel_large,BR_MA,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_MA,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSDiesel,BR_MT_Soybean_Biodiesel_large,BR_MG,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_MT,791.73,658.38,26.34,28.44,1870646.4,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSDiesel,BR_MS_Soybean_Biodiesel_large,BR_MS,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_MS,791.73,658.38,26.34,28.44,445662,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSDiesel,BR_MG_Soybean_Biodiesel_large,BR_MT,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_MG,791.73,658.38,26.34,28.44,123606,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
