Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--co2_edge--constraints--MustRunConstraint,edges--co2_edge--availability--timeseries--path,edges--co2_edge--availability--timeseries--header,edges--co2_edge--constraints--CapacityConstraint,edges--co2_edge--constraints--RampingLimitConstraint,edges--co2_edge--can_retire,edges--co2_edge--integer_decisions,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_edge--can_expand,edges--co2_edge--uc,edges--co2_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--start_vertex,edges--co2_edge--lifetime,edges--co2_edge--wacc,edges--co2_edge--capital_recovery_period,edges--co2_edge--variable_om_cost,edges--co2_edge--fixed_om_cost,edges--co2_edge--existing_capacity,edges--co2_edge--investment_cost,edges--co2_edge--ramp_up_fraction,edges--co2_edge--ramp_down_fraction,edges--co2_captured_edge--end_vertex,transforms--electricity_consumption,Note
ElectricDAC,BR_MT_Sorbent_DAC,BR_MT,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_MT,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_MT,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070832.pdf
ElectricDAC,BR_MS_Sorbent_DAC,BR_MS,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_MS,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_MS,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070833.pdf
ElectricDAC,BR_MG_Sorbent_DAC,BR_MG,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_MG,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_MG,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070834.pdf
ElectricDAC,BR_PA_Sorbent_DAC,BR_PA,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_PA,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_PA,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070835.pdf
ElectricDAC,BR_PB_Sorbent_DAC,BR_PB,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_PB,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_PB,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070836.pdf
ElectricDAC,BR_PR_Sorbent_DAC,BR_PR,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_PR,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_PR,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070837.pdf
ElectricDAC,BR_PE_Sorbent_DAC,BR_PE,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_PE,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_PE,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070838.pdf
ElectricDAC,BR_PI_Sorbent_DAC,BR_PI,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_PI,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_PI,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070839.pdf
ElectricDAC,BR_RJ_Sorbent_DAC,BR_RJ,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_RJ,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_RJ,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070840.pdf
ElectricDAC,BR_RN_Sorbent_DAC,BR_RN,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_RN,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_RN,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070841.pdf
ElectricDAC,BR_RS_Sorbent_DAC,BR_RS,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_RS,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_RS,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070842.pdf
ElectricDAC,BR_RO_Sorbent_DAC,BR_RO,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_RO,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_RO,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070843.pdf
ElectricDAC,BR_RR_Sorbent_DAC,BR_RR,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_RR,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_RR,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070844.pdf
ElectricDAC,BR_SC_Sorbent_DAC,BR_SC,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_SC,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_SC,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070845.pdf
ElectricDAC,BR_SP_Sorbent_DAC,BR_SP,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_SP,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_SP,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070846.pdf
ElectricDAC,BR_SE_Sorbent_DAC,BR_SE,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_SE,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_SE,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070847.pdf
ElectricDAC,BR_TO_Sorbent_DAC,BR_TO,TRUE,Electricity,FALSE,TRUE,system/availability_dac.csv,dac_all,TRUE,TRUE,FALSE,FALSE,TRUE,CO2,co2_emitted_BR,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,Electricity,elec_BR_TO,20,0.1,10,21.8,635225,10,14212180,1,1,co2_captured_BR_TO,3.72,https://www.netl.doe.gov/projects/files/DirectAirCaptureCaseStudiesSorbentSystem_070848.pdf
