Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_AC_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_AC,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_AL_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_AL,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_AP_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_AP,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_AM_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_AM,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_BA_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_BA,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_CE_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_CE,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_DF_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_DF,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_ES_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_ES,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_GO_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_GO,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_MA_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MA,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_MT_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MT,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_MS_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MS,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_MG_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MG,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_PA_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PA,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_PB_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PB,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSHydrogen,BR_PR_BECCS_H2_large,Biomass,TRUE,2.57,0.5,1.298,1.55,0.252,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PR,394.4,14695280,587805.7,63.66,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
