Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
OneWayTransmissionLink,ITA_to_SE_transmission_oneway,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_ITA,elec_proxy_SE,985.546,0.021,100000,10000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost values are placeholders, distance for record-purpose only."
OneWayTransmissionLink,S_to_SE_transmission_oneway,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_S,elec_proxy_SE,768.534,0.021,100000,8000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost values are placeholders, distance for record-purpose only."
OneWayTransmissionLink,SE_to_S_transmission_oneway,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_SE,elec_proxy_S,774.267,0.021,100000,11450,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost values are placeholders, distance for record-purpose only."
OneWayTransmissionLink,BM_to_SE_transmission_oneway,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_proxy_BM,elec_proxy_SE,2143.225,0.021,100000,8000,50,0.08,20,443637.83,1,100,"Location is not meaningful for transmission lines, cost values are placeholders, distance for record-purpose only."
