Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_AC_H2Power_Combined_Cycle,BR_AC,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_AC,7.53,1155402,1,0.3,61,h2_BR_AC,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AL_H2Power_Combined_Cycle,BR_AL,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_AL,7.53,1155402,1,0.3,61,h2_BR_AL,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AP_H2Power_Combined_Cycle,BR_AP,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_AP,7.53,1155402,1,0.3,61,h2_BR_AP,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AM_H2Power_Combined_Cycle,BR_AM,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_AM,7.53,1155402,1,0.3,61,h2_BR_AM,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_BA_H2Power_Combined_Cycle,BR_BA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_BA,7.53,1155402,1,0.3,61,h2_BR_BA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_CE_H2Power_Combined_Cycle,BR_CE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_CE,7.53,1155402,1,0.3,61,h2_BR_CE,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_DF_H2Power_Combined_Cycle,BR_DF,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_DF,7.53,1155402,1,0.3,61,h2_BR_DF,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_ES_H2Power_Combined_Cycle,BR_ES,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_ES,7.53,1155402,1,0.3,61,h2_BR_ES,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_GO_H2Power_Combined_Cycle,BR_GO,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_GO,7.53,1155402,1,0.3,61,h2_BR_GO,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MA_H2Power_Combined_Cycle,BR_MA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_MA,7.53,1155402,1,0.3,61,h2_BR_MA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MT_H2Power_Combined_Cycle,BR_MT,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_MT,7.53,1155402,1,0.3,61,h2_BR_MT,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MS_H2Power_Combined_Cycle,BR_MS,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_MS,7.53,1155402,1,0.3,61,h2_BR_MS,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MG_H2Power_Combined_Cycle,BR_MG,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_MG,7.53,1155402,1,0.3,61,h2_BR_MG,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PA_H2Power_Combined_Cycle,BR_PA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_PA,7.53,1155402,1,0.3,61,h2_BR_PA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PB_H2Power_Combined_Cycle,BR_PB,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_PB,7.53,1155402,1,0.3,61,h2_BR_PB,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PR_H2Power_Combined_Cycle,BR_PR,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_PR,7.53,1155402,1,0.3,61,h2_BR_PR,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PE_H2Power_Combined_Cycle,BR_PE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_PE,7.53,1155402,1,0.3,61,h2_BR_PE,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PI_H2Power_Combined_Cycle,BR_PI,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_PI,7.53,1155402,1,0.3,61,h2_BR_PI,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RJ_H2Power_Combined_Cycle,BR_RJ,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_RJ,7.53,1155402,1,0.3,61,h2_BR_RJ,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RN_H2Power_Combined_Cycle,BR_RN,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_RN,7.53,1155402,1,0.3,61,h2_BR_RN,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RS_H2Power_Combined_Cycle,BR_RS,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_RS,7.53,1155402,1,0.3,61,h2_BR_RS,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RO_H2Power_Combined_Cycle,BR_RO,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_RO,7.53,1155402,1,0.3,61,h2_BR_RO,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RR_H2Power_Combined_Cycle,BR_RR,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Hydrogen,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Hydrogen,FALSE,4,30,0.08,20,41190,0,4,570,1,elec_BR_RR,7.53,1155402,1,0.3,61,h2_BR_RR,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
