Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--jetfuel_production,transforms--electricity_consumption,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--can_expand,edges--ethanol_edge--can_retire,edges--ethanol_edge--lifetime,edges--ethanol_edge--wacc,edges--ethanol_edge--integer_decisions,edges--ethanol_edge--constraints--CapacityConstraint,edges--ethanol_edge--start_vertex,edges--ethanol_edge--capacity_size,edges--ethanol_edge--investment_cost,edges--ethanol_edge--fixed_om_cost,edges--ethanol_edge--variable_om_cost,edges--ethanol_edge--existing_capacity,edges--ethanol_edge--availability--timeseries--path,edges--ethanol_edge--availability--timeseries--header,edges--jetfuel_edge--commodity,edges--jetfuel_edge--unidirectional,edges--jetfuel_edge--has_capacity,edges--jetfuel_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSATJ,BR_ATJ_ethanol,LiquidFuels,TRUE,0.917,0.15,0.232,0,0,Ethanol,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,ethanol_BR,237.2,286666.6,28888.888,253,0,system/availability_monthly.csv,Availability_One,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
BECCSATJ,BR_ATJ_Diesel,LiquidFuels,TRUE,0.917,0.15,0.232,0,0,Ethanol,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,ethanol_BR,237.2,286666.6,28888.888,253,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,renewable_diesel_BR,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
