Type,id,location,co2_sink,transforms--emission_rate,transforms--conversion_rate,transforms--co2_content,transforms--capture_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
GeneralFuelsEndUse,BR_Jetfuel_SAF_flex_Downstream,BR,co2_emitted_BR,0.258,1,0,0,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,JetFuel,TRUE,FALSE,jetfuel_flex_demand_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,BR_Jetfuel_fossil_flex_Downstream,BR,co2_emitted_BR,0.258,1,0,0,JetFuel_Fossil,TRUE,FALSE,jetfuel_fossil_BR,JetFuel,TRUE,FALSE,jetfuel_flex_demand_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,BR_Jetfuel_fossil_mandate_Downstream,BR,co2_emitted_BR,0.258,1,0,0,JetFuel_Fossil,TRUE,FALSE,jetfuel_fossil_BR,JetFuel_Fossil,TRUE,FALSE,jetfuel_fossil_mandate_demand_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_AC,BR_AC,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_AC,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_AL,BR_AL,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_AL,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_AP,BR_AP,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_AP,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_AM,BR_AM,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_AM,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_BA,BR_BA,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_BA,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_CE,BR_CE,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_CE,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_DF,BR_DF,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_DF,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_ES,BR_ES,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_ES,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_GO,BR_GO,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_GO,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_MA,BR_MA,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_MA,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_MT,BR_MT,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_MT,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_MS,BR_MS,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_MS,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_MG,BR_MG,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_MG,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_PA,BR_PA,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_PA,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_PB,BR_PB,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_PB,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_PR,BR_PR,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_PR,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_PE,BR_PE,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_PE,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_PI,BR_PI,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_PI,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_RJ,BR_RJ,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_RJ,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_RN,BR_RN,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_RN,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_RS,BR_RS,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_RS,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_RO,BR_RO,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_RO,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_RR,BR_RR,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_RR,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_SC,BR_SC,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_SC,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_SP,BR_SP,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_SP,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_SE,BR_SE,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_SE,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
GeneralFuelsEndUse,Residue_not_used_TO,BR_TO,co2_emitted_BR,1.558,1,0,0,Residue,TRUE,FALSE,residue_BR_TO,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,co2_captured_tmp
