Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_MS_Combined_Cycle,BR_MS,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MS,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MS_Combined_Cycle_Existing,BR_MS,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,386,2,386,0.108672,elec_BR_MS,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MT_Combined_Cycle,BR_MT,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MT,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MT_Combined_Cycle_Existing,BR_MT,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,529,2,529,0.108672,elec_BR_MT,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PA_Combined_Cycle,BR_PA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PA,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PB_Combined_Cycle,BR_PB,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PB,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PE_Combined_Cycle,BR_PE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PE,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PE_Combined_Cycle_Existing,BR_PE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,550,2,550,0.108672,elec_BR_PE,1.1,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PI_Combined_Cycle,BR_PI,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PI,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PR_Combined_Cycle,BR_PR,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PE,7.53,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
