Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--charcoal_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--charcoal_edge--commodity,edges--charcoal_edge--unidirectional,edges--charcoal_edge--has_capacity,edges--charcoal_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSCharcoal,BR_AC_BECCS_charcoal,BR_AC,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_AC,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_AC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AC
BECCSCharcoal,BR_AL_BECCS_charcoal,BR_AL,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_AL,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_AL,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AL
BECCSCharcoal,BR_AP_BECCS_charcoal,BR_AP,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_AP,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_AP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AP
BECCSCharcoal,BR_AM_BECCS_charcoal,BR_AM,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_AM,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSCharcoal,BR_BA_BECCS_charcoal,BR_BA,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_BA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSCharcoal,BR_CE_BECCS_charcoal,BR_CE,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_CE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSCharcoal,BR_DF_BECCS_charcoal,BR_DF,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_DF,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSCharcoal,BR_ES_BECCS_charcoal,BR_ES,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_ES,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSCharcoal,BR_GO_BECCS_charcoal,BR_GO,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_GO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSCharcoal,BR_MA_BECCS_charcoal,BR_MA,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSCharcoal,BR_MT_BECCS_charcoal,BR_MT,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MT,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSCharcoal,BR_MS_BECCS_charcoal,BR_MS,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MS,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSCharcoal,BR_MG_BECCS_charcoal,BR_MG,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MG,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
BECCSCharcoal,BR_PA_BECCS_charcoal,BR_PA,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
BECCSCharcoal,BR_PB_BECCS_charcoal,BR_PB,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PB,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_PB,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PB
BECCSCharcoal,BR_PR_BECCS_charcoal,BR_PR,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PR,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_PR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PR
BECCSCharcoal,BR_PE_BECCS_charcoal,BR_PE,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_PE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PE
