Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_MA_Coal,BR_MA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_MA,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_MA_Coal_Existing,BR_MA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,389253.1,360,168,360,0.1,elec_BR_MA,7.2,0,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_MG_Coal,BR_MG,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_MG,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_MS_Coal,BR_MS,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_MS,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_MT_Coal,BR_MT,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_MT,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_PA_Coal,BR_PA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_PA,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_PB_Coal,BR_PB,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_PB,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_PE_Coal,BR_PE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_PE,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_PI_Coal,BR_PI,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,67600,0,168,100,0.1,elec_BR_PI,4.4,5307500,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_PR_Coal,BR_PR,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Coal,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Coal,FALSE,168,50,0.08,20,389253.1,0,168,100,0.1,elec_BR_PR,7.53,2677402.3,0.1,0.3,100,0.586,coal_BR,2.564102564,0.1608403,
