Time_Index,Demand_MW,Demand_heat,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
65,60611.16632,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
66,62743.9981,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
67,63748.07853,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
68,62954.97966,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
69,62158.04476,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
70,60694.59994,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
71,61094.5059,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
72,61836.77739,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
73,59533.24235,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
74,57550.97469,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
75,56520.04206,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
76,56308.10149,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
77,56804.86717,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
78,58577.11228,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
79,62247.23242,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
80,68721.48931,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
81,77455.16691,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
82,79401.95131,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
83,78681.73698,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
84,76685.08422,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
85,73399.52591,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
86,76298.60436,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
87,77981.66181,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
88,78092.90663,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
89,79444.14762,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
90,78318.2733,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
91,75606.20124,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
92,72613.1401,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
93,69879.96988,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
94,66867.7286,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
95,65653.62562,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
96,67444.09186,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
97,64509.53016,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
98,62294.22377,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
99,60869.13923,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
100,60547.87185,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
101,60958.32689,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
102,62378.6164,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
103,65424.42292,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
104,70664.43768,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
105,78263.60989,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
106,79827.75046,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
107,78952.17699,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
108,77248.98039,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
109,74898.454,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
110,77257.61145,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
111,78265.52791,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
112,79259.05926,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
113,81033.22238,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
114,80289.03287,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
115,78171.54521,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
116,75243.69655,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
117,72331.19201,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
118,69099.33811,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
119,68081.83158,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
120,69852.15868,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
121,66971.30137,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
122,64990.95172,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
123,63729.85739,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
124,63333.78746,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
125,63702.04618,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
126,65039.86108,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
127,68336.92747,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
128,73617.22052,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
129,81168.44238,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
130,82060.31898,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
131,80179.70606,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
132,78160.03713,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
133,74160.97755,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
134,76100.08989,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
