Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--emission_rate,edges--fossil_fuel_edge--commodity,edges--fuel_edge--can_expand,edges--fossil_fuel_edge--unidirectional,edges--fossil_fuel_edge--has_capacity,edges--fossil_fuel_edge--start_vertex,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--end_vertex,edges--fuel_edge--variable_om_cost,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex
UpstreamEmissions,natgas_fossil_upstream_BR,BR,NaturalGas,TRUE,0.045,NaturalGas,TRUE,TRUE,FALSE,natgas_fossil_BR,NaturalGas,TRUE,FALSE,natgas_BR,0,CO2,TRUE,FALSE,co2_emitted_BR
UpstreamEmissions,natgas_nonfossil_upstream_BR,BR,NaturalGas,TRUE,0,NaturalGas,TRUE,TRUE,FALSE,natgas_nonfossil_BR,NaturalGas,TRUE,FALSE,natgas_BR,0,CO2,TRUE,FALSE,co2_emitted_BR
