Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--sng_production,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--biomass_edge--commodity,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--start_vertex,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--sng_edge--commodity,edges--sng_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BioGasifSNG,BR_MG_biogasif_sng,BR_MG,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_MG,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_MG,Electricity,elec_BR_MG,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_MG
BioGasifSNG,BR_PA_biogasif_sng,BR_PA,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_PA,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_PA,Electricity,elec_BR_PA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PA
BioGasifSNG,BR_PB_biogasif_sng,BR_PB,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_PB,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_PB,Electricity,elec_BR_PB,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PB
BioGasifSNG,BR_PR_biogasif_sng,BR_PR,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_PR,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_PR,Electricity,elec_BR_PR,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PR
BioGasifSNG,BR_PE_biogasif_sng,BR_PE,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_PE,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_PE,Electricity,elec_BR_PE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PE
BioGasifSNG,BR_PI_biogasif_sng,BR_PI,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_PI,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_PI,Electricity,elec_BR_PI,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_PI
BioGasifSNG,BR_RJ_biogasif_sng,BR_RJ,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_RJ,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_RJ,Electricity,elec_BR_RJ,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RJ
BioGasifSNG,BR_RN_biogasif_sng,BR_RN,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_RN,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_RN,Electricity,elec_BR_RN,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RN
BioGasifSNG,BR_RS_biogasif_sng,BR_RS,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_RS,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_RS,Electricity,elec_BR_RS,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RS
BioGasifSNG,BR_RO_biogasif_sng,BR_RO,Biomass,TRUE,2.45,0,0.24,1.558,0.94,0,Residue,TRUE,TRUE,TRUE,residue_BR_RO,0,0,0,NaturalGas,natgas_nonfossil_BR,Electricity,elec_BR_RO,Electricity,elec_BR_RO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_RO
