Type,id,location,edges--elec_edge--integer_decisions,edges--elec_edge--can_retire,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,edges--co2_captured_edge--end_vertex,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate,note
ThermalPowerCCS,BR_MG_Combined_Cycle_CCS,BR_MG,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_MG,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_MG,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580501"
ThermalPowerCCS,BR_MS_Combined_Cycle_CCS,BR_MS,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_MS,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_MS,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580502"
ThermalPowerCCS,BR_MT_Combined_Cycle_CCS,BR_MT,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_MT,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_MT,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580503"
ThermalPowerCCS,BR_PA_Combined_Cycle_CCS,BR_PA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_PA,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_PA,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580504"
ThermalPowerCCS,BR_PB_Combined_Cycle_CCS,BR_PB,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_PB,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_PB,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580505"
ThermalPowerCCS,BR_PE_Combined_Cycle_CCS,BR_PE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_PE,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_PE,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580506"
ThermalPowerCCS,BR_PI_Combined_Cycle_CCS,BR_PI,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_PI,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_PI,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580507"
ThermalPowerCCS,BR_PR_Combined_Cycle_CCS,BR_PR,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_PR,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_PR,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580508"
ThermalPowerCCS,BR_RJ_Combined_Cycle_CCS,BR_RJ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_RJ,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_RJ,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580509"
ThermalPowerCCS,BR_RN_Combined_Cycle_CCS,BR_RN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_RN,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_RN,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580510"
ThermalPowerCCS,BR_RO_Combined_Cycle_CCS,BR_RO,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_RO,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_RO,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580511"
ThermalPowerCCS,BR_RR_Combined_Cycle_CCS,BR_RR,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_RR,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_RR,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580512"
ThermalPowerCCS,BR_RS_Combined_Cycle_CCS,BR_RS,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_RS,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_RS,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580513"
ThermalPowerCCS,BR_SC_Combined_Cycle_CCS,BR_SC,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_SC,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_SC,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580514"
ThermalPowerCCS,BR_SE_Combined_Cycle_CCS,BR_SE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_SE,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_SE,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580515"
ThermalPowerCCS,BR_SP_Combined_Cycle_CCS,BR_SP,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_SP,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_SP,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580516"
ThermalPowerCCS,BR_TO_Combined_Cycle_CCS,BR_TO,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,NaturalGas,12,50,0.08,20,70491,0,12,658,0.108,elec_BR_TO,5.27,3136000,0.586,0.1086,0.5,97,natgas_BR,co2_captured_BR_TO,2.105,0.0181,0.1629,"Operation parameters require double-check, cost from https://www.osti.gov/servlets/purl/2580517"
