Type,id,location,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--lifetime,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate
ThermalPowerCCS,SEL_coal_ccsavgcf,SEL,Electricity,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,elec_SEL,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,PUS_coal_ccsavgcf,PUS,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_PUS,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,TAE_coal_ccsavgcf,TAE,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_TAE,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,INC_coal_ccsavgcf,INC,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_INC,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,KWJ_coal_ccsavgcf,KWJ,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_KWJ,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,DJJ_coal_ccsavgcf,DJJ,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_DJJ,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,USN_coal_ccsavgcf,USN,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_USN,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,SJG_coal_ccsavgcf,SJG,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_SJG,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,GGI_coal_ccsavgcf,GGI,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_GGI,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
ThermalPowerCCS,GWN_coal_ccsavgcf,GWN,Electricity,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,elec_GWN,0.1,2402346.97,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,TRUE,FALSE,coal_source,CO2,TRUE,FALSE,co2_sink_KR,CO2Captured,TRUE,FALSE,co2_captured_KR,Coal,TRUE,4.8,0.0232,0.4398
