Period_Index,Rep_Period,Rep_Period_Index
1,3,1
2,3,1
3,3,1
4,3,1
5,15,3
6,7,2
7,7,2
8,7,2
9,15,3
10,3,1
11,3,1
12,20,4
13,3,1
14,15,3
15,15,3
16,20,4
17,15,3
18,20,4
19,20,4
20,20,4
21,20,4
22,20,4
23,20,4
24,26,5
25,26,5
26,26,5
27,31,6
28,31,6
29,31,6
30,31,6
31,31,6
32,31,6
33,33,7
34,35,8
35,35,8
36,44,9
37,35,8
38,35,8
39,44,9
40,44,9
41,35,8
42,49,11
43,44,9
44,44,9
45,45,10
46,45,10
47,45,10
48,49,11
49,49,11
50,49,11
51,49,11
52,7,2
