Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
23,84.21,3463.99,1715.09,1085.04,13592.78,6016.07,482.85,1181.02,5923.69,3448.94,16865.85,2599.33,4900.41,7704.35,2576.47,3309.14,13067.34,14330.17,11322.61,11171.36,8859.05,324.54,8172.68,12817.1,251.79,17775.14,1728.45
24,130.58,3660.73,1761.18,1018.53,13496.32,5893.96,596.82,1213.2,6242.62,3590.33,18048.47,3027.95,5526.22,8106.78,2601.48,3180.08,12643.93,13567.96,11448.38,11488.12,6665.35,317.5,8768.37,12157.25,292.97,18847.81,1845.03
25,166.98,3589.19,1966.94,951.54,13398.21,5995.54,653.2,1225.82,6386.37,3742.63,17872.55,3313.29,5890.86,7978.14,2472.09,2979.16,12668.75,13468.52,11693.22,11377.82,5739.58,316,8871.98,11420.03,307.94,19739.87,1894.04
26,191.14,3539.81,1994.41,1014.26,12663.23,6003.15,653.8,1220.34,6618.62,3815.64,16828.6,3396.22,6105.75,8446.85,2404.16,2819.13,12516.21,12818.06,11565.15,11035.67,5057.47,351.33,7539.25,9389.13,301.04,20080.58,1902.23
27,196.53,3374.04,1897.88,1130.58,13370.77,5847.71,597.75,1122.14,6560.42,3694.46,17611.81,3272.48,6050.47,8479.35,2287.68,2812.21,12110.04,12926.57,11451.14,10405.06,6178.41,347.61,7877.67,11183.55,265.24,19672.17,1853.68
28,182.89,3066.39,2025.39,1118,13925.68,5696.88,484.76,1000.45,5690.97,3506.08,17383.4,2956.7,5665.25,8610.53,2229.76,3370.45,11835.39,14704.18,11214.55,10048.98,9712.91,297.65,7915.84,11739.18,211.06,19151.02,1742.63
29,155.4,2680.52,2185.15,1153.1,15902.81,5006.22,338.35,854.51,5557.21,3365.67,17626.61,2595.72,5132.58,8975.96,1944.33,3454.96,11143.83,15017.15,10933,10815.83,12509.09,317.42,7497.37,11674.56,135.14,18472.83,1572.19
30,117.79,2931.7,2119.95,1372.38,18044.94,3938.13,157.39,729.73,4987.12,2991.9,17676.46,2019.22,4441.82,11372.38,1394.74,2931.76,9924.67,20137.9,11473.18,9591.85,12731.27,358.71,7619.56,12782.7,59.92,18194.52,1382.8
31,69.42,3347.26,2183.36,1337.33,18719.52,2855.29,23.29,690.17,4518.76,2744.25,17645.82,1623.67,3803.84,15252.59,1048.37,3230.27,7120.38,24796.62,12175.4,9504.78,12910.07,347.48,7752.63,12746.09,20.48,18846.42,1219.03
32,23.32,3886.15,2421.72,1508.92,21182.04,3891.34,6.59,687.46,4955.72,2692.88,18618.25,1480.43,3459.85,17589.26,1154.06,4440.98,5829.85,27157.12,12338.44,10776.43,12762.17,332.42,8038.16,12756.73,19.78,19755.51,1167.24
33,0.68,3918.34,2460.6,1580.77,22760.45,3083.69,6.59,678.3,4909.15,2762.52,16734.99,1476.06,3453.41,15419.65,1243.19,4425.38,6700.18,27055.76,12343.37,10769.97,12701.04,325.17,8368.56,12783.33,21.98,19357.41,1169.76
34,0,3952.22,2513.14,1566.41,23630.27,3186.05,6.59,682.06,4940.37,2759.45,16010.21,1438.42,3435.47,11919.61,1400.46,4459.42,7703.64,25699,12342.45,9525.97,12614.4,357.24,8693.34,12840.17,21.98,18440.14,1172.93
35,0,3970.37,2535.66,1554.07,23884.91,2840.52,6.59,682.74,4953.06,2852.01,14594.97,1445.16,3440.89,9816.35,1582.59,4297.46,8165.46,25220.56,12246,8602.85,12615.1,362.35,8998.44,12858,21.98,18023.92,1173.14
36,0,3639.91,2532.01,1560.79,23515.97,2366.95,5.49,683.5,4978.54,2802.48,11705.47,1470.34,3413.49,6822.25,1643.26,4073.76,8506.62,24402.39,12065.47,8108.85,12596.26,373.45,8915.7,12856.85,21.98,17123.62,1170.78
37,0,3118.29,2537.63,1566.9,23401.42,1825.33,4.4,688.04,4633.45,2759.98,8593.82,1501.2,3221.43,6707.05,1709.82,2729.33,8811.26,22815.34,11722.43,7542.67,11851.1,388.54,8579.85,12867.9,21.98,14626.42,1169.91
38,0,2748.18,2547.06,1557.05,22655.38,1850.46,4.4,678.63,4127.63,2717.85,7326.74,1529.78,2958.61,6449.43,1790.42,961.81,8944.45,19683.67,10474.73,9039.38,10961.48,394.37,8397.92,12181.06,21.98,12523.4,1168.78
