Type,id,location,edges--elec_edge--commodity,edges--elec_edge--uc,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--integer_decisions,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--lifetime,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate
ThermalPowerCCS,SEL_coal_ccsavgcf,SEL,Electricity,True,True,True,False,True,False,True,elec_SEL,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,PUS_coal_ccsavgcf,PUS,Electricity,True,True,True,True,True,False,True,elec_PUS,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,TAE_coal_ccsavgcf,TAE,Electricity,True,True,True,True,True,False,True,elec_TAE,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,INC_coal_ccsavgcf,INC,Electricity,True,True,True,True,True,False,True,elec_INC,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,KWJ_coal_ccsavgcf,KWJ,Electricity,True,True,True,True,True,False,True,elec_KWJ,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,DJJ_coal_ccsavgcf,DJJ,Electricity,True,True,True,True,True,False,True,elec_DJJ,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,USN_coal_ccsavgcf,USN,Electricity,True,True,True,True,True,False,True,elec_USN,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,SJG_coal_ccsavgcf,SJG,Electricity,True,True,True,True,True,False,True,elec_SJG,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,GGI_coal_ccsavgcf,GGI,Electricity,True,True,True,True,True,False,True,elec_GGI,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,GWN_coal_ccsavgcf,GWN,Electricity,True,True,True,True,True,False,True,elec_GWN,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,CNB_coal_ccsavgcf,CNB,Electricity,True,True,True,True,True,False,True,elec_CNB,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,CNA_coal_ccsavgcf,CNA,Electricity,True,True,True,True,True,False,True,elec_CNA,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,JNB_coal_ccsavgcf,JNB,Electricity,True,True,True,True,True,False,True,elec_JNB,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,JNA_coal_ccsavgcf,JNA,Electricity,True,True,True,True,True,False,True,elec_JNA,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,GNB_coal_ccsavgcf,GNB,Electricity,True,True,True,True,True,False,True,elec_GNB,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
ThermalPowerCCS,GNA_coal_ccsavgcf,GNA,Electricity,True,True,True,True,True,False,True,elec_GNA,0.1,5200000.0,0,30,53714.13,19.135,377,97,0.058614214,4,4,1,1,0.5,Coal,True,False,coal_source,CO2,True,False,co2_sink_KR,CO2Captured,True,False,co2_captured_KR,Coal,True,4.8,0.0232,0.4398
