Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,GWN_onshore_wind,GWN,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,1988000,26256.10757,0,5000,580,system/availability.csv,onwind
VRE,CNA_onshore_wind,CNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,1988000,26256.10757,0,5000,0,system/availability.csv,onwind
VRE,CNB_onshore_wind,CNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,1988000,26256.10757,0,5000,0,system/availability.csv,onwind
VRE,DJJ_onshore_wind,DJJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_DJJ,1988000,26256.10757,0,5000,0,system/availability.csv,onwind
VRE,JNB_onshore_wind,JNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,1988000,26256.10757,0,5000,80,system/availability.csv,onwind
VRE,JNA_onshore_wind,JNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,1988000,26256.10757,0,5000,310,system/availability.csv,onwind
VRE,GNB_onshore_wind,GNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GNB,1988000,26256.10757,0,5000,280,system/availability.csv,onwind
VRE,GNA_onshore_wind,GNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GNA,1988000,26256.10757,0,5000,50,system/availability.csv,onwind
VRE,JEJ_onshore_wind,JEJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JEJ,1988000,26256.10757,0,5000,260,system/availability.csv,onwind
VRE,SEL_offshore_wind,SEL,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_SEL,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,PUS_offshore_wind,PUS,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_PUS,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,TAE_offshore_wind,TAE,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_TAE,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,INC_offshore_wind,INC,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_INC,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,KWJ_offshore_wind,KWJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_KWJ,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,USN_offshore_wind,USN,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_USN,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,SJG_offshore_wind,SJG,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_SJG,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,GGI_offshore_wind,GGI,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,GWN_offshore_wind,GWN,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,CNA_offshore_wind,CNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,CNB_offshore_wind,CNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,DJJ_offshore_wind,DJJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_DJJ,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,JNB_offshore_wind,JNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,4842000,26256.10757,0,1384,60,system/availability.csv,offwind-dc
VRE,JNA_offshore_wind,JNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,4842000,26256.10757,0,1384,35,system/availability.csv,offwind-dc
VRE,GNB_offshore_wind,GNB,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GNB,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,GNA_offshore_wind,GNA,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_GNA,4842000,26256.10757,0,1384,0,system/availability.csv,offwind-dc
VRE,JEJ_offshore_wind,JEJ,Electricity,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,Electricity,elec_JEJ,4842000,26256.10757,0,1384,30,system/availability.csv,offwind-dc
