elec_demand_MA,elec_demand_CT,elec_demand_ME,H2_demand_MA
14297.75997,4082.590834,1949.694542,1000
14061.06866,4015.728882,1917.600805,1000
13938.04267,3979.623427,1900.216697,1000
13744.14301,3924.796626,1873.471916,1000
13809.66772,3944.855212,1882.832589,1000
14616.02287,4173.52309,1992.486192,1000
15387.6098,4394.167534,2098.128077,1000
15140.22058,4324.631103,2064.697101,1000
14704.28065,4198.930632,2004.521343,1000
14122.58166,4033.112989,1925.624239,1000
13364.36711,3817.817502,1822.656832,1000
12334.69304,3523.62491,1680.909492,1000
11275.59971,3220.071644,1537.824913,1000
10455.87217,2987.392049,1425.496832,1000
10002.54813,2856.342621,1363.983836,1000
9756.496144,2785.468951,1329.215621,1000
9656.203215,2758.72417,1315.84323,1000
9752.484427,2785.468951,1329.215621,1000
10124.23688,2891.110837,1380.030705,1000
10795.53089,3082.336021,1470.96296,1000
11502.93035,3284.259119,1567.244172,1000
12226.37668,3491.531172,1667.537101,1000
12664.99109,3615.894404,1726.37562,1000
12788.01708,3651.999859,1742.422488,1000
12685.04967,3622.5806,1729.050098,1000
12452.37008,3555.718647,1696.956361,1000
12188.93399,3480.83326,1660.850906,1000
12003.05776,3428.680937,1636.780603,1000
12131.43271,3464.786391,1652.827472,1000
13019.35944,3717.524573,1775.853465,1000
13911.29789,3971.599993,1896.20498,1000
13746.81748,3926.133865,1874.809155,1000
13305.5286,3800.433394,1814.633397,1000
12888.31001,3680.081879,1757.132118,1000
12285.2152,3508.91528,1674.223297,1000
11496.24415,3282.92188,1567.244172,1000
10628.37601,3035.532655,1449.567135,1000
9900.917962,2826.923362,1350.611445,1000
9479.68766,2706.571847,1291.772927,1000
9229.623957,2635.698177,1258.341951,1000
9162.762004,2616.97683,1248.981277,1000
9232.298435,2637.035416,1258.341951,1000
9501.083485,2713.258042,1295.784644,1000
10021.26948,2861.691577,1365.321075,1000
10565.52577,3016.811308,1440.206462,1000
11323.74032,3233.444035,1543.173869,1000
11909.45102,3401.936156,1623.408213,1000
12279.86624,3507.578041,1674.223297,1000
12511.2086,3573.102755,1706.317034,1000
12551.32577,3583.800667,1711.66599,1000
12481.78934,3563.742081,1700.968078,1000
12437.66045,3551.70693,1695.619122,1000
12611.50153,3602.522014,1719.689425,1000
13693.32792,3911.424235,1866.785721,1000
14817.94597,4232.361609,2020.568212,1000
14795.2129,4225.675413,2017.893734,1000
14414.09977,4116.021811,1964.404172,1000
13913.97237,3972.937232,1896.20498,1000
13092.90759,3738.920397,1785.214138,1000
12012.41843,3430.018176,1638.117842,1000
11066.99042,3161.233126,1508.405654,1000
10447.84874,2983.380331,1424.159593,1000
10149.64443,2899.134271,1384.042422,1000
10038.65358,2867.040534,1369.332792,1000
10077.43352,2877.738446,1373.344509,1000
10441.16254,2982.043092,1424.159593,1000
11489.55796,3281.584641,1565.906933,1000
13376.40227,3820.49198,1822.656832,1000
14466.2521,4132.06868,1972.427606,1000
14573.23122,4161.487939,1987.137236,1000
14587.94085,4165.499656,1988.474475,1000
14579.91742,4164.162417,1988.474475,1000
14455.55418,4128.056962,1971.090367,1000
14210.83944,4058.520532,1937.65939,1000
14058.39418,4014.391643,1917.600805,1000
13861.82004,3958.227602,1890.856024,1000
13908.62341,3971.599993,1896.20498,1000
14844.69075,4239.047804,2024.579929,1000
16105.70718,4600.102349,2195.746528,1000
16066.92724,4588.067197,2190.397572,1000
15636.33627,4465.041204,2131.559053,1000
15010.50839,4285.851171,2045.975754,1000
13978.15984,3991.658579,1905.565653,1000
12663.65385,3615.894404,1726.37562,1000
11500.25587,3284.259119,1567.244172,1000
10736.69237,3066.289153,1464.276765,1000
10356.91648,2957.972789,1410.787203,1000
10148.30719,2897.797032,1384.042422,1000
10133.59756,2893.785315,1381.367944,1000
10426.45291,2978.031375,1421.485115,1000
11394.61399,3254.83986,1552.534543,1000
13229.30597,3777.70033,1803.935485,1000
14209.5022,4058.520532,1937.65939,1000
14261.65452,4073.230161,1944.345586,1000
14333.86543,4093.288747,1953.706259,1000
14339.21439,4094.625986,1955.043498,1000
14200.14152,4055.846053,1936.322151,1000
13966.12469,3988.984101,1904.228414,1000
13847.11041,3954.215885,1888.181545,1000
13722.74718,3918.110431,1870.797438,1000
13816.35391,3944.855212,1882.832589,1000
14720.32752,4204.279588,2007.195821,1000
15750.00159,4497.134942,2146.268683,1000
15633.66179,4465.041204,2131.559053,1000
15245.86246,4354.050363,2079.40673,1000
14673.52415,4190.907198,2000.509626,1000
13706.70031,3914.098714,1869.460199,1000
12432.31149,3550.369691,1694.281883,1000
11323.74032,3233.444035,1543.173869,1000
10620.35257,3034.195415,1448.229896,1000
10268.6587,2932.565247,1400.08929,1000
10106.85278,2885.76188,1377.356227,1000
10152.3189,2899.134271,1384.042422,1000
10470.5818,2990.066527,1426.834072,1000
11517.63998,3288.270836,1569.91865,1000
13360.3554,3816.480263,1822.656832,1000
14337.87715,4094.625986,1955.043498,1000
14339.21439,4094.625986,1955.043498,1000
14253.63109,4070.555683,1943.008347,1000
14202.816,4055.846053,1936.322151,1000
14089.15068,4023.752316,1920.275283,1000
13891.2393,3966.251037,1893.530502,1000
13811.00496,3944.855212,1882.832589,1000
13679.95553,3906.075279,1864.111242,1000
13772.22503,3932.82006,1877.483633,1000
14662.82624,4186.895481,1999.172387,1000
15754.01331,4499.80942,2147.605922,1000
15695.17479,4482.425312,2139.582488,1000
15308.7127,4372.771709,2086.092926,1000
14721.66475,4204.279588,2007.195821,1000
13713.38651,3916.773192,1869.460199,1000
12402.89223,3542.346256,1691.607404,1000
11248.85493,3212.04821,1532.475957,1000
10486.62867,2994.078244,1429.50855,1000
10068.07284,2875.063968,1372.00727,1000
9870.161464,2818.899928,1345.262489,1000
9866.149747,2817.562689,1343.92525,1000
10172.37749,2904.483227,1386.7169,1000
11128.50341,3177.279994,1517.766327,1000
12848.19284,3669.383967,1751.783162,1000
14036.99836,4009.042686,1913.589088,1000
14367.29641,4102.64942,1957.717976,1000
14601.31324,4170.848612,1991.148953,1000
14807.24805,4228.349891,2017.893734,1000
14859.40038,4243.059521,2025.917168,1000
14800.56186,4227.012652,2017.893734,1000
14735.03715,4208.291306,2008.53306,1000
14539.80024,4152.127265,1981.788279,1000
14505.03203,4142.766592,1977.776562,1000
15196.38462,4340.677972,2072.720535,1000
15981.34394,4563.996894,2179.699659,1000
15819.53802,4517.193527,2156.966595,1000
15350.16711,4383.469622,2092.779121,1000
14705.61789,4198.930632,2004.521343,1000
13671.9321,3904.73804,1862.774003,1000
12370.7985,3532.985583,1686.258448,1000
11239.49426,3209.373732,1532.475957,1000
10445.17426,2983.380331,1424.159593,1000
10046.67702,2868.377773,1369.332792,1000
9856.789073,2814.88821,1342.588011,1000
9820.683619,2805.527537,1338.576294,1000
10085.45695,2880.412924,1374.681748,1000
10988.09331,3138.500062,1497.707741,1000
12705.10826,3627.929556,1731.724576,1000
13827.05183,3948.866929,1884.169828,1000
14045.02179,4011.717165,1914.926327,1000
14105.19755,4027.764033,1922.949761,1000
14123.9189,4033.112989,1925.624239,1000
14062.4059,4015.728882,1917.600805,1000
13934.03095,3979.623427,1900.216697,1000
13877.86691,3963.576559,1892.193263,1000
13825.71459,3948.866929,1884.169828,1000
14026.30045,4005.030969,1912.251848,1000
14898.18031,4255.094673,2031.266124,1000
15772.73465,4505.158376,2150.2804,1000
15629.65007,4463.703965,2131.559053,1000
15229.8156,4350.038645,2076.732252,1000
14723.00199,4205.616828,2007.195821,1000
13967.46193,3988.984101,1904.228414,1000
12953.83472,3698.803226,1766.492791,1000
11942.882,3409.95959,1627.41993,1000
11153.91096,3185.303429,1520.440805,1000
10692.56348,3054.254001,1457.59057,1000
10433.13911,2980.705853,1422.822354,1000
10352.90476,2956.63555,1410.787203,1000
10461.22113,2987.392049,1425.496832,1000
10827.62463,3093.033934,1476.311917,1000
11514.9655,3288.270836,1569.91865,1000
12206.31809,3486.182216,1663.525384,1000
12988.60294,3709.501138,1770.504509,1000
13603.73291,3884.679454,1854.750569,1000
13863.15728,3958.227602,1890.856024,1000
13776.23674,3934.157299,1877.483633,1000
13556.92954,3871.307064,1849.401613,1000
13302.85412,3799.096155,1813.296158,1000
13182.5026,3764.327939,1797.24929,1000
13289.48173,3795.084438,1811.958919,1000
14156.01263,4042.473663,1930.973195,1000
15338.13196,4380.795144,2091.441882,1000
15334.12024,4379.457905,2091.441882,1000
14990.44981,4280.502215,2044.638515,1000
14518.40442,4146.778309,1979.113801,1000
13943.39163,3982.297905,1901.553936,1000
13260.06247,3787.061003,1807.947202,1000
12464.40523,3559.730364,1699.630839,1000
11715.55136,3345.772115,1598.000671,1000
11267.57628,3217.397166,1536.487674,1000
11085.71176,3166.582082,1511.080132,1000
11064.31594,3159.895887,1508.405654,1000
11188.67917,3194.664102,1524.452523,1000
11500.25587,3284.259119,1567.244172,1000
12037.82597,3438.04161,1640.79232,1000
12618.18772,3602.522014,1721.026664,1000
13437.91526,3837.876087,1832.017505,1000
14054.38247,4013.054404,1916.263566,1000
14391.36671,4109.335616,1961.729693,1000
14503.69479,4141.429353,1977.776562,1000
14491.65964,4138.754875,1976.439323,1000
14344.56334,4097.300464,1956.380737,1000
14256.30556,4071.892922,1944.345586,1000
14371.30812,4103.986659,1959.055215,1000
15302.0265,4370.097231,2086.092926,1000
16518.91404,4717.779386,2251.910568,1000
16538.97263,4723.128342,2254.585046,1000
16078.9624,4592.078914,2193.07205,1000
15618.95216,4461.029487,2128.884575,1000
14840.67903,4239.047804,2023.24269,1000
13911.29789,3972.937232,1896.20498,1000
12980.57951,3706.82666,1769.16727,1000
12326.66961,3520.950431,1680.909492,1000
11985.67365,3421.994741,1634.106125,1000
11847.93803,3383.214809,1615.384778,1000
11853.28698,3385.889287,1615.384778,1000
12127.42099,3463.449152,1652.827472,1000
12842.84388,3668.046727,1750.445923,1000
14024.96321,4005.030969,1912.251848,1000
14895.50583,4253.757434,2031.266124,1000
15494.58893,4424.924033,2112.837707,1000
15828.89869,4521.205244,2158.303835,1000
15957.27364,4557.310699,2175.687942,1000
15830.23593,4521.205244,2158.303835,1000
15576.16051,4447.657096,2123.535619,1000
15398.30772,4398.179251,2099.465316,1000
15204.40805,4342.015211,2072.720535,1000
15233.82731,4351.375885,2076.732252,1000
16009.42596,4572.020329,2182.374138,1000
17043.11175,4867.55016,2322.784238,1000
16854.56105,4814.060598,2297.376696,1000
16345.07297,4668.301541,2227.840265,1000
15602.90529,4455.680531,2126.210097,1000
14533.11405,4150.790026,1981.788279,1000
13253.37627,3784.386525,1806.609963,1000
12072.59419,3448.739522,1646.141277,1000
11262.22732,3216.059927,1535.150435,1000
10804.89156,3086.347739,1472.300199,1000
10598.95675,3027.50922,1444.218179,1000
10544.12995,3011.462352,1437.531984,1000
10810.24052,3087.684978,1473.637438,1000
11728.92375,3348.446593,1599.33791,1000
13395.12361,3825.840936,1826.668549,1000
14372.64536,4105.323898,1959.055215,1000
14517.06718,4146.778309,1979.113801,1000
14523.75337,4146.778309,1979.113801,1000
14513.05546,4145.44107,1977.776562,1000
14456.89142,4128.056962,1971.090367,1000
14380.6688,4106.661137,1960.392454,1000
14363.28469,4102.64942,1957.717976,1000
14315.14408,4087.939791,1951.031781,1000
14452.8797,4126.719723,1971.090367,1000
15255.22314,4356.724841,2079.40673,1000
16033.49627,4578.706524,2186.385855,1000
15810.17735,4514.519049,2155.629356,1000
15334.12024,4379.457905,2090.104643,1000
14624.0463,4177.534807,1993.823431,1000
13566.29021,3873.981542,1849.401613,1000
12246.43526,3496.880128,1668.87434,1000
11058.96698,3158.558648,1507.068415,1000
10260.63527,2929.890769,1398.752051,1000
9852.777356,2813.550971,1342.588011,1000
9641.493586,2753.375214,1314.505991,1000
9617.423283,2746.689019,1310.494274,1000
9933.0117,2836.284035,1354.623163,1000
10958.67405,3129.139388,1493.696024,1000
12838.83217,3666.709488,1750.445923,1000
13823.04011,3947.52969,1884.169828,1000
13926.00752,3976.948949,1897.542219,1000
14010.25358,4001.019252,1909.57737,1000
14118.56994,4031.77575,1924.287,1000
14125.25614,4034.450229,1925.624239,1000
14059.73142,4015.728882,1917.600805,1000
14043.68455,4011.717165,1914.926327,1000
13976.8226,3991.658579,1905.565653,1000
14094.49964,4025.089555,1921.612522,1000
14932.94853,4264.455346,2036.615081,1000
16343.73573,4668.301541,2227.840265,1000
16462.75,4701.732517,2245.224373,1000
16176.58085,4620.160935,2205.107201,1000
15620.2894,4461.029487,2128.884575,1000
14676.19863,4192.244437,2000.509626,1000
13474.02072,3848.574,1836.029222,1000
12368.12402,3531.648344,1686.258448,1000
11679.44591,3335.074203,1592.651714,1000
11350.4851,3241.467469,1547.185586,1000
11214.08671,3202.687536,1528.46424,1000
11239.49426,3209.373732,1532.475957,1000
11596.53708,3311.0039,1580.616563,1000
12631.56011,3607.87097,1722.363903,1000
14522.41614,4146.778309,1979.113801,1000
15513.31028,4430.272989,2114.174946,1000
15556.10193,4442.30814,2120.861141,1000
15477.20482,4420.912315,2110.163229,1000
15392.95876,4395.504773,2099.465316,1000
15201.73358,4340.677972,2072.720535,1000
14963.70502,4273.816019,2039.289559,1000
14813.93425,4231.02437,2019.230973,1000
14637.41869,4180.209285,1996.497909,1000
14737.71162,4209.628545,2009.870299,1000
15481.21654,4420.912315,2111.500468,1000
16517.57681,4717.779386,2251.910568,1000
16488.15755,4708.418712,2247.898851,1000
16203.32563,4628.184369,2209.118919,1000
15553.42745,4442.30814,2119.523902,1000
14529.10233,4149.452787,1980.45104,1000
13238.66664,3780.374808,1805.272724,1000
12068.58247,3447.402283,1646.141277,1000
11278.27419,3221.408883,1537.824913,1000
10831.63634,3094.371173,1477.649156,1000
10627.03877,3034.195415,1448.229896,1000
10581.57264,3022.160264,1442.88094,1000
10901.17278,3114.429759,1485.67259,1000
11855.96146,3385.889287,1616.722017,1000
13623.79149,3891.36565,1857.425047,1000
14563.87055,4160.1507,1984.462757,1000
14669.51243,4189.569959,1999.172387,1000
14712.30408,4201.60511,2005.858582,1000
14753.75849,4213.640262,2011.207539,1000
14693.58273,4196.256154,2003.184104,1000
14529.10233,4149.452787,1980.45104,1000
14423.46045,4120.033528,1965.741411,1000
14249.61937,4069.218444,1943.008347,1000
14273.68967,4077.241878,1945.682825,1000
14907.54098,4257.769151,2032.603363,1000
16080.29963,4593.416153,2193.07205,1000
16020.12388,4574.694807,2183.711377,1000
15626.9756,4462.366726,2130.221814,1000
15117.48752,4317.944908,2060.685384,1000
14390.02947,4109.335616,1961.729693,1000
13397.79809,3825.840936,1826.668549,1000
12360.10058,3528.973866,1684.921209,1000
11620.60739,3319.027334,1584.62828,1000
11206.06328,3200.013058,1527.127001,1000
10951.98786,3127.802149,1492.358785,1000
10853.03217,3099.720129,1478.986395,1000
10945.30166,3126.46491,1492.358785,1000
11299.67001,3228.095078,1540.499391,1000
11999.04604,3427.343698,1635.443364,1000
12832.14597,3664.03501,1749.108684,1000
13760.18987,3930.145582,1876.146394,1000
14569.2195,4160.1507,1985.799996,1000
15066.67243,4303.235279,2053.999188,1000
15279.29344,4363.411036,2083.418447,1000
15277.9562,4363.411036,2083.418447,1000
15084.05654,4307.246996,2056.673666,1000
14838.00455,4237.710565,2023.24269,1000
14733.69991,4206.954067,2008.53306,1000
15296.67755,4367.422753,2086.092926,1000
16262.16415,4644.231238,2217.142353,1000
16095.00926,4596.090632,2194.409289,1000
15537.38058,4436.959184,2118.186663,1000
14963.70502,4272.47878,2039.289559,1000
14220.20011,4061.19501,1937.65939,1000
13306.86583,3800.433394,1814.633397,1000
12413.59015,3545.020734,1692.944643,1000
11715.55136,3345.772115,1598.000671,1000
11331.76375,3236.118513,1545.848347,1000
11147.22476,3182.628951,1519.103566,1000
11065.65318,3161.233126,1508.405654,1000
11139.20133,3181.291712,1519.103566,1000
11442.75459,3268.21225,1559.220738,1000
11980.32469,3421.994741,1634.106125,1000
12568.70988,3589.149623,1714.340468,1000
13348.32025,3811.131306,1819.982354,1000
13828.38907,3948.866929,1885.507067,1000
14018.27701,4003.69373,1910.914609,1000
14015.60253,4002.356491,1909.57737,1000
13931.35647,3978.286188,1898.879458,1000
13825.71459,3948.866929,1884.169828,1000
13784.26018,3936.831778,1878.820872,1000
13808.33048,3943.517973,1882.832589,1000
14452.8797,4126.719723,1971.090367,1000
15414.35459,4402.190969,2100.802555,1000
15419.70354,4403.528208,2102.139794,1000
15137.5461,4323.293864,2064.697101,1000
14582.59189,4165.499656,1988.474475,1000
13669.25762,3904.73804,1862.774003,1000
12647.60698,3611.882687,1723.701142,1000
11611.24671,3315.015617,1583.291041,1000
10866.40456,3103.731846,1481.660873,1000
10486.62867,2994.078244,1429.50855,1000
10332.84618,2951.286594,1409.449964,1000
10340.86961,2953.961072,1410.787203,1000
10661.80698,3044.893328,1453.578853,1000
11639.32873,3323.039051,1585.965519,1000
13417.85668,3831.189892,1829.343027,1000
14416.77425,4117.35905,1964.404172,1000
14632.06974,4180.209285,1995.16067,1000
14753.75849,4213.640262,2011.207539,1000
14868.76105,4247.071238,2027.254407,1000
14847.36523,4239.047804,2024.579929,1000
14704.28065,4198.930632,2004.521343,1000
14603.98772,4170.848612,1991.148953,1000
14446.19351,4125.382484,1969.753128,1000
14452.8797,4126.719723,1971.090367,1000
15112.13856,4315.27043,2059.348144,1000
16072.2762,4589.404436,2191.734811,1000
15938.55229,4551.961743,2173.013464,1000
15433.07593,4407.539925,2104.814272,1000
14705.61789,4198.930632,2004.521343,1000
13635.82664,3894.040128,1858.762286,1000
12294.57587,3510.252519,1675.560536,1000
11079.02557,3163.907604,1511.080132,1000
10306.1014,2943.26316,1404.101008,1000
9816.671902,2804.190298,1337.239055,1000
9577.306111,2734.653867,1305.145318,1000
9515.793114,2717.269759,1297.121883,1000
9787.252643,2794.829625,1334.564577,1000
10689.889,3052.916762,1457.59057,1000
12485.80106,3565.07932,1702.305317,1000
13476.69519,3848.574,1837.366461,1000
13576.98812,3877.993259,1850.738852,1000
13520.82408,3861.94639,1842.715418,1000
13536.87095,3865.958108,1845.389896,1000
13480.70691,3849.911239,1837.366461,1000
13325.58718,3805.78235,1815.970637,1000
13223.95701,3777.70033,1802.598246,1000
13082.20967,3736.245919,1782.53966,1000
13092.90759,3738.920397,1785.214138,1000
13748.15472,3926.133865,1874.809155,1000
14953.00711,4271.141541,2039.289559,1000
14966.3795,4273.816019,2040.626798,1000
14610.67391,4172.185851,1991.148953,1000
14031.6494,4007.705447,1912.251848,1000
13072.849,3733.571441,1781.202421,1000
11874.68281,3391.238243,1619.396495,1000
10754.07648,3071.638109,1465.614004,1000
10033.30463,2865.703295,1367.995553,1000
9670.912845,2761.398648,1318.517708,1000
9509.106919,2715.93252,1295.784644,1000
9517.130353,2718.606999,1297.121883,1000
9823.358097,2805.527537,1338.576294,1000
10814.25224,3087.684978,1473.637438,1000
12690.39863,3623.917839,1730.387337,1000
13737.45681,3923.459387,1873.471916,1000
13824.37735,3947.52969,1884.169828,1000
13901.93721,3970.262754,1896.20498,1000
13964.78745,3987.646862,1904.228414,1000
13928.682,3978.286188,1898.879458,1000
13789.60913,3938.169017,1880.158111,1000
13714.72375,3916.773192,1869.460199,1000
13556.92954,3871.307064,1849.401613,1000
13535.53371,3865.958108,1845.389896,1000
14145.31472,4039.799185,1928.298717,1000
15475.86758,4420.912315,2110.163229,1000
15565.4626,4446.319857,2122.19838,1000
15211.09425,4344.689689,2074.057774,1000
14653.46556,4185.558242,1997.835148,1000
13654.54799,3899.389084,1861.436764,1000
12360.10058,3528.973866,1684.921209,1000
11212.74948,3201.350297,1528.46424,1000
10463.8956,2988.729288,1426.834072,1000
10081.44523,2879.075685,1374.681748,1000
9900.917962,2826.923362,1350.611445,1000
9892.894528,2825.586123,1349.274206,1000
10205.80847,2915.18114,1390.728617,1000
11156.58543,3186.640668,1520.440805,1000
13020.69668,3717.524573,1775.853465,1000
14016.93977,4003.69373,1910.914609,1000
14083.80173,4022.415077,1920.275283,1000
14041.01008,4010.379926,1914.926327,1000
14006.24186,3999.682013,1909.57737,1000
13913.97237,3974.274471,1896.20498,1000
13802.98152,3942.180734,1881.49535,1000
13792.28361,3938.169017,1880.158111,1000
13753.50368,3927.471104,1874.809155,1000
13859.14556,3958.227602,1889.518785,1000
14533.11405,4150.790026,1981.788279,1000
15592.20738,4453.006053,2126.210097,1000
15552.09021,4440.970901,2119.523902,1000
15192.3729,4339.340733,2071.383296,1000
14590.61533,4166.836895,1989.811714,1000
13627.80321,3891.36565,1857.425047,1000
12361.43782,3530.311105,1684.921209,1000
11227.4591,3206.699254,1531.138718,1000
10459.88389,2987.392049,1425.496832,1000
10021.26948,2861.691577,1365.321075,1000
9819.34638,2804.190298,1338.576294,1000
9747.135471,2784.131712,1329.215621,1000
10005.22261,2857.67986,1363.983836,1000
10887.80038,3109.080803,1484.335351,1000
12554.00025,3585.137906,1711.66599,1000
13683.96725,3907.412518,1865.448482,1000
14032.98664,4007.705447,1913.589088,1000
14261.65452,4073.230161,1944.345586,1000
14415.43701,4117.35905,1964.404172,1000
14464.91486,4130.73144,1971.090367,1000
14365.95917,4102.64942,1957.717976,1000
14250.95661,4070.555683,1943.008347,1000
14062.4059,4015.728882,1917.600805,1000
13998.21843,3998.344774,1908.240131,1000
14426.13492,4120.033528,1967.07865,1000
15049.28832,4297.886322,2052.661949,1000
14827.30664,4235.036087,2021.905451,1000
14328.51647,4091.951508,1953.706259,1000
13789.60913,3938.169017,1880.158111,1000
13060.81385,3730.896963,1781.202421,1000
12089.9783,3452.75124,1647.478516,1000
11105.77035,3171.931038,1513.75461,1000
10314.12483,2945.937638,1405.438247,1000
9836.730488,2809.539254,1341.250772,1000
9593.35298,2738.665584,1307.819796,1000
9502.420724,2713.258042,1295.784644,1000
9588.004023,2738.665584,1307.819796,1000
9989.17574,2853.668143,1362.646597,1000
10683.20281,3051.579523,1456.253331,1000
11424.03325,3261.526055,1557.883499,1000
12207.65533,3486.182216,1664.862623,1000
12709.11998,3630.604034,1733.061815,1000
12932.4389,3693.45427,1762.481074,1000
12808.07567,3657.348815,1746.434206,1000
12566.0354,3589.149623,1713.003229,1000
12238.41183,3495.542889,1667.537101,1000
12037.82597,3438.04161,1640.79232,1000
