Type,id,location,edges--edge--commodity,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--lifetime,edges--edge--constraints--CapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,transforms--timedata,edges--edge--end_vertex,edges--edge--wacc,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--max_capacity,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header
VRE,GGI_onshore_wind,GGI,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,0.1,1519000,32038.1,0,2000,0,system/availability.csv,GGI_onwind
VRE,GWN_onshore_wind,GWN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,0.1,1519000,32038.1,0,15000,0,system/availability.csv,GWN_onwind
VRE,CNB_onshore_wind,CNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,0.1,1519000,32038.1,0,5000,0,system/availability.csv,CNB_onwind
VRE,CNA_onshore_wind,CNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,0.1,1519000,32038.1,0,8000,0,system/availability.csv,CNA_onwind
VRE,JNB_onshore_wind,JNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,0.1,1519000,32038.1,0,8000,0,system/availability.csv,JNB_onwind
VRE,JNA_onshore_wind,JNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,0.1,1519000,32038.1,0,12000,0,system/availability.csv,JNA_onwind
VRE,GNB_onshore_wind,GNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNB,0.1,1519000,32038.1,0,15000,0,system/availability.csv,GNB_onwind
VRE,GNA_onshore_wind,GNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNA,0.1,1519000,32038.1,0,10000,0,system/availability.csv,GNA_onwind
VRE,JEJ_onshore_wind,JEJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JEJ,0.1,1519000,32038.1,0,2000,0,system/availability.csv,JEJ_onwind
VRE,SEL_offshore_wind,SEL,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SEL,0.1,4025000,72270.1,0,0,0,system/availability.csv,SEL_offwind-dc
VRE,PUS_offshore_wind,PUS,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_PUS,0.1,4025000,72270.1,0,3000,0,system/availability.csv,PUS_offwind-dc
VRE,TAE_offshore_wind,TAE,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_TAE,0.1,4025000,72270.1,0,0,0,system/availability.csv,TAE_offwind-dc
VRE,INC_offshore_wind,INC,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_INC,0.1,4025000,72270.1,0,5000,0,system/availability.csv,INC_offwind-dc
VRE,KWJ_offshore_wind,KWJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_KWJ,0.1,4025000,72270.1,0,0,0,system/availability.csv,KWJ_offwind-dc
VRE,DJJ_offshore_wind,DJJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_DJJ,0.1,4025000,72270.1,0,0,0,system/availability.csv,DJJ_offwind-dc
VRE,USN_offshore_wind,USN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_USN,0.1,4025000,72270.1,0,3000,0,system/availability.csv,USN_offwind-dc
VRE,SJG_offshore_wind,SJG,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_SJG,0.1,4025000,72270.1,0,0,0,system/availability.csv,SJG_offwind-dc
VRE,GGI_offshore_wind,GGI,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GGI,0.1,4025000,72270.1,0,5000,0,system/availability.csv,GGI_offwind-dc
VRE,GWN_offshore_wind,GWN,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GWN,0.1,4025000,72270.1,0,5000,0,system/availability.csv,GWN_offwind-dc
VRE,CNB_offshore_wind,CNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNB,0.1,4025000,72270.1,0,0,0,system/availability.csv,CNB_offwind-dc
VRE,CNA_offshore_wind,CNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_CNA,0.1,4025000,72270.1,0,15000,0,system/availability.csv,CNA_offwind-dc
VRE,JNB_offshore_wind,JNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNB,0.1,4025000,72270.1,0,5000,0,system/availability.csv,JNB_offwind-dc
VRE,JNA_offshore_wind,JNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JNA,0.1,4025000,72270.1,0,20000,0,system/availability.csv,JNA_offwind-dc
VRE,GNB_offshore_wind,GNB,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNB,0.1,4025000,72270.1,0,10000,0,system/availability.csv,GNB_offwind-dc
VRE,GNA_offshore_wind,GNA,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_GNA,0.1,4025000,72270.1,0,15000,0,system/availability.csv,GNA_offwind-dc
VRE,JEJ_offshore_wind,JEJ,Electricity,TRUE,TRUE,TRUE,FALSE,30,TRUE,TRUE,Electricity,elec_JEJ,0.1,4025000,72270.1,0,5000,0,system/availability.csv,JEJ_offwind-dc
