Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,CE_price2,CE_max2,CE_price3,CE_max3,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,ES_price2,ES_max2,ES_price3,ES_max3,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MA_price2,MA_max2,MA_price3,MA_max3,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PA_price2,PA_max2,PA_price3,PA_max3,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PE_price2,PE_max2,PE_price3,PE_max3,PI_price1,PI_max1,PI_price2,PI_max2,PI_price3,PI_max3,RJ_price1,RJ_max1,RJ_price2,RJ_max2,RJ_price3,RJ_max3,RN_price1,RN_max1,RS_price1,RS_max1,RS_price2,RS_max2,RS_price3,RS_max3,RO_price1,RO_max1,RO_price2,RO_max2,RR_price1,RR_max1,SC_price1,SC_max1,SC_price2,SC_max2,SC_price3,SC_max3,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,SE_price2,SE_max2,SE_price3,SE_max3,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.27123287671232876,19.0,34375.479452054795,26.0,41381.16849315068,17.0,2.1,19.0,819.7808219178082,24.0,1.484931506849315,13.0,0.0,17.0,0.07123287671232877,24.0,0.0136986301369863,14.0,0.0013698630136986301,17.0,28.594520547945205,26.0,72.8890410958904,12.0,0.0013698630136986301,19.0,314.5082191780822,27.0,340.59589041095893,12.0,0.13561643835616438,19.0,9659.034246575342,26.0,22546.389041095892,11.0,0.0013698630136986301,18.0,647.1849315068494,25.0,638.0301369863014,11.0,0.0,18.0,421.74246575342465,25.0,388.88904109589043,11.0,0.00821917808219178,20.0,1665.4657534246576,28.0,269.4013698630137,23.0,0.00821917808219178,23.0,0.00821917808219178,24.0,0.04657534246575343,17.0,966.2,13.0,0.0027397260273972603,20.0,394.11506849315066,27.0,50.61095890410959,17.0,1.5904109589041096,17.0,2195.7123287671234,24.0,0.47534246575342465,12.0,0.0684931506849315,19.0,4987.1630136986305,25.0,6648.979452054795,15.0,56.75890410958904,17.0,89.65753424657534,19.0,7.154794520547945,17.0,1282.964383561644,15.0,0.00410958904109589,22.0,8.115068493150686,26.0,3.515068493150685,16.0,0.00821917808219178,22.0,0.030136986301369864,0.0,0.0,15.0,0.0027397260273972603,20.0,1.6534246575342466,28.0,14.61917808219178,12.0,0.0013698630136986301,20.0,2298.0328767123287,28.0,89.56164383561644,19.0,1805.1342465753426,23.0,2.4356164383561643,24.0,39.01917808219178,12.0,0.026027397260273973,19.0,666.9835616438356,25.0,4796.443835616438
