Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PI_price1,PI_max1,RJ_price1,RJ_max1,RN_price1,RN_max1,RS_price1,RS_max1,RO_price1,RO_max1,RO_price2,RO_max2,RR_price1,RR_max1,SC_price1,SC_max1,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.00410958904109589,159.0,0.02054794520547945,164.0,0.015068493150684932,0.0,0.0,64.0,0.1958904109589041,84.0,0.11643835616438356,135.0,0.21780821917808219,164.0,0.06301369863013699,63.0,0.00684931506849315,107.0,3097.8698630136987,162.0,591.8767123287671,0.0,0.0,65.0,0.01643835616438356,108.0,6488.3369863013695,151.0,1446.7808219178082,61.0,0.763013698630137,102.0,2600.6027397260273,148.0,1506.9109589041095,65.0,0.00410958904109589,120.0,1793.141095890411,180.0,850.3493150684932,0.0,0.0,0.0,0.0,83.0,0.015068493150684932,131.0,337.76164383561644,180.0,20.78767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0027397260273972603,144.0,0.00684931506849315,0.0,0.0,174.0,0.0027397260273972603,75.0,0.00821917808219178,127.0,1170.6287671232876,180.0,31.8,0.0,0.0,70.0,0.00410958904109589,87.0,0.0136986301369863,144.0,0.0136986301369863
