Time_Index,h2_BR_AC,h2_BR_AL,h2_BR_AP,h2_BR_AM,h2_BR_BA,h2_BR_CE,h2_BR_DF,h2_BR_ES,h2_BR_GO,h2_BR_MA,h2_BR_MT,h2_BR_MS,h2_BR_MG,h2_BR_PA,h2_BR_PB,h2_BR_PR,h2_BR_PE,h2_BR_PI,h2_BR_RJ,h2_BR_RN,h2_BR_RS,h2_BR_RO,h2_BR_RR,h2_BR_SC,h2_BR_SP,h2_BR_SE,h2_BR_TO
13,84.25,244.69,849.53,33.82,2071.76,1049.63,229.15,1336.76,1429.62,731.53,7415.15,1023.41,1120.86,1656.38,339.7,875.77,230.01,3179.01,3556.86,252.44,303.98,48.04,2862.05,2730.35,216.14,11891.85,263.14
14,79.5,230.72,783.68,32.77,1925.03,978.03,218.77,1236.1,1328.85,680.41,6843.4,942.96,1033.98,1532.24,319.47,821.41,217.01,2956.27,3317.41,238.8,282.39,45.64,2665.98,2530.53,202.58,11028.84,244.48
15,82.22,239.16,862.73,31.4,2078.04,1047.71,218.89,1352.01,1433.04,732.43,7524.81,1041.45,1138.25,1674.19,333.56,864.11,224.57,3184.18,3544.32,245.25,305.02,46.32,2858.32,2750.67,213.56,11967.16,264.0
16,77.41,225.48,844.64,28.02,2010.44,1008.82,201.5,1318.54,1385.58,707.38,7361.86,1021.58,1114.36,1631.7,315.98,822.56,211.51,3076.39,3407.17,229.82,295.21,43.05,2753.71,2672.5,203.56,11614.64,255.47
17,92.21,267.43,892.23,38.8,2204.88,1122.79,256.1,1410.15,1522.47,779.98,7794.21,1072.52,1177.24,1748.55,369.52,948.04,251.66,3388.24,3811.38,277.53,323.38,53.22,3059.79,2892.35,233.65,12612.21,279.98
18,74.62,217.3,805.4,27.44,1923.36,966.41,195.53,1258.62,1325.8,677.09,7021.12,973.59,1062.59,1557.84,304.09,790.54,203.89,2944.27,3265.47,221.87,282.4,41.66,2637.54,2553.73,195.57,11101.81,244.39
19,95.17,274.82,804.11,45.59,2080.98,1077.94,280.81,1290.93,1440.12,740.81,7044.76,958.93,1061.07,1604.66,374.36,945.9,259.44,3213.79,3680.4,290.29,304.77,56.93,2932.13,2686.77,232.12,11763.35,264.04
20,92.39,264.8,593.45,53.13,1707.86,916.67,298.9,989.48,1187.54,616.15,5236.69,693.71,783.31,1237.1,352.06,865.82,251.3,2665.52,3166.17,287.91,249.38,58.43,2483.96,2129.75,210.81,9409.23,216.32
21,135.68,387.57,743.21,84.12,2294.2,1257.33,457.07,1272.37,1599.78,834.3,6591.9,856.14,981.18,1596.97,509.32,1235.75,368.73,3603.27,4371.4,427.08,334.36,87.99,3399.66,2799.79,299.64,12440.41,290.29
22,149.17,425.84,790.66,93.75,2478.21,1364.03,506.24,1361.62,1729.12,902.69,7020.98,907.73,1043.86,1710.45,558.37,1351.23,405.33,3897.37,4748.64,470.41,361.05,97.19,3686.53,3010.6,327.4,13393.32,313.5
23,151.04,433.0,978.59,86.46,2806.14,1504.45,487.49,1629.47,1950.88,1011.94,8633.01,1144.75,1291.65,2036.85,576.1,1417.86,410.86,4378.11,5194.48,470.44,409.77,95.37,4077.22,3503.31,345.29,15472.81,355.46
24,141.27,405.68,977.2,77.95,2727.99,1450.11,447.3,1611.33,1894.38,980.58,8604.49,1149.13,1289.72,2011.19,542.61,1343.57,384.5,4245.34,4993.18,438.01,398.65,88.17,3933.53,3435.03,327.78,15137.27,345.7
25,101.74,293.28,812.72,50.96,2146.33,1119.83,306.75,1313.95,1486.77,766.12,7129.67,965.71,1072.51,1635.07,397.34,998.01,277.19,3321.73,3832.5,311.85,314.15,61.64,3043.63,2752.33,244.49,12071.56,272.24
26,79.66,230.56,725.02,35.69,1828.44,938.24,227.68,1153.73,1263.79,648.66,6341.52,868.51,956.66,1432.13,316.46,806.21,217.27,2816.01,3193.26,241.26,268.0,46.76,2554.75,2381.7,198.31,10404.04,232.1
27,68.11,197.7,675.24,27.89,1655.65,840.57,186.88,1064.44,1142.79,585.06,5895.91,812.75,890.92,1319.32,273.92,704.79,185.93,2542.06,2850.45,204.46,242.89,39.04,2291.49,2177.83,173.85,9490.02,210.27
28,60.85,176.87,627.17,23.78,1519.0,767.53,163.59,984.63,1047.82,535.83,5472.01,756.4,827.46,1219.61,246.17,636.33,166.17,2329.01,2598.47,181.88,222.93,34.47,2093.43,2006.78,157.16,8734.88,192.96
29,59.76,174.19,663.09,21.11,1570.45,786.45,154.0,1033.45,1082.06,552.16,5777.78,802.64,874.82,1278.57,244.6,638.1,163.32,2401.75,2654.27,177.06,230.64,33.05,2147.19,2091.37,158.0,9084.93,199.58
30,58.59,170.91,665.07,19.98,1564.57,781.36,148.85,1034.26,1077.64,549.55,5792.67,805.89,877.43,1279.13,240.68,629.72,160.13,2390.88,2634.6,173.06,229.84,32.14,2133.98,2088.58,156.05,9067.37,198.85
31,61.75,179.87,673.77,22.35,1603.73,804.74,160.73,1051.79,1105.27,564.28,5872.56,814.9,888.91,1301.62,252.06,656.17,168.72,2454.06,2717.91,183.33,235.49,34.34,2196.64,2131.87,162.38,9265.03,203.78
32,64.05,186.21,664.78,24.81,1606.59,811.06,171.51,1042.95,1108.11,566.53,5799.43,802.06,877.09,1291.7,259.38,671.05,174.92,2462.71,2745.1,191.27,235.8,36.2,2212.42,2124.12,165.79,9243.92,204.09
33,94.48,273.39,854.32,42.59,2159.28,1108.93,270.84,1360.52,1492.64,766.25,7473.55,1023.03,1127.27,1689.01,375.01,954.65,257.69,3326.39,3775.25,286.33,316.47,55.55,3019.24,2810.5,234.78,12279.72,274.08
34,99.69,288.78,931.53,43.51,2328.58,1190.97,281.54,1477.95,1608.81,825.07,8143.33,1117.59,1229.13,1833.74,397.52,1015.72,271.98,3582.9,4048.85,301.13,341.4,58.1,3244.03,3042.46,250.05,13280.15,295.63
35,87.14,253.33,898.85,34.02,2176.57,1099.67,234.2,1411.06,1501.4,767.77,7842.28,1084.1,1185.92,1747.8,352.6,911.54,237.99,3337.2,3722.89,260.47,319.44,49.36,2999.45,2875.67,225.14,12516.88,276.49
36,106.55,308.41,973.29,47.57,2451.54,1257.4,304.05,1548.18,1694.37,869.54,8512.4,1166.18,1284.25,1921.63,423.51,1079.34,290.63,3775.19,4278.86,322.59,359.33,62.48,3423.96,3194.69,265.52,13953.98,311.2
37,84.25,244.69,849.53,33.82,2071.76,1049.63,229.15,1336.76,1429.62,731.53,7415.15,1023.41,1120.86,1656.38,339.7,875.77,230.01,3179.01,3556.86,252.44,303.98,48.04,2862.05,2730.35,216.14,11891.85,263.14
38,79.5,230.72,783.68,32.77,1925.03,978.03,218.77,1236.1,1328.85,680.41,6843.4,942.96,1033.98,1532.24,319.47,821.41,217.01,2956.27,3317.41,238.8,282.39,45.64,2665.98,2530.53,202.58,11028.84,244.48
39,82.22,239.16,862.73,31.4,2078.04,1047.71,218.89,1352.01,1433.04,732.43,7524.81,1041.45,1138.25,1674.19,333.56,864.11,224.57,3184.18,3544.32,245.25,305.02,46.32,2858.32,2750.67,213.56,11967.16,264.0
40,77.41,225.48,844.64,28.02,2010.44,1008.82,201.5,1318.54,1385.58,707.38,7361.86,1021.58,1114.36,1631.7,315.98,822.56,211.51,3076.39,3407.17,229.82,295.21,43.05,2753.71,2672.5,203.56,11614.64,255.47
41,92.21,267.43,892.23,38.8,2204.88,1122.79,256.1,1410.15,1522.47,779.98,7794.21,1072.52,1177.24,1748.55,369.52,948.04,251.66,3388.24,3811.38,277.53,323.38,53.22,3059.79,2892.35,233.65,12612.21,279.98
42,74.62,217.3,805.4,27.44,1923.36,966.41,195.53,1258.62,1325.8,677.09,7021.12,973.59,1062.59,1557.84,304.09,790.54,203.89,2944.27,3265.47,221.87,282.4,41.66,2637.54,2553.73,195.57,11101.81,244.39
43,95.17,274.82,804.11,45.59,2080.98,1077.94,280.81,1290.93,1440.12,740.81,7044.76,958.93,1061.07,1604.66,374.36,945.9,259.44,3213.79,3680.4,290.29,304.77,56.93,2932.13,2686.77,232.12,11763.35,264.04
44,92.39,264.8,593.45,53.13,1707.86,916.67,298.9,989.48,1187.54,616.15,5236.69,693.71,783.31,1237.1,352.06,865.82,251.3,2665.52,3166.17,287.91,249.38,58.43,2483.96,2129.75,210.81,9409.23,216.32
45,135.68,387.57,743.21,84.12,2294.2,1257.33,457.07,1272.37,1599.78,834.3,6591.9,856.14,981.18,1596.97,509.32,1235.75,368.73,3603.27,4371.4,427.08,334.36,87.99,3399.66,2799.79,299.64,12440.41,290.29
46,149.17,425.84,790.66,93.75,2478.21,1364.03,506.24,1361.62,1729.12,902.69,7020.98,907.73,1043.86,1710.45,558.37,1351.23,405.33,3897.37,4748.64,470.41,361.05,97.19,3686.53,3010.6,327.4,13393.32,313.5
47,151.04,433.0,978.59,86.46,2806.14,1504.45,487.49,1629.47,1950.88,1011.94,8633.01,1144.75,1291.65,2036.85,576.1,1417.86,410.86,4378.11,5194.48,470.44,409.77,95.37,4077.22,3503.31,345.29,15472.81,355.46
48,141.27,405.68,977.2,77.95,2727.99,1450.11,447.3,1611.33,1894.38,980.58,8604.49,1149.13,1289.72,2011.19,542.61,1343.57,384.5,4245.34,4993.18,438.01,398.65,88.17,3933.53,3435.03,327.78,15137.27,345.7
49,101.74,293.28,812.72,50.96,2146.33,1119.83,306.75,1313.95,1486.77,766.12,7129.67,965.71,1072.51,1635.07,397.34,998.01,277.19,3321.73,3832.5,311.85,314.15,61.64,3043.63,2752.33,244.49,12071.56,272.24
50,79.66,230.56,725.02,35.69,1828.44,938.24,227.68,1153.73,1263.79,648.66,6341.52,868.51,956.66,1432.13,316.46,806.21,217.27,2816.01,3193.26,241.26,268.0,46.76,2554.75,2381.7,198.31,10404.04,232.1
51,68.11,197.7,675.24,27.89,1655.65,840.57,186.88,1064.44,1142.79,585.06,5895.91,812.75,890.92,1319.32,273.92,704.79,185.93,2542.06,2850.45,204.46,242.89,39.04,2291.49,2177.83,173.85,9490.02,210.27
52,60.85,176.87,627.17,23.78,1519.0,767.53,163.59,984.63,1047.82,535.83,5472.01,756.4,827.46,1219.61,246.17,636.33,166.17,2329.01,2598.47,181.88,222.93,34.47,2093.43,2006.78,157.16,8734.88,192.96
53,59.76,174.19,663.09,21.11,1570.45,786.45,154.0,1033.45,1082.06,552.16,5777.78,802.64,874.82,1278.57,244.6,638.1,163.32,2401.75,2654.27,177.06,230.64,33.05,2147.19,2091.37,158.0,9084.93,199.58
54,58.59,170.91,665.07,19.98,1564.57,781.36,148.85,1034.26,1077.64,549.55,5792.67,805.89,877.43,1279.13,240.68,629.72,160.13,2390.88,2634.6,173.06,229.84,32.14,2133.98,2088.58,156.05,9067.37,198.85
55,61.75,179.87,673.77,22.35,1603.73,804.74,160.73,1051.79,1105.27,564.28,5872.56,814.9,888.91,1301.62,252.06,656.17,168.72,2454.06,2717.91,183.33,235.49,34.34,2196.64,2131.87,162.38,9265.03,203.78
56,64.05,186.21,664.78,24.81,1606.59,811.06,171.51,1042.95,1108.11,566.53,5799.43,802.06,877.09,1291.7,259.38,671.05,174.92,2462.71,2745.1,191.27,235.8,36.2,2212.42,2124.12,165.79,9243.92,204.09
57,94.48,273.39,854.32,42.59,2159.28,1108.93,270.84,1360.52,1492.64,766.25,7473.55,1023.03,1127.27,1689.01,375.01,954.65,257.69,3326.39,3775.25,286.33,316.47,55.55,3019.24,2810.5,234.78,12279.72,274.08
58,99.69,288.78,931.53,43.51,2328.58,1190.97,281.54,1477.95,1608.81,825.07,8143.33,1117.59,1229.13,1833.74,397.52,1015.72,271.98,3582.9,4048.85,301.13,341.4,58.1,3244.03,3042.46,250.05,13280.15,295.63
59,87.14,253.33,898.85,34.02,2176.57,1099.67,234.2,1411.06,1501.4,767.77,7842.28,1084.1,1185.92,1747.8,352.6,911.54,237.99,3337.2,3722.89,260.47,319.44,49.36,2999.45,2875.67,225.14,12516.88,276.49
60,106.55,308.41,973.29,47.57,2451.54,1257.4,304.05,1548.18,1694.37,869.54,8512.4,1166.18,1284.25,1921.63,423.51,1079.34,290.63,3775.19,4278.86,322.59,359.33,62.48,3423.96,3194.69,265.52,13953.98,311.2
61,84.25,244.69,849.53,33.82,2071.76,1049.63,229.15,1336.76,1429.62,731.53,7415.15,1023.41,1120.86,1656.38,339.7,875.77,230.01,3179.01,3556.86,252.44,303.98,48.04,2862.05,2730.35,216.14,11891.85,263.14
62,79.5,230.72,783.68,32.77,1925.03,978.03,218.77,1236.1,1328.85,680.41,6843.4,942.96,1033.98,1532.24,319.47,821.41,217.01,2956.27,3317.41,238.8,282.39,45.64,2665.98,2530.53,202.58,11028.84,244.48
63,82.22,239.16,862.73,31.4,2078.04,1047.71,218.89,1352.01,1433.04,732.43,7524.81,1041.45,1138.25,1674.19,333.56,864.11,224.57,3184.18,3544.32,245.25,305.02,46.32,2858.32,2750.67,213.56,11967.16,264.0
64,77.41,225.48,844.64,28.02,2010.44,1008.82,201.5,1318.54,1385.58,707.38,7361.86,1021.58,1114.36,1631.7,315.98,822.56,211.51,3076.39,3407.17,229.82,295.21,43.05,2753.71,2672.5,203.56,11614.64,255.47
65,92.21,267.43,892.23,38.8,2204.88,1122.79,256.1,1410.15,1522.47,779.98,7794.21,1072.52,1177.24,1748.55,369.52,948.04,251.66,3388.24,3811.38,277.53,323.38,53.22,3059.79,2892.35,233.65,12612.21,279.98
66,74.62,217.3,805.4,27.44,1923.36,966.41,195.53,1258.62,1325.8,677.09,7021.12,973.59,1062.59,1557.84,304.09,790.54,203.89,2944.27,3265.47,221.87,282.4,41.66,2637.54,2553.73,195.57,11101.81,244.39
67,95.17,274.82,804.11,45.59,2080.98,1077.94,280.81,1290.93,1440.12,740.81,7044.76,958.93,1061.07,1604.66,374.36,945.9,259.44,3213.79,3680.4,290.29,304.77,56.93,2932.13,2686.77,232.12,11763.35,264.04
68,92.39,264.8,593.45,53.13,1707.86,916.67,298.9,989.48,1187.54,616.15,5236.69,693.71,783.31,1237.1,352.06,865.82,251.3,2665.52,3166.17,287.91,249.38,58.43,2483.96,2129.75,210.81,9409.23,216.32
69,135.68,387.57,743.21,84.12,2294.2,1257.33,457.07,1272.37,1599.78,834.3,6591.9,856.14,981.18,1596.97,509.32,1235.75,368.73,3603.27,4371.4,427.08,334.36,87.99,3399.66,2799.79,299.64,12440.41,290.29
70,149.17,425.84,790.66,93.75,2478.21,1364.03,506.24,1361.62,1729.12,902.69,7020.98,907.73,1043.86,1710.45,558.37,1351.23,405.33,3897.37,4748.64,470.41,361.05,97.19,3686.53,3010.6,327.4,13393.32,313.5
71,151.04,433.0,978.59,86.46,2806.14,1504.45,487.49,1629.47,1950.88,1011.94,8633.01,1144.75,1291.65,2036.85,576.1,1417.86,410.86,4378.11,5194.48,470.44,409.77,95.37,4077.22,3503.31,345.29,15472.81,355.46
72,141.27,405.68,977.2,77.95,2727.99,1450.11,447.3,1611.33,1894.38,980.58,8604.49,1149.13,1289.72,2011.19,542.61,1343.57,384.5,4245.34,4993.18,438.01,398.65,88.17,3933.53,3435.03,327.78,15137.27,345.7
73,105.87,300.39,860.81,53.92,2273.19,1261.83,349.21,1336.09,1569.64,773.47,7264.78,1064.94,1150.01,1624.84,416.8,1079.93,269.17,3462.05,4025.84,325.0,321.32,63.71,3467.67,3089.17,248.41,13198.89,271.66
74,83.51,234.33,764.07,37.71,1948.03,1065.62,257.29,1178.52,1339.03,652.71,6474.71,963.96,1028.64,1417.67,330.72,877.39,207.93,2942.74,3315.05,252.31,275.49,48.44,2906.94,2676.31,198.5,11461.11,231.12
75,71.79,199.81,709.51,29.43,1770.55,959.58,209.91,1090.27,1213.56,587.5,6026.85,905.41,959.5,1302.91,285.5,770.02,176.01,2660.88,2936.08,214.38,250.47,40.52,2605.21,2449.04,172.21,10502.63,209.1
76,64.3,178.27,658.15,25.08,1627.14,878.21,183.17,1009.73,1113.87,537.56,5596.39,843.96,891.76,1203.21,256.26,696.51,156.48,2439.74,2666.95,190.94,230.21,35.8,2379.18,2257.38,154.92,9686.6,191.78
77,63.48,174.6,694.27,22.24,1687.41,903.76,171.3,1062.05,1152.42,552.98,5914.52,898.05,943.98,1259.02,253.98,700.94,152.16,2519.44,2705.8,186.36,238.8,34.39,2438.55,2353.92,154.27,10112.33,198.13
78,62.33,171.01,695.88,21.03,1682.7,899.11,165.18,1063.58,1148.37,550.07,5931.38,902.45,947.12,1258.89,249.71,692.51,148.67,2509.1,2680.05,182.32,238.14,33.47,2423.0,2351.18,151.89,10104.08,197.35
79,65.51,180.53,705.81,23.56,1721.99,923.87,179.09,1080.39,1176.65,565.35,6010.35,911.22,958.92,1282.24,261.88,720.19,157.6,2573.49,2774.94,192.84,243.67,35.72,2495.1,2399.17,158.88,10304.16,202.36
80,67.7,187.58,697.48,26.17,1721.46,928.43,191.94,1069.74,1178.16,568.27,5931.85,895.16,945.37,1274.08,269.94,734.77,164.55,2580.15,2815.63,200.85,243.55,37.61,2514.25,2389.53,163.26,10254.79,202.83
81,99.01,277.99,900.57,45.01,2299.85,1258.99,306.17,1389.43,1581.22,771.2,7629.76,1135.08,1211.92,1672.27,391.98,1038.62,246.78,3475.59,3921.53,299.38,325.24,57.54,3435.68,3158.0,235.17,13522.39,272.96
82,104.69,293.02,980.79,45.97,2483.78,1354.78,317.59,1510.99,1705.8,829.72,8317.53,1241.86,1322.28,1813.86,415.09,1106.71,259.43,3746.08,4193.15,315.18,351.28,60.22,3690.32,3419.6,249.5,14650.73,294.26
83,92.1,255.32,943.24,35.89,2331.57,1258.31,262.24,1447.06,1596.04,770.23,8020.67,1209.64,1278.08,1724.27,367.04,997.78,224.09,3495.84,3820.77,273.45,329.87,51.27,3408.79,3234.81,221.91,13881.03,274.8
84,111.72,313.39,1025.58,50.26,2612.31,1428.43,343.5,1581.6,1795.41,874.94,8691.67,1294.53,1380.96,1902.01,442.55,1174.81,277.99,3945.33,4440.55,337.39,369.44,64.74,3895.87,3590.01,265.65,15374.86,309.87
85,88.89,247.02,892.14,35.69,2217.15,1199.44,257.05,1369.93,1518.84,734.29,7581.6,1140.9,1207.49,1635.05,353.86,957.61,217.26,3328.71,3657.97,264.82,313.66,49.88,3253.38,3070.78,213.64,13172.54,261.61
86,83.77,233.28,823.6,34.58,2058.14,1116.11,245.84,1265.89,1410.96,683.36,6994.87,1050.23,1113.45,1513.42,333.04,897.21,205.6,3094.12,3418.87,250.34,291.14,47.36,3031.18,2845.54,200.81,12201.89,243.14
87,87.0,240.73,904.86,33.12,2227.63,1200.04,244.75,1387.19,1524.06,734.5,7697.62,1162.82,1227.09,1650.89,347.02,946.62,210.94,3336.67,3631.79,257.63,315.17,48.12,3247.9,3094.62,210.02,13283.14,262.31
88,82.13,226.31,884.82,29.53,2158.69,1158.15,224.5,1354.39,1475.04,708.72,7534.58,1142.33,1202.12,1607.42,328.29,902.81,197.55,3226.11,3478.64,241.75,305.46,44.78,3127.84,3007.59,199.18,12917.33,253.68
89,97.04,270.73,938.27,40.96,2355.4,1279.89,288.18,1443.29,1615.74,783.7,7964.75,1193.57,1267.28,1727.93,385.45,1034.61,238.98,3545.0,3934.65,290.76,333.17,55.21,3479.55,3251.84,232.15,13939.96,278.54
90,79.11,218.28,843.97,28.93,2064.25,1108.76,218.08,1292.44,1411.01,678.51,7184.9,1088.21,1146.05,1535.07,316.06,867.22,190.75,3086.97,3337.38,233.29,292.1,43.33,2996.24,2873.7,191.62,12340.2,242.72
91,99.35,280.59,849.79,48.21,2209.64,1218.8,318.73,1315.31,1522.76,746.86,7184.71,1060.52,1139.16,1591.88,392.08,1026.01,250.42,3353.38,3846.67,302.98,312.41,58.9,3338.78,3017.14,234.36,12904.19,263.23
92,95.12,274.18,634.83,56.29,1790.0,1019.23,343.39,997.44,1245.9,625.55,5314.66,754.92,835.33,1238.35,371.33,928.77,249.03,2765.45,3390.01,298.61,252.81,60.22,2836.05,2385.25,219.06,10148.7,216.66
93,138.81,403.94,801.94,89.19,2385.45,1384.52,527.69,1273.24,1670.55,850.52,6666.78,920.34,1041.23,1608.14,539.01,1318.0,369.86,3725.67,4743.07,441.7,336.68,90.54,3887.55,3130.34,315.96,13274.18,291.53
94,152.43,444.37,854.82,99.39,2572.49,1499.05,584.96,1360.36,1803.82,921.04,7095.08,973.01,1106.54,1724.68,591.3,1439.56,407.48,4026.93,5166.08,486.26,363.03,99.97,4216.85,3364.75,346.18,14258.0,315.03
95,155.58,448.16,1046.37,91.59,2942.3,1673.66,559.87,1643.18,2047.3,1027.15,8763.11,1246.47,1377.75,2038.27,607.48,1521.41,406.87,4543.09,5557.69,488.0,415.57,98.32,4654.72,3923.95,358.52,16698.23,355.93
96,145.96,418.61,1041.57,82.54,2869.49,1619.68,512.48,1629.33,1991.78,993.64,8745.33,1256.66,1378.11,2007.99,571.3,1445.33,378.62,4411.43,5312.31,454.99,405.39,90.96,4487.82,3850.02,338.14,16405.16,345.78
97,105.87,300.39,860.81,53.92,2273.19,1261.83,349.21,1336.09,1569.64,773.47,7264.78,1064.94,1150.01,1624.84,416.8,1079.93,269.17,3462.05,4025.84,325.0,321.32,63.71,3467.67,3089.17,248.41,13198.89,271.66
98,83.51,234.33,764.07,37.71,1948.03,1065.62,257.29,1178.52,1339.03,652.71,6474.71,963.96,1028.64,1417.67,330.72,877.39,207.93,2942.74,3315.05,252.31,275.49,48.44,2906.94,2676.31,198.5,11461.11,231.12
99,71.79,199.81,709.51,29.43,1770.55,959.58,209.91,1090.27,1213.56,587.5,6026.85,905.41,959.5,1302.91,285.5,770.02,176.01,2660.88,2936.08,214.38,250.47,40.52,2605.21,2449.04,172.21,10502.63,209.1
100,64.3,178.27,658.15,25.08,1627.14,878.21,183.17,1009.73,1113.87,537.56,5596.39,843.96,891.76,1203.21,256.26,696.51,156.48,2439.74,2666.95,190.94,230.21,35.8,2379.18,2257.38,154.92,9686.6,191.78
101,63.48,174.6,694.27,22.24,1687.41,903.76,171.3,1062.05,1152.42,552.98,5914.52,898.05,943.98,1259.02,253.98,700.94,152.16,2519.44,2705.8,186.36,238.8,34.39,2438.55,2353.92,154.27,10112.33,198.13
102,62.33,171.01,695.88,21.03,1682.7,899.11,165.18,1063.58,1148.37,550.07,5931.38,902.45,947.12,1258.89,249.71,692.51,148.67,2509.1,2680.05,182.32,238.14,33.47,2423.0,2351.18,151.89,10104.08,197.35
103,65.51,180.53,705.81,23.56,1721.99,923.87,179.09,1080.39,1176.65,565.35,6010.35,911.22,958.92,1282.24,261.88,720.19,157.6,2573.49,2774.94,192.84,243.67,35.72,2495.1,2399.17,158.88,10304.16,202.36
104,67.7,187.58,697.48,26.17,1721.46,928.43,191.94,1069.74,1178.16,568.27,5931.85,895.16,945.37,1274.08,269.94,734.77,164.55,2580.15,2815.63,200.85,243.55,37.61,2514.25,2389.53,163.26,10254.79,202.83
105,99.01,277.99,900.57,45.01,2299.85,1258.99,306.17,1389.43,1581.22,771.2,7629.76,1135.08,1211.92,1672.27,391.98,1038.62,246.78,3475.59,3921.53,299.38,325.24,57.54,3435.68,3158.0,235.17,13522.39,272.96
106,104.69,293.02,980.79,45.97,2483.78,1354.78,317.59,1510.99,1705.8,829.72,8317.53,1241.86,1322.28,1813.86,415.09,1106.71,259.43,3746.08,4193.15,315.18,351.28,60.22,3690.32,3419.6,249.5,14650.73,294.26
107,92.1,255.32,943.24,35.89,2331.57,1258.31,262.24,1447.06,1596.04,770.23,8020.67,1209.64,1278.08,1724.27,367.04,997.78,224.09,3495.84,3820.77,273.45,329.87,51.27,3408.79,3234.81,221.91,13881.03,274.8
108,111.72,313.39,1025.58,50.26,2612.31,1428.43,343.5,1581.6,1795.41,874.94,8691.67,1294.53,1380.96,1902.01,442.55,1174.81,277.99,3945.33,4440.55,337.39,369.44,64.74,3895.87,3590.01,265.65,15374.86,309.87
109,88.89,247.02,892.14,35.69,2217.15,1199.44,257.05,1369.93,1518.84,734.29,7581.6,1140.9,1207.49,1635.05,353.86,957.61,217.26,3328.71,3657.97,264.82,313.66,49.88,3253.38,3070.78,213.64,13172.54,261.61
110,83.77,233.28,823.6,34.58,2058.14,1116.11,245.84,1265.89,1410.96,683.36,6994.87,1050.23,1113.45,1513.42,333.04,897.21,205.6,3094.12,3418.87,250.34,291.14,47.36,3031.18,2845.54,200.81,12201.89,243.14
