time_index,BR_AC_Wind_Onshore_Class1,BR_AC_Wind_Onshore_Class3,BR_AL_Wind_Onshore_Class1,BR_AM_Wind_Onshore_Class3,BR_AP_Wind_Onshore_Class1,BR_AP_Wind_Onshore_Class3,BR_BA_Wind_Onshore_Class0,BR_BA_Wind_Onshore_Class1,BR_BA_Wind_Onshore_Class3,BR_CE_Wind_Onshore_Class0,BR_CE_Wind_Onshore_Class1,BR_CE_Wind_Onshore_Class3,BR_ES_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class0,BR_GO_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class2,BR_GO_Wind_Onshore_Class3,BR_MA_Wind_Onshore_Class0,BR_MA_Wind_Onshore_Class1,BR_MA_Wind_Onshore_Class3,BR_MG_Wind_Onshore_Class0,BR_MG_Wind_Onshore_Class1,BR_MG_Wind_Onshore_Class3,BR_MS_Wind_Onshore_Class0,BR_MS_Wind_Onshore_Class1,BR_MS_Wind_Onshore_Class2,BR_MS_Wind_Onshore_Class3,BR_MT_Wind_Onshore_Class0,BR_MT_Wind_Onshore_Class1,BR_MT_Wind_Onshore_Class2,BR_MT_Wind_Onshore_Class3,BR_PA_Wind_Onshore_Class0,BR_PA_Wind_Onshore_Class1,BR_PA_Wind_Onshore_Class2,BR_PA_Wind_Onshore_Class3,BR_PB_Wind_Onshore_Class0,BR_PB_Wind_Onshore_Class1,BR_PB_Wind_Onshore_Class3,BR_PE_Wind_Onshore_Class0,BR_PE_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class0,BR_PI_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class3,BR_PR_Wind_Onshore_Class0,BR_PR_Wind_Onshore_Class1,BR_PR_Wind_Onshore_Class3,BR_RJ_Wind_Onshore_Class0,BR_RJ_Wind_Onshore_Class1,BR_RN_Wind_Onshore_Class0,BR_RN_Wind_Onshore_Class1,BR_RO_Wind_Onshore_Class0,BR_RO_Wind_Onshore_Class2,BR_RO_Wind_Onshore_Class3,BR_RR_Wind_Onshore_Class2,BR_RS_Wind_Onshore_Class0,BR_RS_Wind_Onshore_Class1,BR_SC_Wind_Onshore_Class1,BR_SE_Wind_Onshore_Class1,BR_SP_Wind_Onshore_Class0,BR_SP_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class0,BR_TO_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class2,BR_TO_Wind_Onshore_Class3
11,0.022962319,0.015355072,0.134950725,0.0,0.025831884,0.050927536,0.08955516,0.105457181,0.000777778,0.214941063,0.230059662,0.17738744,0.0,0.016100483,0.020670334,0.007174879,0.001958696,0.036308696,0.112868345,0.08249139,0.070453357,0.059843478,0.040414645,0.161346791,0.203863642,0.126627536,0.099915942,0.043501449,0.031244269,0.020119807,0.014335691,0.007623188,0.183987578,0.003753723,0.023513849,0.19364058,0.194473913,0.180724638,0.16418882,0.114568841,0.135219175,0.115991973,0.023893913,0.33317971,0.240226915,0.310492754,0.013971014,0.0,0.124718841,0.177340097,0.050257391,0.051731401,0.042435382,0.178906832,0.299223715,0.144612947,0.038286957,0.140259903,0.272807667,0.30713555,0.013526746,0.017750338,0.008130642,0.031121739
12,0.031402899,0.012198551,0.15594058,0.0,0.032234783,0.064811594,0.090457692,0.105920685,0.003363768,0.245189694,0.280595894,0.206999034,0.0,0.012450564,0.014780361,0.000608696,0.003886957,0.034255797,0.140968726,0.097216539,0.084081988,0.057961932,0.03711823,0.134483644,0.129474228,0.059793478,0.066533333,0.026376812,0.017747211,0.007855964,0.011460329,0.004666667,0.161654658,0.001718141,0.020055556,0.17332029,0.237888889,0.14333913,0.159315942,0.12787971,0.140716908,0.163895206,0.019384928,0.235214493,0.159901035,0.247344928,0.007101449,0.0,0.127257971,0.341094203,0.035553623,0.04371401,0.033970015,0.145900621,0.162524726,0.088067633,0.026286957,0.216897585,0.246964937,0.269501108,0.001028722,0.01484058,0.00092029,0.012996522
13,0.013272464,0.007330435,0.13917971,0.0,0.078298551,0.120486957,0.077117723,0.077160738,0.004029469,0.225199356,0.273277778,0.213308213,0.00284058,0.01187343,0.014745815,0.006722705,0.005523913,0.041133333,0.159491686,0.102097698,0.082299793,0.056171208,0.034579405,0.110050104,0.124069439,0.045007246,0.0716,0.01328272,0.008385595,0.004602007,0.007241353,0.025944928,0.182138302,0.00077921,0.029611111,0.117195652,0.207724638,0.10657971,0.118945756,0.111834783,0.131954069,0.159841695,0.02461913,0.18764585,0.123774741,0.184782609,0.010527536,0.0,0.098863768,0.310066184,0.031137391,0.006314976,0.018046577,0.166706418,0.113711726,0.049772754,0.012605797,0.18951401,0.250540252,0.240615857,0.003037154,0.016180097,0.000673913,0.0
14,0.0,0.0,0.118923188,0.0,0.020475362,0.046597101,0.058465444,0.046062714,0.008242995,0.189811272,0.251995894,0.194776812,0.004057971,0.01098132,0.009885596,0.002772947,0.004030435,0.04247971,0.131621053,0.082180222,0.067970186,0.052748019,0.038324027,0.092043892,0.115040328,0.058001449,0.079875362,0.011426979,0.007614756,0.0038356,0.010578628,0.044484058,0.174488613,0.000846177,0.029221095,0.081072464,0.19611256,0.08764058,0.077011594,0.106973188,0.101273727,0.124806689,0.023256232,0.131080369,0.09656646,0.104475362,0.0,0.0,0.075715942,0.271642512,0.021678841,0.004599034,0.006750625,0.222364389,0.089313131,0.030069565,0.00273913,0.146549758,0.215462927,0.241852685,0.000368906,0.014045217,0.002430435,0.0
15,0.001115942,5.07e-5,0.11762029,0.0,0.004971014,0.02124058,0.045371049,0.027600264,0.018045894,0.156193881,0.242869807,0.182521739,0.0,0.012347826,0.007868441,0.0,0.009357609,0.038824638,0.126912586,0.073158909,0.051931381,0.044294493,0.034600458,0.07579234,0.085122495,0.041388406,0.083710145,0.011620959,0.007478788,0.005167893,0.012555517,0.043294203,0.160208696,0.000237881,0.024125926,0.066871014,0.191838164,0.084133333,0.057472878,0.103406522,0.07371832,0.097778818,0.02033913,0.085078261,0.068697308,0.048521739,0.0,0.0,0.071698551,0.257102899,0.004264348,0.004289855,0.002041979,0.220621946,0.074846728,0.028115942,0.002333333,0.11407343,0.156090323,0.182358056,0.0,0.009766184,0.001566874,0.0
16,0.003246377,0.002891304,0.11927971,0.0,0.00273913,0.01244058,0.035510739,0.020311989,0.020821256,0.128600322,0.234238889,0.170778744,0.0,0.011936876,0.008212955,0.001961353,0.018062319,0.031494565,0.113815408,0.063855243,0.037342206,0.032165797,0.027718993,0.051040787,0.052532073,0.020536957,0.058617391,0.004179487,0.003748792,0.003482572,0.007473469,0.026744928,0.141218219,0.000475762,0.021965862,0.059572464,0.182357005,0.079733333,0.056365631,0.101974638,0.056103307,0.063337347,0.018347246,0.050466667,0.037101449,0.012057971,0.0,0.0,0.069402899,0.263070048,0.000284058,0.000743961,0.000902549,0.191643064,0.050233465,0.03777971,0.024072464,0.103137198,0.104802431,0.130603581,0.003054545,0.006687536,0.001220083,0.0
17,0.002231884,0.002231884,0.131115942,0.0,0.003956522,0.013205797,0.031580234,0.021386561,0.018592754,0.119495008,0.228479469,0.155972947,0.0,0.006556522,0.016627152,0.008751691,0.015286594,0.025260507,0.106043326,0.060331969,0.023334398,0.023316135,0.019008085,0.02899234,0.036089855,0.008324638,0.039988406,0.002940691,0.004641546,0.004361799,0.004984889,0.013378261,0.12269234,0.000592904,0.017929791,0.058171014,0.168057005,0.081455072,0.060818219,0.109512319,0.047789669,0.059964326,0.033271884,0.03230224,0.017246791,0.0,0.0,0.0,0.071698551,0.277181159,0.001542029,0.0,0.000965517,0.15926294,0.036654721,0.056633816,0.020089855,0.116001932,0.078223095,0.108265985,0.002922266,0.00466744,0.00077205,0.0
18,0.000101449,0.001268116,0.152811594,0.0,0.004057971,0.013205797,0.029183447,0.027237154,0.014127053,0.100347182,0.220371981,0.136023188,0.0,0.004847343,0.015614434,0.011238647,0.010517029,0.019748913,0.093042563,0.049390111,0.013385744,0.014114783,0.010064073,0.021337681,0.032301323,0.002206522,0.038672464,0.003995095,0.002209398,0.004965292,0.005856541,0.002727536,0.099441822,0.002774013,0.011300805,0.060563768,0.17241256,0.088342029,0.062222774,0.126822464,0.04349922,0.051010925,0.02845913,0.023728327,0.01229234,0.0,0.0,0.0,0.076289855,0.304998068,0.005610435,0.0,0.003592204,0.141227329,0.039197365,0.085715942,0.014214493,0.144971014,0.074931463,0.115283546,0.002268775,0.001925797,0.003345549,0.000101449
19,0.005478261,0.002586957,0.180982609,0.0,0.009089855,0.010144928,0.034040999,0.039646377,0.017407246,0.083846055,0.219810628,0.12133913,0.0,0.00522029,0.007345637,0.002908213,0.012073913,0.013012681,0.083057818,0.042257289,0.005795682,0.007870725,0.004533333,0.027418219,0.037092502,0.002536232,0.040730435,0.002466667,0.001116908,0.007274619,0.004822261,0.002688406,0.104471222,0.00130015,0.00882818,0.061549275,0.183312077,0.086237681,0.063326294,0.139014493,0.037711631,0.041816722,0.020322319,0.028525165,0.01900207,0.0,0.0,0.0,0.077437681,0.351181159,0.008214493,0.0,0.002484758,0.135749068,0.050209574,0.133654493,0.009701449,0.186563285,0.076644413,0.162151066,0.004649275,0.001690821,0.010019876,0.000730435
20,0.009150725,0.002992754,0.232024638,0.010527536,0.024771014,0.005681159,0.03969429,0.064950198,0.020219324,0.078060548,0.244745652,0.119723671,0.0,0.001397746,0.007286483,0.008997101,0.006839493,0.013515942,0.080387796,0.025106223,0.002798107,0.007073816,0.003196644,0.0415294,0.048841462,0.004705072,0.047234783,0.002618283,4.3e-5,0.00715942,0.004279807,0.000304348,0.098038095,0.003175412,0.007637842,0.068972464,0.219379227,0.092550725,0.067597101,0.163693478,0.032470308,0.047594649,0.056312464,0.039053755,0.032921739,0.0,0.0,0.0,0.081455072,0.433969565,0.0,0.0,0.001744728,0.132384265,0.058558981,0.184216425,0.01244058,0.240109179,0.099685647,0.203267178,0.003027141,0.00625971,0.020174327,0.000466667
