Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,CE_price2,CE_max2,CE_price3,CE_max3,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,ES_price2,ES_max2,ES_price3,ES_max3,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MA_price2,MA_max2,MA_price3,MA_max3,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PA_price2,PA_max2,PA_price3,PA_max3,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PE_price2,PE_max2,PE_price3,PE_max3,PI_price1,PI_max1,PI_price2,PI_max2,PI_price3,PI_max3,RJ_price1,RJ_max1,RN_price1,RN_max1,RS_price1,RS_max1,RS_price2,RS_max2,RS_price3,RS_max3,RO_price1,RO_max1,RR_price1,RR_max1,SC_price1,SC_max1,SC_price2,SC_max2,SC_price3,SC_max3,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,SE_price2,SE_max2,SE_price3,SE_max3,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0945205479452054,181.0,1015.8465753424657,253.0,378.66712328767125,116.0,0.0027397260273972603,179.0,0.012328767123287671,247.0,0.01643835616438356,116.0,0.12054794520547946,137.0,0.9041095890410958,233.0,0.4534246575342466,116.0,0.07945205479452055,117.0,0.0027397260273972603,124.0,0.005479452054794521,108.0,0.04246575342465753,179.0,1399.6191780821919,257.0,229.74520547945207,116.0,136.37123287671233,186.0,289.1232876712329,257.0,249.46849315068494,111.0,3.6767123287671235,184.0,2306.2643835616436,257.0,463.2041095890411,110.0,0.4041095890410959,184.0,1191.8205479452056,257.0,509.7849315068493,113.0,0.16712328767123288,180.0,1054.0424657534247,249.0,136.3082191780822,116.0,0.0013698630136986301,189.0,0.0013698630136986301,242.0,0.0013698630136986301,0.0,0.0,116.0,98.58904109589041,185.0,111.45342465753424,257.0,20.612328767123287,116.0,0.0027397260273972603,164.0,0.009589041095890411,247.0,0.00684931506849315,112.0,0.036986301369863014,180.0,128.9753424657534,257.0,95.5054794520548,0.0,0.0,0.0,0.0,116.0,1.1575342465753424,181.0,11.034246575342467,257.0,5.276712328767124,116.0,0.005479452054794521,0.0,0.0,116.0,0.19863013698630136,183.0,13.797260273972602,256.0,4.557534246575343,116.0,268.2753424657534,170.0,235.79041095890412,257.0,22.705479452054796,120.0,0.00684931506849315,179.0,0.10684931506849316,247.0,0.2808219178082192,113.0,0.043835616438356165,184.0,473.5178082191781,257.0,189.72602739726028
